key,source,target
/46E5D4CD46641F3293EC92B1204829B3,走り屋グレードがＥ８になった！,
/A40D2AB544AA998CB8A173AC6E1A897C,走り屋グレードがＥ７になった！,
/C18E82E6447AAAD189FF22B2E41E70E0,走り屋グレードがＥ６になった！,
/B35F09FE4CBE95F84C2DF2A20727E2DA,走り屋グレードがＥ５になった！,
/737702DF46A196927114C78C5E53E768,走り屋グレードがＥ４になった！,
/C3D663E94D3C0CBAE03C718FF5EFA9CE,走り屋グレードがＥ３になった！,
DT_DriverGrade/BE510E6D40B715096DD8B0AC4A772407,走り屋グレードがＥ２になった！,
DT_DriverGrade/2F5D2E7D435DD53F7FF743A6B3D5C286,走り屋グレードがＥ１になった！,
DT_DriverGrade/7DB6A03F419A79EA93A8E999073F3DAC,走り屋グレードがＤ９になった！,
DT_DriverGrade/03AAAE43497A2C7320983C83C89B2BEB,走り屋グレードがＤ８になった！,
DT_DriverGrade/BFFAB8DD43C5F494F318AB9EC8F859AE,走り屋グレードがＤ７になった！,
DT_DriverGrade/EDD6DC984159A5E2182953A3879E6B08,走り屋グレードがＤ６になった！,
DT_DriverGrade/9DD9D6D5411ADB7E93BF25836A3424EF,走り屋グレードがＤ５になった！,
DT_DriverGrade/E387D50846EC6E8941BFC1BDCDF7101B,走り屋グレードがＤ４になった！,
DT_DriverGrade/B5F0F34649D4AAAB4ED0C3807DDC0776,走り屋グレードがＤ３になった！,
DT_DriverGrade/6CBC2C2141A455409E588B8FD96C27E0,走り屋グレードがＤ２になった！,
DT_DriverGrade/A6EE7FA34E862AE7BAE11B8FB5B9971A,走り屋グレードがＤ１になった！,
DT_DriverGrade/28E215574ED393434AB25A9A1AF51348,走り屋グレードがＣ９になった！,
DT_DriverGrade/C5ACAA6B4C5B76FC4EDB8BAB7A582BA3,走り屋グレードがＣ８になった！,
DT_DriverGrade/4EDAF4F342ECDE34CABEDA994BFA4642,走り屋グレードがＣ７になった！,
DT_DriverGrade/EDF4047F489E98FB1CBF2CBEE55A9118,走り屋グレードがＣ６になった！,
DT_DriverGrade/CF6E2414488B9B05701DEFA63DD55E93,走り屋グレードがＣ５になった！,
DT_DriverGrade/55E4D6624DAA93533401829CB64676BA,走り屋グレードがＣ４になった！,
DT_DriverGrade/62F40A804BDFDB5C45FC70B56EFA26E8,走り屋グレードがＣ３になった！,
DT_DriverGrade/E4BA7D6848D409920D7EEF971785C2E8,走り屋グレードがＣ２になった！,
DT_DriverGrade/06B400244F694E231790B9B08009809C,走り屋グレードがＣ１になった！,
DT_DriverGrade/D707A1EB498B473B9D77C1A670A216CF,走り屋グレードがＢ９になった！,
DT_DriverGrade/964C03F14078838151A24F96C1E6F9F9,走り屋グレードがＢ８になった！,
DT_DriverGrade/237055034B3A191753C12DBBAFD2E70C,走り屋グレードがＢ７になった！,
DT_DriverGrade/423FB43541C3F5B36489B19834F77E81,走り屋グレードがＢ６になった！,
DT_DriverGrade/014FBC0F405D53B36B3CB180BFDE6A2A,走り屋グレードがＢ５になった！,
DT_DriverGrade/65DB5292440E8BC3BF7C99805B0AF910,走り屋グレードがＢ４になった！,
DT_DriverGrade/026D13BF4F916AEC69FA7685DEC47FC8,走り屋グレードがＢ３になった！,
DT_DriverGrade/D5D3BC5F4984CC248A49D09D216BB37F,走り屋グレードがＢ２になった！,
DT_DriverGrade/7A1566F649471AC63DC0038A3D8E0B1E,走り屋グレードがＢ１になった！,
DT_DriverGrade/8B483773439092057ED2E0A91F073A9F,走り屋グレードがＡ９になった！,
DT_DriverGrade/93D7C9164F1CEF4317A1A9B3B9C0765F,走り屋グレードがＡ８になった！,
DT_DriverGrade/6F041FAA4EE622484A38E184EF6A858D,走り屋グレードがＡ７になった！,
DT_DriverGrade/9160538F4F2FFF05F4BB3A93A24502CF,走り屋グレードがＡ６になった！,
DT_DriverGrade/5DDE8D0942A88FC68DDC7DAFD4CA98E6,走り屋グレードがＡ５になった！,
DT_DriverGrade/CC1144DE403178CFDAF7B5A1864F025A,走り屋グレードがＡ４になった！,
DT_DriverGrade/82778D7949E9BD81C5522B89891D2A67,走り屋グレードがＡ３になった！,
DT_DriverGrade/80E3F2FA47EFDE60678A2FA7723E8AD1,走り屋グレードがＡ２になった！,
DT_DriverGrade/F4C905334F06D55F013B83B17E6DB0E5,走り屋グレードがＡ１になった！,
DT_DriverGrade/7D4408ED4717344E47F5FBB0ED146B5D,走り屋グレードがＳ９になった！,
DT_DriverGrade/7F6D4DFA4AA0BC0C90150BBD86FB8707,走り屋グレードがＳ８になった！,
DT_DriverGrade/83E6407547DCD110C4C5019DB0EF6559,走り屋グレードがＳ７になった！,
DT_DriverGrade/0D662C4544D9B79CBA4C53845692569F,走り屋グレードがＳ６になった！,
DT_DriverGrade/BBB97FCD449D5E1032D90D8CA5EABE8A,走り屋グレードがＳ５になった！,
DT_DriverGrade/E63535D040702F79ED90E391DC00046F,走り屋グレードがＳ４になった！,
DT_DriverGrade/E5F09EEE41F2FEC91854FCA00833B0C8,走り屋グレードがＳ３になった！,
DT_DriverGrade/524FC6EC47D89EEA3358119D2696FBC6,走り屋グレードがＳ２になった！,
DT_DriverGrade/68EB3FAD473266980E4F4DAA8A0C4EB6,走り屋グレードがＳ１になった！,
DT_DriverGrade/A868A9A7418E1B9E4B58AD91330C1A05,走り屋グレードがＳＳ９になった！,
DT_DriverGrade/5F84B04E45F0F2205A0F5493FF141BBF,走り屋グレードがＳＳ８になった！,
DT_DriverGrade/E681F6A7459EC52A4604038C1B2FD84D,走り屋グレードがＳＳ７になった！,
DT_DriverGrade/A870986C483C161A32E4DA8E6E55F00B,走り屋グレードがＳＳ６になった！,
DT_DriverGrade/FE36389D43070D86BAE05C9D21068BBD,走り屋グレードがＳＳ５になった！,
DT_DriverGrade/CB9D8CA34EC13355CC2853A76EBE2587,走り屋グレードがＳＳ４になった！,
DT_DriverGrade/ED0F8EF6400F5BA5180A3A8B7422EE04,走り屋グレードがＳＳ３になった！,
DT_DriverGrade/7AA1533A4D0DB2CF6A0B94989C0B6248,走り屋グレードがＳＳ２になった！,
DT_DriverGrade/B65F9D1A4DAD23DD2F97498AAEC108AA,走り屋グレードがＳＳ１になった！,
DT_DriverGrade/C455FB2C45CED5C9821BF0915B1E435C,走り屋グレードがＸ９になった！,
DT_DriverGrade/65DF75004D2B00A3AE88E3AECAD8C348,走り屋グレードがＸ８になった！,
DT_DriverGrade/C5D3168B41B8068ABAC803B644098F29,走り屋グレードがＸ７になった！,
DT_DriverGrade/C694F76344AB83CDE8C55D8A57772CF1,走り屋グレードがＸ６になった！,
DT_DriverGrade/181D811C46E917F948A2338D96AD6084,走り屋グレードがＸ５になった！,
DT_DriverGrade/4F77FDE04C00C43E496072BCFACD54E6,走り屋グレードがＸ４になった！,
DT_DriverGrade/4022E0C24BDF4C47268F77B89EB0AC14,走り屋グレードがＸ３になった！,
DT_DriverGrade/506C91204127A29E22CB0BAC7C9BCF35,走り屋グレードがＸ２になった！,
DT_DriverGrade/E1EE734B407550A3A4B8B0839F742D50,走り屋グレードがＸ１になった！,
DT_DriverGrade/9C681B7D44DE1E090D96F3A65C131CE6,走り屋グレードがＸＸ９になった！,
DT_DriverGrade/FD0639E34C2C67A4AAB3A49C52F85BE3,走り屋グレードがＸＸ８になった！,
DT_DriverGrade/78B9CBFA48BA33CAE5A05E80AF6989DC,走り屋グレードがＸＸ７になった！,
DT_DriverGrade/3E0545F74C47DB08898CCBA6C08CA7EF,走り屋グレードがＸＸ６になった！,
DT_DriverGrade/148AD56947EE3C4BBFFDA4A5C9932244,走り屋グレードがＸＸ５になった！,
DT_DriverGrade/655B5E744E40636964FD3881F809069B,走り屋グレードがＸＸ４になった！,
DT_DriverGrade/1FB700434B412E1029F283954734D305,走り屋グレードがＸＸ３になった！,
DT_DriverGrade/4E68379C486868409C9C44940E3E405C,走り屋グレードがＸＸ２になった！,
DT_DriverGrade/133D564F48F5F3BD01BD0A93E4DC38B8,走り屋グレードがＸＸ１になった！,
