key,source,target
DT_InstoreRank/E0D33C594D30AD4CAE1756AA0BDC078B,店内等级达到绿色★！,
DT_InstoreRank/8AABF666412C59A449DBB2B4FD24A281,店内等级达到绿色★★！,
DT_InstoreRank/0F9C154B423529A50067BBBB0A657927,店内等级达到绿色★★★！,
DT_InstoreRank/B2E6F48D48D035732C68BCA6A2BBFBCB,店内等级达到蓝色★！,
DT_InstoreRank/F085A7544F066428A3FCAA9D6AC74A22,店内等级达到蓝色★★！,
DT_InstoreRank/AE900C024634E94EF3895392E45D8366,店内等级达到蓝色★★★！,
DT_InstoreRank/D1E76AA241F4111938D03BB777FC1FC7,店内等级达到红色★！,
DT_InstoreRank/CEA2989849946211405E8BB3B0A67322,店内等级达到红色★★！,
DT_InstoreRank/157E59DD46BCF5347AE25F85A6406DA2,店内等级达到红色★★★！,
DT_InstoreRank/C7DF44754B094D663FD4BD8D64D993E9,店内等级达到水晶绿★！,
DT_InstoreRank/1495D8E04C6F7E4DB3DBB5A2C8E31511,店内等级达到水晶绿★★！,
DT_InstoreRank/93DDD10A42C4C68F0CEAD1B56D63B621,店内等级达到水晶绿★★★！,
DT_InstoreRank/DE86744040BFD93970FF5EAFD4A84DC7,店内等级达到水晶绿★★★★！,
DT_InstoreRank/A58305454BAB7C0C8ABA7A95AB40463D,店内等级达到水晶绿★★★★★！,
DT_InstoreRank/1454970141EAEEF549505E9D55F72352,店内等级达到水晶蓝★！,
DT_InstoreRank/95FF3C1E462F2884973125A179227C14,店内等级达到水晶蓝★★！,
DT_InstoreRank/936BD37F4C2F0657670072A15668F2B4,店内等级达到水晶蓝★★★！,
DT_InstoreRank/BD76A016400511B295A986B69ECC493E,店内等级达到水晶蓝★★★★！,
DT_InstoreRank/3F3CF78A40B84757EC1774B4B7774C71,店内等级达到水晶蓝★★★★★！,
DT_InstoreRank/3382ABDA4C4EE62EFB079CA2E9471269,店内等级达到水晶红★！,
DT_InstoreRank/B558788246A474323DD0E0AB99C04649,店内等级达到水晶红★★！,
DT_InstoreRank/59EEF25C4E996554506E3381F3751DC7,店内等级达到水晶红★★★！,
DT_InstoreRank/89B0A86E4CFC3A9C0202D981C3E5ED9E,店内等级达到水晶红★★★★！,
DT_InstoreRank/498982A7405E26234D12B18A89D144FF,店内等级达到水晶红★★★★★！,
DT_InstoreRank/5B0508F4473ED367D5BC769A3C8A7406,店内等级达到绿宝石★！,
DT_InstoreRank/886A717144757C87C6F98DA69D4395BA,店内等级达到绿宝石★★！,
DT_InstoreRank/42B307524F918ECFB36E75BA74E3C5FE,店内等级达到绿宝石★★★！,
DT_InstoreRank/D672E8564DBFDB3C084DC68DD73555C0,店内等级达到绿宝石★★★★！,
DT_InstoreRank/1975C4A94B59B292B86E2387FE9AFDA4,店内等级达到绿宝石★★★★★！,
DT_InstoreRank/0DD65F5A4F3F5DB7C09574AF4C3480D6,店内等级达到绿宝石★★★★★★！,
DT_InstoreRank/DB6069914BF1C8518D0C1DACDBA75E6A,店内等级达到蓝宝石★！,
DT_InstoreRank/2C0EB7404F03A419861532884A2F2620,店内等级达到蓝宝石★★！,
DT_InstoreRank/5B3822E644EA8133D8E2178CA8BD6981,店内等级达到蓝宝石★★★！,
DT_InstoreRank/E0410F28456C802B7AED8C9A8FFD012B,店内等级达到蓝宝石★★★★！,
DT_InstoreRank/8B63D5EA437D958035B889B7F658CC34,店内等级达到蓝宝石★★★★★！,
DT_InstoreRank/51977A5643D2D28781391A9A25B72753,店内等级达到蓝宝石★★★★★★！,
DT_InstoreRank/DDF2ADB24F55FA54505B1AAE7C5AC3C2,店内等级达到蓝宝石★★★★★★★！,
DT_InstoreRank/84BA7AB8400A1AB117D7C191D86CC567,店内等级达到红宝石★！,
DT_InstoreRank/F842698E4DFC11ECE4ED6EBC13590DF4,店内等级达到红宝石★★！,
DT_InstoreRank/A5BAB1ED49D489C55E6E6985D9B21E31,店内等级达到红宝石★★★！,
DT_InstoreRank/F3DF58014B52666F052AADBE54BF319C,店内等级达到红宝石★★★★！,
DT_InstoreRank/BB6CE5B145C598590180CD9C933FD9DF,店内等级达到红宝石★★★★★！,
DT_InstoreRank/1852A8A647FEDB9FD458F198A1D57C9A,店内等级达到红宝石★★★★★★！,
DT_InstoreRank/C0CB58DB44AA02BFF9FC81AE0569AD87,店内等级达到红宝石★★★★★★★！,
DT_InstoreRank/CFEFC81E44CCDBBC8F8F73B2EB7EC808,店内等级达到红宝石★★★★★★★★！,
