key,source,target
/A62F2D8E4C1E5B2F4C4C8D89A3746CC7,参加PRIDE比赛！,
/DE9242594F990EF0DE54C197795B7B19,PRIDE点数达到100！,
/FF3E5284442CE552A78A47AEF0EDDBD4,PRIDE点数达到500！,
/302DB36B45D9DC23DC7060A8A4753133,PRIDE点数达到1000！,
/870A6E5043D6A188CA77AAA9964E50AE,PRIDE点数达到5000！,
/55DED1664D812A8912213BBD204C1026,PRIDE点数达到10000！,
/0D2E11A445CE12BC3016D4AA862FD0A5,PRIDE点数达到50000！,
DT_PrideRank/88F027D347FCEFF5066E6597E36F5B2D,PRIDE点数达到20000！,
DT_PrideRank/5DE63AA54C8317A1A0DACB82857C68B7,PRIDE点数达到30000！,
DT_PrideRank/2124F42A454ED0560C4E158E37241E5A,PRIDE点数达到40000！,
DT_PrideRank/664F60E44AC689972C7E95A5587999E4,PRIDE点数达到60000！,
DT_PrideRank/3C0323F24AB1B079C2EFAD87C090E60D,PRIDE点数达到70000！,
DT_PrideRank/D6273676461E307528A7BDB4EBD4E392,PRIDE点数达到80000！,
DT_PrideRank/734F81B94E6C10107AE7CE81CE4814F7,PRIDE点数达到90000！,
