key,source,target
/D5C4FE2E4DEF6CC172191C9628813523,じゃがいもチューンカー,
/6F54421F41AF8DAEBD86BB9A3FD95980,チューニング太郎,
/493C9A5D465BDEBE0AABCE9AD1AE54B9,さつまいもチューンカー,
/D36CA2F84E7E7606283194BB351B3AF9,チューニング太郎,
/913806584401B34F13575B883E1644A8,さといもチューンカー,
/E1D4C256450C0FC4DDD07D9E5B45A9AA,チューニング太郎,
/8B45AA22431458B2AF0BB7807FCAE864,SILVIA K's (S13),
/E3E23D33408AC4908BE9B69E5811D3A1,Osaki Speed,
/2A9CE8524B3080868D4887AE0A036AB6,EUNOS ROADSTER (NA6CE),
/53398805435DAC6235FD629CD1CF59D2,GARAGE SG(SEGA),
/C4A37B9A45CD2A515FD31893034033AE,SUBARU BRZ S  (ZC6),
/4E3A9CAC4E7194DBC99E97A783ADC860,チューニングショップARAI,
/18580B7A4CAB30680C2F838081A57E4C,Civic SiR･Ⅱ (EG6),
/41CE1F66477DEBBF1D9E378B0289F4AF,Blessing,
/752413F44F583BFD78A712A31E19574E,SWIFT Sport (ZC33S),
/4641D5484A5BE50C354DABBB67046D5E,Power House Brave,
/3602122D46D88CC0D332A6B8F9FA153C,INTEGRA TYPE R (DC2),
/48897A0B4C0708F2B94092A038148A28,Sega Speed Stars (SSS),
/5CAAC6794CDC5F72ECCB0CBAD68B3AD4,IMPREZA STi Ver.Ⅴ (GC8),
/A1A331ED4A72327335FDA4B4C88BA1A1,Muscle Speed,
/BB4EC91E4200C932245439A4A6E96996,LANCER Evolution Ⅸ (CT9A),
/DF0993264259C9D8447F45B73FCB361D,Makke Pon Factory(MPR),
/717A7E8E494BBE7A439CF59476DB4A81,SKYLINE GT-R (BNR32),
/CF9D4DE4422C1AED63D3CCB35CEDB1B6,Motor Shop Ishii ,
/E70704C6475770D252DF27B0F5722941,SKYLINE GT-R (BNR34),
/DC0671544A20B44001D201825B79C880,=MCR=,
/7906DDB04437AE35D9C6C5A97799BE0D,RX-7 Type RS (FD3S),
/BBDE7FE54EEB845AA35B1690D92D92CA,FEED,
/64AB08FE4847DF4CBE24A0AEA72A0919,S2000 (AP1),
/E69C897E431E6C0537B2B1990792E72F,J'S RACING,
/EE401E934BE4902D6A8FEABB0AFF0C79,SILVIA K's (S13),
/7FB347474092DE1E944D7C8E2C3EB662,Osaki Speed,
/66AD0964452E660A525D21967BDBE580,EUNOS ROADSTER (NA6CE),
/A8DFC48446684966B8611690350338B8,GARAGE SG(SEGA),
/CEB27B8549139FD9042B14BE5E0AC90C,SUBARU BRZ S  (ZC6),
/EC4FE45548B51FAA1459A989199F0183,チューニングショップARAI,
/5134564A45B2F7301935858EB7037DE8,Civic SiR･Ⅱ (EG6),
/0CBFF705488FB2548C7FA4A3DC477123,Blessing,
/77A1C39A430ACD7D0C4ECEAD8A86DDD8,SWIFT Sport (ZC33S),
/CDD2D0A94E73645E514BADA92747E15F,Power House Brave,
/86E5262A4C3D6E9646CC5E9E172E359A,INTEGRA TYPE R (DC2),
/A229791E49E6377FF7AA64A8AF4B249E,Sega Speed Stars (SSS),
/43CA51F54DFFDDF387D471B20EE0AD6E,IMPREZA STi Ver.Ⅴ (GC8),
/B6B155AD4C1B7CD4ACC58E9EF6CAEE7E,Muscle Speed,
/5E1D2EB54DBD63DC0837C9A9277D2FD1,LANCER Evolution Ⅸ (CT9A),
/3228AA6D4C5538E07D4E76B36F037A4C,Makke Pon Factory(MPR),
/E194D00C40940902B3AD0D84B5D82A1D,SKYLINE GT-R (BNR32),
/6B9B7BA148DC03DC6BF932BC3C6E3731,Motor Shop Ishii ,
/8BB33F944A17ED74665DD09259523282,SKYLINE GT-R (BNR34),
/E9EF7A1A4D3AA421DA02348C1188BD23,=MCR=,
/3B477ABA4BECE62260194683B5B6A1C6,RX-7 Type RS (FD3S),
/3BFA26B840979FCECE38AF9C046B2958,FEED,
/E997D10844484CBF5579C4878D51844E,S2000 (AP1),
/CF8EA26D4F5B75859D059FBDF00B6098,J'S RACING,
