key,source,target
DT_StoryRank/49D92A78453B0A4849744993B1C9113D,ストーリーランクがあがった！,
DT_StoryRank/5F9866B74572DDFC07C1DAA082A4A0C1,ストーリーランクがあがった！,
DT_StoryRank/990EF9BF4AADC08A43D2D1BA5E219A68,ストーリーランクがあがった！,
DT_StoryRank/69CF38BC4A884B923A5EA093EAB541F0,ストーリーランクがブルー★になった！,
DT_StoryRank/16BF065C45A60681294F6B9FBEB20CCF,ストーリーランクがあがった！,
DT_StoryRank/9C2A0A40492DEC887BC9DBBAECD86201,ストーリーランクがあがった！,
DT_StoryRank/8F9CF3634D6A9AFEFACBA596F32E8944,ストーリーランクがレッド★になった！,
DT_StoryRank/07DA0E1C4D30C6D3FD6FCEADCC975204,ストーリーランクがあがった！,
DT_StoryRank/81FD2EB64F5CE995FC32FF96BCBFBBD4,ストーリーランクがあがった！,
DT_StoryRank/2743933B4D9B36A5475D73B736799E65,ストーリーランクがクリアグリーン★になった！,
DT_StoryRank/18C694FC4F4599406444C7BF9CC4533C,ストーリーランクがあがった！,
DT_StoryRank/0864BCCC488A50682C49E4B458815EC5,ストーリーランクがクリアグリーン★★★になった！,
DT_StoryRank/9B4F6BBF4CE607EB5D5636930DE7729D,ストーリーランクがあがった！,
DT_StoryRank/924711B048BD3AB70ADBA2BAED99B4D5,ストーリーランクがあがった！,
DT_StoryRank/E13E616045AFF78C3310CAADEB53F171,ストーリーランクがクリアブルー★になった！,
DT_StoryRank/3984C15749A88642F92ED0A449C63CEC,ストーリーランクがあがった！,
DT_StoryRank/931C6984432F68D5E3292DB197E9668E,ストーリーランクがクリアブルー★★★になった！,
DT_StoryRank/CF7331E04361901A2E5D19A7B9C178CC,ストーリーランクがあがった！,
DT_StoryRank/3CB2E47F4CBF26BC85A2CCB9168DE7A9,ストーリーランクがあがった！,
DT_StoryRank/EDC7831D4A005F37427DB38141F08EA3,ストーリーランクがクリアレッド★になった！,
DT_StoryRank/C9AEDB1947150CAC16FA53B7B20DC03E,ストーリーランクがあがった！,
DT_StoryRank/501A16DD488E3378A0DB7EB557FDE690,ストーリーランクがクリアレッド★★★になった！,
DT_StoryRank/578DA5684301B3D654EE2CB458A31224,ストーリーランクがあがった！,
DT_StoryRank/534082A4425B2EDCEA238B9FFD3448A5,ストーリーランクがあがった！,
DT_StoryRank/ABE031424C2FB453193EED9F37153ADC,ストーリーランクがエメラルド★になった！,
DT_StoryRank/A6CE86284699A3B3D3230B95B30370FC,ストーリーランクがあがった！,
DT_StoryRank/5A55511C47AED9E49D253D82A73BEF36,ストーリーランクがエメラルド★★★になった！,
DT_StoryRank/B8137F6546416301783503B68FBD777B,ストーリーランクがあがった！,
DT_StoryRank/4BEC98C1459606C5E888B69B89377AD9,ストーリーランクがエメラルド★★★★★になった！,
DT_StoryRank/ADFA3B4942DD03DBD1E78CACCE5E9702,ストーリーランクがあがった！,
