key,source,target
/6833003749CC1729CDA303B2C0217F61,なし,
/5DCE4EEB4A7FA7A9F9BF738C4FACE10F,デイリーボーナス,
/3795258740E44F24FF25728B47E8447F,ウィークリーボーナス,
/A42C9C3848766F3A344C82958AF09476,{1}をプレイ,
/B876847849CBF5DC08EDCDAF6A167600,{1}4人対戦ボーナス,
/B182E3D244CDE5662FB4F6B39554434F,{1}ボーナス{2},
/C71BD81C414B91257B62B5AC92DE5A50,同リーグ勝利ボーナス,
/5FC83CA64857580B24B6B2B7658A867E,{1}勝利ボーナス,
DT_TeamPointObtainTranslation/4E9051E94EDA1518A9B009B15F70FD29,{1}勝利ボーナス,
DT_TeamPointObtainTranslation/A4EBCCB94068E7FA10A45C8CA54CF9B8,{1}帯対戦ボーナス,
DT_TeamPointObtainTranslation/CEEC2C7844AD7D125EE3FDA651A51AC7,{1}{2}勝利ボーナス,
DT_TeamPointObtainTranslation/55DFFB1C4D25AA7FD8ADFB8EB63B84BB,{1}{2}クリアボーナス,
DT_TeamPointObtainTranslation/F2DBE4F3489A3A49C9E9069B640F05A6,{1}ボーナス,
DT_TeamPointObtainTranslation/95882C0D490F6A852F5B02BC94E78EA8,ストーリー,
DT_TeamPointObtainTranslation/CD994AF44E924E5AA890A0BC84CE6DAE,タイムトライアル,
DT_TeamPointObtainTranslation/BEEE8EA9476F6EC99FFDE69E987A75CD,公道最速理論,
DT_TeamPointObtainTranslation/BF7C1E0047F555310DF9D0858E81D9EC,オンラインバトル,
DT_TeamPointObtainTranslation/0DF12E3D477DEA96953E7696F4A0BA63,店内バトル,
DT_TeamPointObtainTranslation/8DDFEC9441E265E875D16DB829AA2DED,スペシャル,
DT_TeamPointObtainTranslation/58D875B94C8798DE4A6F6895E3571919,文太に挑戦,
DT_TeamPointObtainTranslation/B3C734F84BD1B024335ED2A623F154DE,Open League,
/DC3AC0234D91F25933CE1C94E450E759,Basic League,
DT_TeamPointObtainTranslation/79B3D69E4AD3BBB96AB2E88DA4515522,Bronze League,
DT_TeamPointObtainTranslation/33D7CAEB4D7E96DA5D895AAD7FEBEAB6,Silver League,
DT_TeamPointObtainTranslation/7272C2B64FBF016C47F830A6132E778B,Gold League,
DT_TeamPointObtainTranslation/320461F5407CF82442A130B321BABF48,Platinum League,
DT_TeamPointObtainTranslation/D2678D1C4ACC8CA8799981B08B2E8B45,Master League,
DT_TeamPointObtainTranslation/D4AA08F84924FD54517756B5F14A4B4C,勝利,
DT_TeamPointObtainTranslation/F469174B405329F761887AAAE5CA1577,敗北,
DT_TeamPointObtainTranslation/F7D03D9C491C42E923E3608AAE111A5A,クリアグリーン,
DT_TeamPointObtainTranslation/F777C18A41B8553A887EB4AE1E6630E1,クリアブルー,
DT_TeamPointObtainTranslation/317F877C44F374AE45766BB8CF33860C,クリアレッド,
DT_TeamPointObtainTranslation/1FC51D554E0A6F3A42009780F0AADEA8,エメラルド,
DT_TeamPointObtainTranslation/21E9F86B498B29707E107DA5A4F8AC0B,サファイア、PRIDE,
DT_TeamPointObtainTranslation/914AC38B4CEE44DFE8AD69902FE5467B,ルビー,
DT_TeamPointObtainTranslation/46BE9AF44A258260BE4A5F9615E2A86F,ブラックダイヤモンド,
DT_TeamPointObtainTranslation/192D95BE4C101E70B710D0AEA610B539,格上,
DT_TeamPointObtainTranslation/5388A0694A5853D8DEEB09929505EFF1,強豪レベル,
/18175E364F5E4C499766A3B66422A38F,ROOKIE,
/4AB2D70C43AE5E6970C33F9B7259F4F7,REGULAR,
DT_TeamPointObtainTranslation/A7B853914FBB6516D6E9C49A7BB7C68C,SPECIALIST,
DT_TeamPointObtainTranslation/17A892D0431395143C9A799D85CA1EA2,EXPERT,
DT_TeamPointObtainTranslation/0B0AF6AD4625C873D80CAEA9F0646392,PROFESSIONAL,
DT_TeamPointObtainTranslation/52972CF3408EEFB518C104A6248EF8E2,MASTER,
DT_TeamPointObtainTranslation/A07166FE40E2DF1261AD64908201CF1D,MASTER+,
DT_TeamPointObtainTranslation/82779CD04B718F4D5AB3A08CC3C49B14,1st,
DT_TeamPointObtainTranslation/3A3A8A114531ACF319A77AB6E41B894A,2nd,
DT_TeamPointObtainTranslation/DCA4D9934B4D6B83D77861A7110B007F,3rd,
DT_TeamPointObtainTranslation/77BAE1774AA9BC0201735A999321ECBD,4th,
/8FDC137C43BFCCA6E94159BC20DFEF3A,難易度,
/3D4270FC4C011A0B6A94338815518323,レベル,
