key,source,target
DT_StoryRank/E33454E940711A0B94EBD390E198A0A7,公道最速理論ランクがあがった！,
DT_StoryRank/64462DE547B4D307FA4511A2E4B419BF,公道最速理論ランクがあがった！,
DT_StoryRank/8494C94740AD3EF29F8828916D734A2C,公道最速理論ランクがあがった！,
DT_StoryRank/B9BE1C844BCEEAC6951AC1A258D26082,公道最速理論ランクがブルー★になった！,
DT_StoryRank/358D41264E2958F99B8524BBD29E24DA,公道最速理論ランクがあがった！,
DT_StoryRank/5FDC637843AC4998547A718C69D8F253,公道最速理論ランクがあがった！,
DT_StoryRank/7B01D66E40EC8C33BCBFDDA44797F41F,公道最速理論ランクがレッド★になった！,
DT_StoryRank/ED0476E04E6CE680CE4166BA2139E018,公道最速理論ランクがあがった！,
DT_StoryRank/BAE928B54AE250B6DDE6EE9890A48341,公道最速理論ランクがあがった！,
DT_StoryRank/7697696D42F9ED9F45C1E691685C48BC,公道最速理論ランクがクリアグリーン★になった！,
DT_StoryRank/D0C5C10A4E88E9E8A7AEE0A55CE1EC94,公道最速理論ランクがあがった！,
DT_StoryRank/B5CE4CA04CDD678A5902FA85FCB59683,公道最速理論ランクがクリアグリーン★★★になった！,
DT_StoryRank/451F341849AD3FC08D4F1585BAED935E,公道最速理論ランクがあがった！,
DT_StoryRank/57632BD346D57A3AC7181891BED2067D,公道最速理論ランクがあがった！,
DT_StoryRank/A3BE1EE748BF69BC07B35B9501C555BD,公道最速理論ランクがクリアブルー★になった！,
DT_StoryRank/0E05D3494FEBE841393806B60EFFD7C3,公道最速理論ランクがあがった！,
DT_StoryRank/781B0A60483E4EA29D5336A8A52E2FFA,公道最速理論ランクがクリアブルー★★★になった！,
DT_StoryRank/3D6AA14A45FE88E6D3E4419906D0ECF8,公道最速理論ランクがあがった！,
DT_StoryRank/BAB1C0104FD07B328532B29A1DF2A475,公道最速理論ランクがあがった！,
DT_StoryRank/18F28E6C4F267AE87E9ACC9AB1B78623,公道最速理論ランクがクリアレッド★になった！,
DT_StoryRank/17275E2240C2F17C1A8F6A9212E3BD47,公道最速理論ランクがあがった！,
DT_StoryRank/BBD2CD35462DA63AEECDB8ADA872AEF4,公道最速理論ランクがクリアレッド★★★になった！,
DT_StoryRank/1C28C5684189DDEC90DA2E8D62E57388,公道最速理論ランクがあがった！,
DT_StoryRank/94E4E58843919AFCF548CCA1C7AEECAE,公道最速理論ランクがあがった！,
DT_StoryRank/119BC61A48ADD37C0E6578987CF0DADC,公道最速理論ランクがエメラルド★になった！,
DT_StoryRank/6515B5D14149F10305C7EF8D96DD8945,公道最速理論ランクがあがった！,
DT_StoryRank/0F199D4D48A9FE4A2344A9BD5DF2DC17,公道最速理論ランクがエメラルド★★★になった！,
DT_StoryRank/B10464754F8916E56E9BCA86177842D5,公道最速理論ランクがあがった！,
DT_StoryRank/A09A0DA24825238EBE4400A323DAAD15,公道最速理論ランクがエメラルド★★★★★になった！,
DT_StoryRank/15B550FC480EFC3D195089A3ABE6DE27,公道最速理論ランクがあがった！,
/60A39D00474A054177D6DBB699FAE3A0,公道最速理論ランクがサファイア★になった！,
/E0ABD073429F71CBC897B48D9046DFA5,公道最速理論ランクがサファイア★★になった！,
/BBD023AF468FFEB4823C6EBB3D3078EC,公道最速理論ランクがサファイア★★★になった！,
/D098EACC42889C08B9626095D5A42192,公道最速理論ランクがサファイア★★★★になった！,
/0E2468D046F394AB81427BA51382D9CF,公道最速理論ランクがサファイア★★★★★になった！,
/7BD5A3CA42390EA8A79C97A9F28CFB18,公道最速理論ランクがサファイア★★★★★★になった！,
/EFC7A63B4EDE561CFAB5879CA3E5A626,公道最速理論ランクがサファイア★★★★★★★になった！,
