key,source,target
DT_TrialRank/DAAB869C4FDC07DAEB205D8BEC9D46EB,计时赛等级提升！,
DT_TrialRank/D93E75074976E90EE0DFEDA4E87F7B81,计时赛等级提升！,
DT_TrialRank/BE4EA0094A35D92E0C2CF5A4F9FFE0C4,计时赛等级提升！,
DT_TrialRank/396515A242D0426B18E56488DA9A5E92,计时赛等级达到蓝色★！,
DT_TrialRank/0F10826B4005235544C847AF14471762,计时赛等级提升！,
DT_TrialRank/C69C78BE43E1E358304BA5BE17885650,计时赛等级提升！,
DT_TrialRank/10EAAFD94F53E3130A691BA0EDDA99EF,计时赛等级达到红色★！,
DT_TrialRank/B95C6B254A492435503E5A881E64967C,计时赛等级提升！,
DT_TrialRank/B9CD5CA1441D3FAD7A3266AAB4BC478F,计时赛等级提升！,
DT_TrialRank/ACD4084F4768F20AEBC8348BC4350491,计时赛等级达到水晶绿★！,
DT_TrialRank/04C8035B48B8E12B6C4E51AA2E4C4FC7,计时赛等级提升！,
DT_TrialRank/8328CDB64F2A542CB40536A636405C47,计时赛等级提升！,
DT_TrialRank/E180D6FC4FF8FB9370A305BC1B9FB1C6,计时赛等级提升！,
DT_TrialRank/C2676F394F32A9A3C1DF478D8F5C3AA9,计时赛等级提升！,
DT_TrialRank/F1D3213B487D5ADFB9B09CAE41309BF6,计时赛等级达到水晶蓝★！,
DT_TrialRank/5370274F4FE69D0E0E4618A1F14354B6,计时赛等级提升！,
DT_TrialRank/B05A9BF44FC74DD5752639B416B8B5D8,计时赛等级提升！,
DT_TrialRank/60C2B0EF4C98DB5AE89EF18B09C9E284,计时赛等级提升！,
DT_TrialRank/7289EBB3427E5EECF9F25C8527C4F923,计时赛等级提升！,
DT_TrialRank/7B652C1146AA38A6D144E6AFC159D122,计时赛等级达到水晶红★！,
DT_TrialRank/DF2B951947863132C40DE2A6F6E117EE,计时赛等级提升！,
DT_TrialRank/65FF07D34C30043C2D3F118A9378991E,计时赛等级提升！,
DT_TrialRank/2C02B2944702CAFCED90BDAAEAB592E5,计时赛等级提升！,
DT_TrialRank/76F119F94A91B40D66FABF9362F96DEE,计时赛等级提升！,
DT_TrialRank/2E2919A14F1305A27DA6C29219C11AF3,计时赛等级达到绿宝石★！,
DT_TrialRank/25C416E74F8C8DA179EBD4B7BA271A96,计时赛等级提升！,
DT_TrialRank/C141FE934C0A24A9FA9855A07D4C5C27,计时赛等级提升！,
DT_TrialRank/5B2B3F0548A2D02DFBE8A2881AD002D5,计时赛等级提升！,
DT_TrialRank/5A64B3484A152A8582B80E82AFA8D250,计时赛等级提升！,
DT_TrialRank/B4D71A2A46CC0D45D9AF69BBB8DCDB70,计时赛等级提升！,
DT_TrialRank/67F0A09946F170BEDCF016BBC7E5755B,计时赛等级达到蓝宝石★！,
DT_TrialRank/6BCCEEBA4272EC439E7824962430CAA8,计时赛等级提升！,
DT_TrialRank/7B4993E14C8A10781EA8FCAC282762AC,计时赛等级提升！,
DT_TrialRank/A0E890404799D0E010028FA62EF3E290,计时赛等级提升！,
DT_TrialRank/7ABD3C4147DBD68372C10184E93BF1EB,计时赛等级提升！,
DT_TrialRank/997855B749A30DEA6C78FB8EDEF9E6A7,计时赛等级提升！,
DT_TrialRank/297A92DB48BDB06AD75A8BBDBBD36160,计时赛等级提升！,
DT_TrialRank/95AAF2954BA0A5785F968D9F0163DCBC,计时赛等级达到红宝石★！,
DT_TrialRank/B4F4C166452D05FB8C9C2298AAF36EF8,计时赛等级提升！,
DT_TrialRank/3124C96041E945B6869B4C801CF10DD4,计时赛等级提升！,
DT_TrialRank/2D313F4143C61A588CCDDE994A5EF931,计时赛等级提升！,
DT_TrialRank/6CF5FF96466D9B0E4DD538BD1D191A78,计时赛等级提升！,
DT_TrialRank/EBAC1AF64091283E7E7D9486F0A3D80C,计时赛等级提升！,
DT_TrialRank/94BE3B72428C5C1E06F4EE9229595FC2,计时赛等级提升！,
DT_TrialRank/150010D64FE04C29F52EAA93F95052C1,计时赛等级提升！,
