key,source,target
DT_ChatStamp/0_スタンプ名,你好！,
DT_ChatStamp/1_スタンプ名,请多指教。,
DT_ChatStamp/2_スタンプ名,谢谢！,
DT_ChatStamp/3_スタンプ名,明白了 / 好的,
DT_ChatStamp/4_スタンプ名,哼,
DT_ChatStamp/5_スタンプ名,我来了,
DT_ChatStamp/6_スタンプ名,哈喽,
DT_ChatStamp/7_スタンプ名,给点面子吧,
DT_ChatStamp/8_スタンプ名,哈哈哈,
DT_ChatStamp/9_スタンプ名,呜呜呜呜,
DT_ChatStamp/10_スタンプ名,你放马过来！,
DT_ChatStamp/11_スタンプ名,我最棒,
DT_ChatStamp/12_スタンプ名,震撼,
DT_ChatStamp/13_スタンプ名,膜拜大佬,
DT_ChatStamp/14_スタンプ名,厉害厉害,
DT_ChatStamp/15_スタンプ名,呵呵,
DT_ChatStamp/16_スタンプ名,伦家好怕怕,
DT_ChatStamp/17_スタンプ名,来一决胜负吧！,
DT_ChatStamp/18_スタンプ名,轰隆隆,
DT_ChatStamp/19_スタンプ名,咚,
DT_ChatStamp/20_スタンプ名,嗄嗄嗄嗄嗄,
DT_ChatStamp/21_スタンプ名,轰轰轰轰轰轰,
DT_ChatStamp/22_スタンプ名,来吧,
DT_ChatStamp/23_スタンプ名,好好激斗 天天向上,
DT_ChatStamp/24_スタンプ名,赞,
DT_ChatStamp/25_スタンプ名,嗨,
DT_ChatStamp/26_スタンプ名,初次见面！,
DT_ChatStamp/27_スタンプ名,我欠你一个人情,
DT_ChatStamp/28_スタンプ名,头文字D才是最棒的！,
DT_ChatStamp/29_スタンプ名,我要认真咯,
DT_ChatStamp/30_スタンプ名,手下留情,
DT_ChatStamp/31_スタンプ名,你的良心不会痛吗？,
DT_ChatStamp/32_スタンプ名,上坡吗……,
DT_ChatStamp/33_スタンプ名,下坡吗……,
DT_ChatStamp/34_スタンプ名,开启“单挑加成”！,
DT_ChatStamp/35_スタンプ名,关闭“单挑加成”！,
DT_ChatStamp/36_スタンプ名,你有那么快吗？,
DT_ChatStamp/37_スタンプ名,开始比赛吧！！,
DT_ChatStamp/38_スタンプ名,你系好安全带了吗？,
DT_ChatStamp/39_スタンプ名,这赛道，我跑的最好。,
DT_ChatStamp/40_スタンプ名,哎哟，这赛道我不擅长啊。,
DT_ChatStamp/41_スタンプ名,我绝对不会输,
DT_ChatStamp/42_スタンプ名,你以为你能赢？,
DT_ChatStamp/43_スタンプ名,我是初学者,
DT_ChatStamp/44_スタンプ名,我是高手,
DT_ChatStamp/45_スタンプ名,本人最帅,
DT_ChatStamp/46_スタンプ名,你是天才吗……？,
DT_ChatStamp/47_スタンプ名,我肚子饿了！,
DT_ChatStamp/48_スタンプ名,我想睡觉,
