key,source,target
DT_CourseInfo/AkinaLake_FormalName,秋名湖,
DT_CourseInfo/Myogi_FormalName,妙义,
DT_CourseInfo/Akagi_FormalName,赤城,
DT_CourseInfo/Akina_FormalName,秋名,
DT_CourseInfo/Irohazaka_FormalName,伊吕波坂,
DT_CourseInfo/Tsukuba_FormalName,筑波,
DT_CourseInfo/Happo_FormalName,八方原,
DT_CourseInfo/Nagao_FormalName,长尾,
DT_CourseInfo/Tsubaki_FormalName,椿线,
DT_CourseInfo/Usui_FormalName,碓冰,
DT_CourseInfo/Sadamine_FormalName,定峰,
DT_CourseInfo/Tsuchisaka_FormalName,土坂,
DT_CourseInfo/AkinaSnow_FormalName,秋名(雪),
DT_CourseInfo/Hakone_FormalName,箱根,
DT_CourseInfo/Momiji_FormalName,枫树线,
DT_CourseInfo/Nanamagari_FormalName,七曲,
DT_CourseInfo/Gunsai_FormalName,群马赛车场,
DT_CourseInfo/Odawara_FormalName,小田原,
DT_CourseInfo/TsukubaSnow_FormalName,筑波(雪),
DT_CourseInfo/Coute101_FormalName,矢柜,
DT_CourseInfo/TsuchisakaSnow_FormalName,土坂(雪),
