key,source,target
/C395EAB540C4B5AD8B8AB4AF989E440E,走り屋グレードがＥ８になった！,
/76775EE94D403E7A6A196CA3293C2EB9,走り屋グレードがＥ７になった！,
/35F09DF446B34B79E130F08FBD6F9748,走り屋グレードがＥ６になった！,
/40EC36644B32E3E5862949A2D142308F,走り屋グレードがＥ５になった！,
/AD37E93B47458F43FDA9A3803B2BBCB5,走り屋グレードがＥ４になった！,
/C3C3B37D4A2372D457BDE28774EDCDD6,走り屋グレードがＥ３になった！,
DT_DriverGrade/8_RewardReason,走り屋グレードがＥ２になった！,
DT_DriverGrade/9_RewardReason,走り屋グレードがＥ１になった！,
DT_DriverGrade/10_RewardReason,走り屋グレードがＤ９になった！,
DT_DriverGrade/11_RewardReason,走り屋グレードがＤ８になった！,
DT_DriverGrade/12_RewardReason,走り屋グレードがＤ７になった！,
DT_DriverGrade/13_RewardReason,走り屋グレードがＤ６になった！,
DT_DriverGrade/14_RewardReason,走り屋グレードがＤ５になった！,
DT_DriverGrade/15_RewardReason,走り屋グレードがＤ４になった！,
DT_DriverGrade/16_RewardReason,走り屋グレードがＤ３になった！,
DT_DriverGrade/17_RewardReason,走り屋グレードがＤ２になった！,
DT_DriverGrade/18_RewardReason,走り屋グレードがＤ１になった！,
DT_DriverGrade/19_RewardReason,走り屋グレードがＣ９になった！,
DT_DriverGrade/20_RewardReason,走り屋グレードがＣ８になった！,
DT_DriverGrade/21_RewardReason,走り屋グレードがＣ７になった！,
DT_DriverGrade/22_RewardReason,走り屋グレードがＣ６になった！,
DT_DriverGrade/23_RewardReason,走り屋グレードがＣ５になった！,
DT_DriverGrade/24_RewardReason,走り屋グレードがＣ４になった！,
DT_DriverGrade/25_RewardReason,走り屋グレードがＣ３になった！,
DT_DriverGrade/26_RewardReason,走り屋グレードがＣ２になった！,
DT_DriverGrade/27_RewardReason,走り屋グレードがＣ１になった！,
DT_DriverGrade/28_RewardReason,走り屋グレードがＢ９になった！,
DT_DriverGrade/29_RewardReason,走り屋グレードがＢ８になった！,
DT_DriverGrade/30_RewardReason,走り屋グレードがＢ７になった！,
DT_DriverGrade/31_RewardReason,走り屋グレードがＢ６になった！,
DT_DriverGrade/32_RewardReason,走り屋グレードがＢ５になった！,
DT_DriverGrade/33_RewardReason,走り屋グレードがＢ４になった！,
DT_DriverGrade/34_RewardReason,走り屋グレードがＢ３になった！,
DT_DriverGrade/35_RewardReason,走り屋グレードがＢ２になった！,
DT_DriverGrade/36_RewardReason,走り屋グレードがＢ１になった！,
DT_DriverGrade/37_RewardReason,走り屋グレードがＡ９になった！,
DT_DriverGrade/38_RewardReason,走り屋グレードがＡ８になった！,
DT_DriverGrade/39_RewardReason,走り屋グレードがＡ７になった！,
DT_DriverGrade/40_RewardReason,走り屋グレードがＡ６になった！,
DT_DriverGrade/41_RewardReason,走り屋グレードがＡ５になった！,
DT_DriverGrade/42_RewardReason,走り屋グレードがＡ４になった！,
DT_DriverGrade/43_RewardReason,走り屋グレードがＡ３になった！,
DT_DriverGrade/44_RewardReason,走り屋グレードがＡ２になった！,
DT_DriverGrade/45_RewardReason,走り屋グレードがＡ１になった！,
DT_DriverGrade/46_RewardReason,走り屋グレードがＳ９になった！,
DT_DriverGrade/47_RewardReason,走り屋グレードがＳ８になった！,
DT_DriverGrade/48_RewardReason,走り屋グレードがＳ７になった！,
DT_DriverGrade/49_RewardReason,走り屋グレードがＳ６になった！,
DT_DriverGrade/50_RewardReason,走り屋グレードがＳ５になった！,
DT_DriverGrade/51_RewardReason,走り屋グレードがＳ４になった！,
DT_DriverGrade/52_RewardReason,走り屋グレードがＳ３になった！,
DT_DriverGrade/53_RewardReason,走り屋グレードがＳ２になった！,
DT_DriverGrade/54_RewardReason,走り屋グレードがＳ１になった！,
DT_DriverGrade/55_RewardReason,走り屋グレードがＳＳ９になった！,
DT_DriverGrade/56_RewardReason,走り屋グレードがＳＳ８になった！,
DT_DriverGrade/57_RewardReason,走り屋グレードがＳＳ７になった！,
DT_DriverGrade/58_RewardReason,走り屋グレードがＳＳ６になった！,
DT_DriverGrade/59_RewardReason,走り屋グレードがＳＳ５になった！,
DT_DriverGrade/60_RewardReason,走り屋グレードがＳＳ４になった！,
DT_DriverGrade/61_RewardReason,走り屋グレードがＳＳ３になった！,
DT_DriverGrade/62_RewardReason,走り屋グレードがＳＳ２になった！,
DT_DriverGrade/63_RewardReason,走り屋グレードがＳＳ１になった！,
DT_DriverGrade/64_RewardReason,走り屋グレードがＸ９になった！,
DT_DriverGrade/65_RewardReason,走り屋グレードがＸ８になった！,
DT_DriverGrade/66_RewardReason,走り屋グレードがＸ７になった！,
DT_DriverGrade/67_RewardReason,走り屋グレードがＸ６になった！,
DT_DriverGrade/68_RewardReason,走り屋グレードがＸ５になった！,
DT_DriverGrade/69_RewardReason,走り屋グレードがＸ４になった！,
DT_DriverGrade/70_RewardReason,走り屋グレードがＸ３になった！,
DT_DriverGrade/71_RewardReason,走り屋グレードがＸ２になった！,
DT_DriverGrade/72_RewardReason,走り屋グレードがＸ１になった！,
DT_DriverGrade/73_RewardReason,走り屋グレードがＸＸ９になった！,
DT_DriverGrade/74_RewardReason,走り屋グレードがＸＸ８になった！,
DT_DriverGrade/75_RewardReason,走り屋グレードがＸＸ７になった！,
DT_DriverGrade/76_RewardReason,走り屋グレードがＸＸ６になった！,
DT_DriverGrade/77_RewardReason,走り屋グレードがＸＸ５になった！,
DT_DriverGrade/78_RewardReason,走り屋グレードがＸＸ４になった！,
DT_DriverGrade/79_RewardReason,走り屋グレードがＸＸ３になった！,
DT_DriverGrade/80_RewardReason,走り屋グレードがＸＸ２になった！,
DT_DriverGrade/81_RewardReason,走り屋グレードがＸＸ１になった！,
