key,source,target
DT_NeonTableInfo/Neon_toho_reimu_50_UnderNeonName,アンダーネオン(博麗霊夢),
DT_NeonTableInfo/Neon_toho_marisa_51_UnderNeonName,アンダーネオン(霧雨魔理沙),
DT_NeonTableInfo/Neon_toho_shameimar_52_UnderNeonName,アンダーネオン(射命丸文),
DT_NeonTableInfo/Neon_inid_wave_00_UnderNeonName,ウェーブ,
DT_NeonTableInfo/Neon_inid_wave_01_UnderNeonName,ウェーブ（レッド）,
DT_NeonTableInfo/Neon_inid_wave_02_UnderNeonName,ウェーブ（オレンジ）,
DT_NeonTableInfo/Neon_inid_wave_03_UnderNeonName,ウェーブ（イエロー）,
DT_NeonTableInfo/Neon_inid_wave_04_UnderNeonName,ウェーブ（ライトグリーン）,
DT_NeonTableInfo/Neon_inid_wave_05_UnderNeonName,ウェーブ（グリーン）,
DT_NeonTableInfo/Neon_inid_wave_06_UnderNeonName,ウェーブ（ライトブルー）,
DT_NeonTableInfo/Neon_inid_wave_07_UnderNeonName,ウェーブ（ブルー）,
DT_NeonTableInfo/Neon_inid_wave_08_UnderNeonName,ウェーブ（パープル）,
DT_NeonTableInfo/Neon_inid_wave_09_UnderNeonName,ウェーブ（ピンク）,
DT_NeonTableInfo/Neon_inid_wave_10_UnderNeonName,ウェーブ（ゴールド）,
DT_NeonTableInfo/Neon_inid_wave_11_UnderNeonName,ウェーブ（シルバー）,
DT_NeonTableInfo/Neon_inid_wave_12_UnderNeonName,ウェーブ（ホワイト）,
DT_NeonTableInfo/Neon_inid_spark_00_UnderNeonName,スパーク,
DT_NeonTableInfo/Neon_inid_spark_01_UnderNeonName,スパーク（レッド）,
DT_NeonTableInfo/Neon_inid_spark_02_UnderNeonName,スパーク（オレンジ）,
DT_NeonTableInfo/Neon_inid_spark_03_UnderNeonName,スパーク（イエロー）,
DT_NeonTableInfo/Neon_inid_spark_04_UnderNeonName,スパーク（ライトグリーン）,
DT_NeonTableInfo/Neon_inid_spark_05_UnderNeonName,スパーク（グリーン）,
DT_NeonTableInfo/Neon_inid_spark_06_UnderNeonName,スパーク（ライトブルー）,
DT_NeonTableInfo/Neon_inid_spark_07_UnderNeonName,スパーク（ブルー）,
DT_NeonTableInfo/Neon_inid_spark_08_UnderNeonName,スパーク（パープル）,
DT_NeonTableInfo/Neon_inid_spark_09_UnderNeonName,スパーク（ピンク）,
DT_NeonTableInfo/Neon_inid_spark_10_UnderNeonName,スパーク（ゴールド）,
DT_NeonTableInfo/Neon_inid_spark_11_UnderNeonName,スパーク（シルバー）,
DT_NeonTableInfo/Neon_inid_spark_12_UnderNeonName,スパーク（ホワイト）,
DT_NeonTableInfo/Neon_inid_leaf_00_UnderNeonName,リーフ,
DT_NeonTableInfo/Neon_inid_leaf_01_UnderNeonName,リーフ（レッド）,
DT_NeonTableInfo/Neon_inid_leaf_02_UnderNeonName,リーフ（オレンジ）,
DT_NeonTableInfo/Neon_inid_leaf_03_UnderNeonName,リーフ（イエロー）,
DT_NeonTableInfo/Neon_inid_leaf_04_UnderNeonName,リーフ（ライトグリーン）,
DT_NeonTableInfo/Neon_inid_leaf_05_UnderNeonName,リーフ（グリーン）,
DT_NeonTableInfo/Neon_inid_leaf_06_UnderNeonName,リーフ（ライトブルー）,
DT_NeonTableInfo/Neon_inid_leaf_07_UnderNeonName,リーフ（ブルー）,
DT_NeonTableInfo/Neon_inid_leaf_08_UnderNeonName,リーフ（パープル）,
DT_NeonTableInfo/Neon_inid_leaf_09_UnderNeonName,リーフ（ピンク）,
DT_NeonTableInfo/Neon_inid_leaf_10_UnderNeonName,リーフ（ゴールド）,
DT_NeonTableInfo/Neon_inid_leaf_11_UnderNeonName,リーフ（シルバー）,
DT_NeonTableInfo/Neon_inid_leaf_12_UnderNeonName,リーフ（ホワイト）,
DT_NeonTableInfo/Neon_inid_shock_00_UnderNeonName,ショック,
DT_NeonTableInfo/Neon_inid_shock_01_UnderNeonName,ショック（レッド）,
DT_NeonTableInfo/Neon_inid_shock_02_UnderNeonName,ショック（オレンジ）,
DT_NeonTableInfo/Neon_inid_shock_03_UnderNeonName,ショック（イエロー）,
DT_NeonTableInfo/Neon_inid_shock_04_UnderNeonName,ショック（ライトグリーン）,
DT_NeonTableInfo/Neon_inid_shock_05_UnderNeonName,ショック（グリーン）,
DT_NeonTableInfo/Neon_inid_shock_06_UnderNeonName,ショック（ライトブルー）,
DT_NeonTableInfo/Neon_inid_shock_07_UnderNeonName,ショック（ブルー）,
DT_NeonTableInfo/Neon_inid_shock_08_UnderNeonName,ショック（パープル）,
DT_NeonTableInfo/Neon_inid_shock_09_UnderNeonName,ショック（ピンク）,
