key,source,target
/BCD4FC1F468BE61E94A69CAF43869B75,参加PRIDE比赛！,
/C77CEF5A4F920E45923B4AA28A4E92AF,PRIDE点数达到100！,
/C29E29714FABC1BDCCBE1182266B9BAE,PRIDE点数达到500！,
/D6AF5DAE4643146CFF2326B39DC8CF7A,PRIDE点数达到1000！,
/82B7915D484CDFBF67F413941ADAC0B1,PRIDE点数达到5000！,
/5DD5085B42F576EC83F8D8A671DBC6C2,PRIDE点数达到10000！,
/813CA31E4227B5ABBBE6FC9D8EBCABA8,PRIDE点数达到50000！,
DT_PrideRank/8_RewardReason,PRIDE点数达到20000！,
DT_PrideRank/9_RewardReason,PRIDE点数达到30000！,
DT_PrideRank/10_RewardReason,PRIDE点数达到40000！,
DT_PrideRank/11_RewardReason,PRIDE点数达到60000！,
DT_PrideRank/12_RewardReason,PRIDE点数达到70000！,
DT_PrideRank/13_RewardReason,PRIDE点数达到80000！,
DT_PrideRank/14_RewardReason,PRIDE点数达到90000！,
