key,source,target
/3E5CE85540E96F4525F09986B295F85B,キャッシュ　{num},
/A80A315A4E49108756BDC9909A8328AD,キャッシュ,
/8A2AA5D34BA6E0CC3065079CC2D713F1,{num},
/294FAF98455C900EE2B73B9597E7BAF0,カスタマイズポイント　{num}ポイント,
/5315DBE341F40D85F52045967B797938,カスタマイズポイント,
/C2011128410F9055E276DE8ABE6588AE,{num}ポイント,
/FE3DE45448D67F81B13CA4AB9DE17DF4,ドレスアップトークン　{num}枚,
/024493514383C897FCD0AD89623162A1,ドレスアップトークン,
/A9F41DAF4326C9A549F506960B8D6722,{num}枚,
/6DAC32C04BD5E9D5D35014843CBC30F2,アバターポイント　{num}ポイント,
/17845599408D63E42D7417A9F71C1CD3,アバターポイント,
/932A81164E85E19CE5324CAA0D399559,{num}ポイント,
/8A0C74324F01C07BA7AFC68D5EC751E6,アバタートークン　{num}枚,
/053047CE4819F09FFA917094D54DC94D,アバタートークン,
/9CE89A644BE12A2E9FA697B733F8266A,{num}枚,
/48EA51A3452228222E8D538939AFC29B, ,
/C36D5BD040BF6AD0BE38A8A4998F6FEE,メーター　{partsname},
/D5AE38F048E734382201768D3207A933,メーター,
/E70618DC43A447CCFD00778DA13243F1,{partsname},
/D5F23A1C43088C76BE2F2F9B84CFF8DC, ,
/2FA379D2451D3290EB8B0FAFEC3DB5A9,オーラ　{partsname},
/8189370D4B98E5A988C194ABACAB0478,オーラ,
/BB3562354574FD69D43CDCA0017B6170,{partsname},
/3EA11E384DEE732DF608C99C09423781, ,
/F31AA61E417F88B37C593FB274EFA6F3,オーラカラー　{partsname},
/CA6550AC42426860B10F1C91B02EE969,オーラカラー,
/BEEB0FBA40512F3DFBD98DA9882659BE,{partsname},
/81FF27A043851C2AACA869A86589308C, ,
/0E0AC20A42B495AFB9B5B3B6880A2F25,アバター　{partsname},
/6134A9384D320909B272EA87345F54A8,アバター,
/0E9087864C151BFF632940AA36B1F63D,{partsname},
/1A2B174542BD711AF9F3DAA4A24227B4, ,
/7E5ACB6D4D7AE9EFF35A24B29A48FA1A,アバター　{partsname},
/9B759CA94F600B5511FC8FB9D287444B,アバター,
/397496624BEE2EBD32A6CF8C095563CB,{partsname},
/A7E3696E410C6498C9B33F9F8A0627FC, ,
/97982F9C464E1ED6A9AECA92863FEF02,アバター　{partsname},
/55596B484D5E1AFD7B3016A9203C00F9,アバター,
/5BD1FE9A45C8EEA1521A948F299E6714,{partsname},
/2F38C0AB4B9C229AB49265B0C160F7A8, ,
/5BDED0C8466105A24B1C6C9991104342,アバター　{partsname},
/3979AB0B431D4B8A008AFA9F5E5CD4C8,アバター,
/EC5B514D47D941E9330EEAA57AC36137,{partsname},
/676F012A4AA9D3FB732195A394962055, ,
/EF11A55847D43D102DFB51B90D36C17B,アバター　{partsname},
/6A806B364D35702603F6EDA2C48AE121,アバター,
/6ECC7CC34A8037A9CB346A805A7EDE5C,{partsname},
/EE1E766E419CDAA9BDA0088442D0C731, ,
/7ADBF1EE4AE13C6EA253AA86CE873C98,アバター　{partsname},
/9E60CF774FB69054E06192A299CD00E7,アバター,
/0A07018B45557601D7CDC392451F7122,{partsname},
/E11422C7492CEC7CD57228B23C3345CF, ,
/5AE1C2AB469EA44C65D19791797E465F,アバター　{partsname},
/C51ACB794F466D1A8464C9AF902F29DC,アバター,
/EBB966914B4993E4501DBFA8F61B1CE1,{partsname},
/CE686C684356BCF84CE7B4975E46D62F, ,
/9D6BD915471046C5302C489747839169,アバター　{partsname},
/501B68904FE5D5292768A0B8D81D2DCD,アバター,
/B951488F40A94DCC89E91C81BC5C4229,{partsname},
/DBF36B4A41E2F29D2E27DD8C26E4D54A, ,
/AAE2737349F005C23BFA20AD58E316BD,アバター　{partsname},
/ED2357304FFFEE1A9F470FB71D5E8F8F,アバター,
/E006BA2546D2AD2D6EFE29AA09571C20,{partsname},
/3F0AE753480E903619D66981A5F363B1, ,
/4EE93C9B43955C38A844C583E2FBF778,アバター　{partsname},
/D1731B9A447B66C3DFBCD09E89F81643,アバター,
/5C2D79664A2CE067132116B44C020AAF,{partsname},
/B34E236F488164E00536BE9399D2E268, ,
/8DF4BED94FC9A8996959E2BD79537B25,アバター　{partsname},
/50F9A5E94292330DA5ED8E9429419583,アバター,
/ABB97F024487B4A7D76EA8BDD625C944,{partsname},
/B0A10CA5421A094168D7FCA0907ED883, ,
/7C04A3604D901F55718E4780C244B41F,アバター　{partsname},
/0F6F2CFE486B95613D1CF1993276B6A1,アバター,
/B9598C4A48F9AFE0FA57BEAD46E6383A,{partsname},
/B4E284B5438C61D44DB0D7974B0D6709, ,
/0A71FB1B4971A9BC092F2E829DCB11EF,チャットスタンプ　{partsname},
/9D04DB0F49AD8EAC9BD66F8AE2FAEA20,チャットスタンプ,
/78F0E3B34CAEECA045FD828AEA3F9CA8,{partsname},
/9ED95A9044D014FAB839E592D0C983E8, ,
/C554FEEB4A5F30B625C68EBD27489291,車内キーホルダー　{partsname},
/83A9F5C94ACF467B4D47F1852E967783,車内キーホルダー,
/50EBD132441B3776412E839ACE9FC52C,{partsname},
/85128CB44581B111429A41B96760A418, ,
/CF32C35048336F55A0F6EEB172139C06,レースカットイン　{partsname},
/807A084142A032A42DA24FBF0F0EF610,レースカットイン,
/933AA1DB481C131699C53994EE6F36C5,{partsname},
/2EC97E4C494D17613A3A748EC7905A0B, ,
/EE4434EA406846C5F118308F00E76A8F,称号　{partsname},
/8DBE51D4457119DFC01E37BC12BE8107,称号,
/09EC56D24F79E486AF75EB84109F9D96,{partsname},
/2D14E46348E16ACB87C7E39F91E67F3B,FULL Tune車種購入チケット　{num}枚,
/C061BD4E4C6408F135455CB2133B6537,FULL Tune車種購入チケット,
