key,source,target
/8A4029A549942183E845F2ADAD3A9FB6,秋名湖,
/C4C19456406DB76410656489C61A7AB7,3.1km,
/4DB947314D2C89E62AA41CB71F2C2F99,妙義,
/04C36D404B9F2189A7AD76BF31B3A065,7.0km,
/BDDCAF2241B35A110B348C94D24B9292,赤城,
/AC8C321B4FFF0CCA819ADC91B59FAE73,5.8km,
/FCA53B2548082205AEA27DBFBBF40274,秋名,
/F5AF24E0410009EE99A3EC9DADB49B5D,7.5km,
/967AD5334860F35BA36D778E6D74CD6C,いろは坂,
/D6632B784098DED35121B28991CFF4B2,5.1km,
/5917EA49407C87EE0BED00B239422E8B,筑波,
/F8D153F449B5DD2273D617B5AAFAC01E,6.8km,
/44771DD04194527CE25986AC28D6CC8D,八方ヶ原,
/D8C12ACF480B828F17F1E0878FA4357C,5.4km,
/D9DEF6064D98FF7A7D69C6B8A9302D40,長尾,
/8FD966164935ACC9EF4AC59ED6A5BF56,6.5km,
/0F5BCB3C41A445E1FD6212B226460E40,椿ライン,
/46CB3AA84A10A9C008D005BC4FAB8709,7.3km,
/2BECFD9942135443DA8C7997D734B7BE,碓氷,
/B6FDF01C4BEC404EFC3295A76E3C9E94,3.9km,
/E07F4B7A44065CEE5C8C319752388D4A,定峰,
/3E110CC04D081FFD0D0F79BF46DD9E9A,6.8km,
/B0899EB544F5E7E2286AA38ECF4AA9B1,土坂,
/5BC149C946AB014192A4FCA11495DD0B,6.7km,
/60291FF24FB244BD69C820B20B56E446,秋名(雪),
/771E48E348A30B6C3A3CFEA6F9E458A3,7.5km,
/535189FB4A9FB1A5F76CD288D4D2BFAC,箱根,
/5E928EFA4CC9D59CDCEFC9BC753DD7DD,10.7km,
/403A42C448C663F041D491A43B6E2A3B,もみじライン,
/B7F35B754A665D68AFD54BAAECE697E6,6.1km,
/BED52EDD44A0E1EA5E0A5C8C8D96F9F7,七曲り,
/4B176CA340CCD8A9FD6181A2A206714E,5.9km,
/E63BAFB84C390AD3E96F7380071CEC5B,群サイ,
/F9AE8DC441795D6606B4C1818DD5D3F4,6.0km,
/AC87C8FB483E03EA7292C4937D2E53F8,小田原,
/C56B2CD344DCB9BBCCC53CB3148C53FA,4.4km,
/46877E60415601241A5942BFB4ECA116,筑波(雪),
