key,source,target
/416F1C5B4B3BDCD6B96F22B67B741040,コンティニュー,
DT_SoundReference_BGM_Race/Race_98_曲名,随机,
/E3374B8641A05F3D5F0EFBAEF82D4520,----,
DT_SoundReference_BGM_Race/Race_99_曲名,无背景音乐,
/6DBFE4E542E22C671DE06AAEB8FC003A,----,
DT_SoundReference_BGM_Race/Race_14_曲名,推选背景音乐,
/B88C81BE490A7AE3F1AE119AADB2585E,----,
DT_SoundReference_BGM_Race/A_ONE_01_曲名,Dive into the SPEED,
DT_SoundReference_BGM_Race/A_ONE_01_アーティスト,A-One  Vo: AXEL.K,
DT_SoundReference_BGM_Race/A_ONE_02_曲名,Waiting for you,
DT_SoundReference_BGM_Race/A_ONE_02_アーティスト,A-One  Vo: Shihori,
DT_SoundReference_BGM_Race/A_ONE_03_曲名,Starlight Spada,
DT_SoundReference_BGM_Race/A_ONE_03_アーティスト,A-One  Vo: Rute,
DT_SoundReference_BGM_Race/A_ONE_04_曲名,Don't stop your way,
DT_SoundReference_BGM_Race/A_ONE_04_アーティスト,A-One  Vo: あき,
DT_SoundReference_BGM_Race/A_ONE_05_曲名,Good Energy Flow,
DT_SoundReference_BGM_Race/A_ONE_05_アーティスト,A-One  Vo: Nene,
DT_SoundReference_BGM_Race/A_ONE_06_曲名,Super Sonic,
DT_SoundReference_BGM_Race/A_ONE_06_アーティスト,A-One  Vo: 光吉猛修,
DT_SoundReference_BGM_Race/A_ONE_07_曲名,High Speed Live,
DT_SoundReference_BGM_Race/A_ONE_07_アーティスト,A-One  Vo: さちぶどう,
DT_SoundReference_BGM_Race/A_ONE_08_曲名,Midnight Tournament,
DT_SoundReference_BGM_Race/A_ONE_08_アーティスト,A-One  Vo: KEN BLAST,
DT_SoundReference_BGM_Race/A_ONE_10_曲名,Drive Your Ambition,
DT_SoundReference_BGM_Race/A_ONE_10_アーティスト,A-One  Vo: みぃ,
DT_SoundReference_BGM_Race/A_ONE_11_曲名,Turn It Around,
DT_SoundReference_BGM_Race/A_ONE_11_アーティスト,A-One  Vo: KEN BLAST,
DT_SoundReference_BGM_Race/A_ONE_09_曲名,SCRAMBLE EYES,
DT_SoundReference_BGM_Race/A_ONE_09_アーティスト,MOTSU vs A-One,
DT_SoundReference_BGM_Race/A_ONE_15_曲名,DUAL ROZES,
DT_SoundReference_BGM_Race/A_ONE_15_アーティスト,SOUND HOLIC vs Eurobeat Union  Vo: Nana Takahashi,
DT_SoundReference_BGM_Race/A_ONE_16_曲名,EDGE OF TIME,
DT_SoundReference_BGM_Race/A_ONE_16_アーティスト,SOUND HOLIC  Vo: 709sec.,
DT_SoundReference_BGM_Race/A_ONE_17_曲名,God only knows,
DT_SoundReference_BGM_Race/A_ONE_17_アーティスト,A-One  Vo: みぃ,
DT_SoundReference_BGM_Race/A_ONE_19_曲名,PANDORA ZONE,
DT_SoundReference_BGM_Race/A_ONE_19_アーティスト,SOUND HOLIC  Vo: Nana Takahashi,
DT_SoundReference_BGM_Race/A_ONE_18_曲名,Crazy Hot,
DT_SoundReference_BGM_Race/A_ONE_18_アーティスト,NJK Record  Vo: 坂上なち,
DT_SoundReference_BGM_Race/A_ONE_20_曲名,ANGEL WiNG (Crazy REMIX with DiGiTAL WiNG),
DT_SoundReference_BGM_Race/A_ONE_20_アーティスト,DiGiTAL WiNG / CrazyBeats  Vo: 花たん,
DT_SoundReference_BGM_Race/A_ONE_21_曲名,"Endless, Sleepless Night",
DT_SoundReference_BGM_Race/A_ONE_21_アーティスト,A-One  Vo: かにぱん。,
DT_SoundReference_BGM_Race/A_ONE_22_曲名,STARVING RAVEN,
DT_SoundReference_BGM_Race/A_ONE_22_アーティスト,SOUND HOLIC  Vo: Nana Takahashi,
DT_SoundReference_BGM_Race/A_ONE_13_曲名,Horse Power Desire,
DT_SoundReference_BGM_Race/A_ONE_13_アーティスト,Dave Rodgers  Vo: Dave Rodgers,
DT_SoundReference_BGM_Race/A_ONE_14_曲名,TOFU CONNECTION,
DT_SoundReference_BGM_Race/A_ONE_14_アーティスト,Dave Rodgers  Vo: Dave Rodgers,
DT_SoundReference_BGM_Race/A_ONE_23_曲名,Fever on the Road,
DT_SoundReference_BGM_Race/A_ONE_23_アーティスト,A-One  Vo: あやぽんず＊ / ytr,
DT_SoundReference_BGM_Race/A_ONE_24_曲名,NITRO RAINBOW,
DT_SoundReference_BGM_Race/A_ONE_24_アーティスト,SOUND HOLIC vs Eurobeat Union　Vo: Nana Takahashi,
DT_SoundReference_BGM_Race/A_ONE_25_曲名,IGNITE THE POWER,
DT_SoundReference_BGM_Race/A_ONE_25_アーティスト,SOUND HOLIC  Vo: STEVIE(44MAGNUM),
DT_SoundReference_BGM_Race/A_ONE_26_曲名,Chase The Ghost,
DT_SoundReference_BGM_Race/A_ONE_26_アーティスト,Sachi@SEGA,
DT_SoundReference_BGM_Race/A_ONE_27_曲名,BURN INSIDE,
DT_SoundReference_BGM_Race/A_ONE_27_アーティスト,TAKENOBU & KUNOICHI @SEGA,
DT_SoundReference_BGM_Race/A_ONE_28_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_28_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_29_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_29_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_36_曲名,BEAT DOWN,
DT_SoundReference_BGM_Race/A_ONE_36_アーティスト,A-One  Vo: Rute,
DT_SoundReference_BGM_Race/A_ONE_30_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_30_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_31_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_31_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_32_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_32_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_33_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_33_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_35_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_35_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_34_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_34_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_37_曲名,DEEP IN THE HEATWAVE,
DT_SoundReference_BGM_Race/A_ONE_37_アーティスト,SOUND HOLIC  Vo: 小寺可南子,
DT_SoundReference_BGM_Race/A_ONE_38_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_38_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_39_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_39_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_45_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_45_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_40_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_40_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_41_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_41_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_46_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_46_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_42_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_42_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_43_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_43_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_44_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_44_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_53_曲名,Asterist,
DT_SoundReference_BGM_Race/A_ONE_53_アーティスト,DiGiTAL WiNG  Vo: ふうか,
DT_SoundReference_BGM_Race/A_ONE_52_曲名,PARAMETERS,
DT_SoundReference_BGM_Race/A_ONE_52_アーティスト,DiGiTAL WiNG  Vo: 沙,
DT_SoundReference_BGM_Race/A_ONE_48_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_48_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_49_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_49_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_50_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_50_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_51_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_51_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_54_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_54_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_55_曲名,God Bless You!!,
DT_SoundReference_BGM_Race/A_ONE_55_アーティスト,A-One  Vo: NAGISA,
DT_SoundReference_BGM_Race/A_ONE_56_曲名,Love Thief,
DT_SoundReference_BGM_Race/A_ONE_56_アーティスト,Crazy Beats  Vo: 加藤ありさ,
DT_SoundReference_BGM_Race/A_ONE_57_曲名,Veiling Shooter,
DT_SoundReference_BGM_Race/A_ONE_57_アーティスト,A-One  Vo: 花たん,
DT_SoundReference_BGM_Race/A_ONE_58_曲名,Twin Blade,
DT_SoundReference_BGM_Race/A_ONE_58_アーティスト,A-One  Vo: Rute / あき,
DT_SoundReference_BGM_Race/A_ONE_59_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_59_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_60_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_60_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_61_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_61_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_62_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_62_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_63_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_63_アーティスト,dummy,
DT_SoundReference_BGM_Race/A_ONE_64_曲名,dummy,
DT_SoundReference_BGM_Race/A_ONE_64_アーティスト,dummy,
