key,source,target
DT_StoryRank/2_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/3_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/4_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/5_RewardReason,ストーリーランクがブルー★になった！,
DT_StoryRank/6_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/7_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/8_RewardReason,ストーリーランクがレッド★になった！,
DT_StoryRank/9_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/10_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/11_RewardReason,ストーリーランクがクリアグリーン★になった！,
DT_StoryRank/12_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/13_RewardReason,ストーリーランクがクリアグリーン★★★になった！,
DT_StoryRank/14_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/15_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/16_RewardReason,ストーリーランクがクリアブルー★になった！,
DT_StoryRank/17_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/18_RewardReason,ストーリーランクがクリアブルー★★★になった！,
DT_StoryRank/19_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/20_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/21_RewardReason,ストーリーランクがクリアレッド★になった！,
DT_StoryRank/22_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/23_RewardReason,ストーリーランクがクリアレッド★★★になった！,
DT_StoryRank/24_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/25_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/26_RewardReason,ストーリーランクがエメラルド★になった！,
DT_StoryRank/27_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/28_RewardReason,ストーリーランクがエメラルド★★★になった！,
DT_StoryRank/29_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/30_RewardReason,ストーリーランクがエメラルド★★★★★になった！,
DT_StoryRank/31_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/32_RewardReason,ストーリーランクがサファイア★になった！,
DT_StoryRank/33_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/34_RewardReason,ストーリーランクがサファイア★★★になった！,
DT_StoryRank/35_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/36_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/37_RewardReason,ストーリーランクがサファイア★★★★★★になった！,
DT_StoryRank/38_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/39_RewardReason,ストーリーランクがルビー★になった！,
DT_StoryRank/40_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/41_RewardReason,ストーリーランクがルビー★★★になった！,
DT_StoryRank/42_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/43_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/44_RewardReason,ストーリーランクがルビー★★★★★★になった！,
DT_StoryRank/45_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/46_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/47_RewardReason,ストーリーランクがブラックダイヤモンド★になった！,
DT_StoryRank/48_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/49_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/50_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/51_RewardReason,ストーリーランクがブラックダイヤモンド★★★★★になった！,
DT_StoryRank/52_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/53_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/54_RewardReason,ストーリーランクがあがった！,
DT_StoryRank/55_RewardReason,ストーリーランクがブラックダイヤモンド★★★★★★★★★になった！,
