key,source,target
/67D8792D4510957B4F092BAB84630492,ダミー,
/56CA68AB4F1A74476410028E4E1B42C8,スタンダード（深緑）,
/23F4C10F422DE005E1652E913F083F71,スタンダード（青）,
/0613ECD442D0959A9C93D49C207F7361,スタンダード（朱）,
/67C2CF2C457BDF42AB4CCE9272EDEDA4,スタンダード（白）,
/1E098E6446910F34F1DC1C87204CC828,ノーマル（白）,
/FD39210148B53A170F7B789E7269EF52,ノーマル（青）,
/0C0472CD48CF5AAD70AC8B9CC7DDF13C,ノーマル（赤）,
/373CDC794DCA7177711E819873389996,ノーマル（橙）,
/33B6D6584D506EE88D1C799924B3FA67,レトロ（白）,
/DAC8682A4E4EDAEA3587078D0980FB6E,レトロ（黒）,
/FCE4E0CA414CD64938651C8847091EB3,レトロ（赤）,
/AB3B5401420402A13F36E4BB35928A0F,レトロ（紫）,
/7FA118CA492BD79B9AB21DB9955F863C,Season3 Gold League,
/AA099BB343F83F8AF8DF7EB55C7F0AEA,Season3 Platinum League TOP10,
/C09A9A624626C6A9DE4C1A9EA1218608,Season3 Platinum League TOP100,
/221BE68349B7F4C9C358B384B4A0CD9D,Season3 Platinum League,
/DA17FEAA4043576046738BB67658CAD4,Season3 Master League Champion,
/27DD904C4B39BA606AC8899217910BE9,Season3 Master League TOP10,
/BE8C8E7341FA5FF74B1533A5187CED0C,Season3 Master League,
DT_TeamLogoList/NewRow_19_TeamLogoName,ストライプ(橙),
DT_TeamLogoList/NewRow_20_TeamLogoName,ストライプ(桃),
DT_TeamLogoList/NewRow_21_TeamLogoName,ストライプ(青),
DT_TeamLogoList/NewRow_22_TeamLogoName,ストライプ(紫),
DT_TeamLogoList/NewRow_23_TeamLogoName,トライアングル(橙),
DT_TeamLogoList/NewRow_24_TeamLogoName,トライアングル(桃),
DT_TeamLogoList/NewRow_25_TeamLogoName,トライアングル(青),
DT_TeamLogoList/NewRow_26_TeamLogoName,トライアングル(紫),
DT_TeamLogoList/NewRow_27_TeamLogoName,パステル(白),
DT_TeamLogoList/NewRow_28_TeamLogoName,パステル(橙),
DT_TeamLogoList/NewRow_29_TeamLogoName,パステル(緑),
DT_TeamLogoList/NewRow_30_TeamLogoName,パステル(青),
DT_TeamLogoList/NewRow_31_TeamLogoName,青海波(白),
DT_TeamLogoList/NewRow_32_TeamLogoName,青海波(黄),
DT_TeamLogoList/NewRow_33_TeamLogoName,青海波(緑),
DT_TeamLogoList/NewRow_34_TeamLogoName,青海波(青),
DT_TeamLogoList/NewRow_35_TeamLogoName,桜(桃),
DT_TeamLogoList/NewRow_36_TeamLogoName,桜(モノクロ),
DT_TeamLogoList/NewRow_37_TeamLogoName,桜(水),
DT_TeamLogoList/NewRow_38_TeamLogoName,桜(紫),
DT_TeamLogoList/NewRow_39_TeamLogoName,金龍,
DT_TeamLogoList/NewRow_40_TeamLogoName,Season4 Gold League,
DT_TeamLogoList/NewRow_41_TeamLogoName,Season4 Platinum League TOP10,
DT_TeamLogoList/NewRow_42_TeamLogoName,Season4 Platinum League TOP100,
DT_TeamLogoList/NewRow_43_TeamLogoName,Season4 Platinum League,
DT_TeamLogoList/NewRow_44_TeamLogoName,Season4 Master League Champion,
DT_TeamLogoList/NewRow_45_TeamLogoName,Season4 Master League TOP10,
DT_TeamLogoList/NewRow_46_TeamLogoName,Season4 Master League,
