key,source,target
/9205C22449CA0B4FD45DD89F3A41DCEB,チーム勧誘情報,
/2171BC664440A996BBDD909F51B0CF89,Team Recruitment Information,
/0E2F913449CC4F92EA3BCA9B278A41B4,チーム作成,
/25C247424B2B55C3361B0080656AE221,Create Team,
/14AA586B45E2C2F7B12A0FBFFB402E2E,チーム加入,
/E07A17CF47D42E4A5EFC8B93914242CC,Join a Team,
/3588D68F417A93F3324C3BB06227EBB3,チーム情報,
/FF42913A494242A5A9F410BE63C4268C,Team Information,
/D2E3DABD49E64B9355C2BF89E15037B2,背景カスタマイズ,
/BAE9B91C4E2CAA84880E1E9E524CB9F1,Background Customize,
/E10D808E4EB43A3CC16840BF84B570B2,チーム管理,
/6026C13047AB57FF0679198D543A8A72,Manage Team,
/B96B1EAC42770A71B7AD40855DF3D515,鑑賞モード,
/7E6A978D4B1100383E1A5B9845789349,View Mode,
/CA43CB5040DE389282ABBF8A682E8E7B,チーム脱退,
/BD5F8EEF4165BCF5DAA290B9FEFE21E1,Leave the Team,
/0EC9A32243558E7E46F79791E631B68D,モード選択,
/BD065C554DF7A32E837FCE8880782BB5,Mode Select,
