key,source,target
/DD5EF835481F6C5609FED98707CE9F04,なし,
/AC8E01F84880546D828599BCB0A8A21D,デイリーボーナス,
/5BCBAE8F4C6DAD590E2A9699CC2EE8C8,ウィークリーボーナス,
/B0AD20104FB6F743B6061ABC92073F1A,{1}をプレイ,
/367008F9422F89D6F31C8FB1B2ACA02D,{1}4人対戦ボーナス,
/05F25B85430D2F7661E0C29DC91D744B,{1}ボーナス{2},
/503D237846316C4AF3456292D62D27A8,同リーグ勝利ボーナス,
/1E9812144828E7E57D07EA8517825CD7,{1}勝利ボーナス,
DT_TeamPointObtainTranslation/0_8_ConditionTranslationText,{1}勝利ボーナス,
DT_TeamPointObtainTranslation/0_9_ConditionTranslationText,{1}帯対戦ボーナス,
DT_TeamPointObtainTranslation/0_10_ConditionTranslationText,{1}{2}勝利ボーナス,
DT_TeamPointObtainTranslation/0_11_ConditionTranslationText,{1}{2}クリアボーナス,
DT_TeamPointObtainTranslation/0_12_ConditionTranslationText,{1}ボーナス,
DT_TeamPointObtainTranslation/2_0_ConditionTranslationText,ストーリー,
DT_TeamPointObtainTranslation/2_1_ConditionTranslationText,タイムトライアル,
DT_TeamPointObtainTranslation/2_2_ConditionTranslationText,公道最速理論,
DT_TeamPointObtainTranslation/2_3_ConditionTranslationText,オンラインバトル,
DT_TeamPointObtainTranslation/2_4_ConditionTranslationText,店内バトル,
DT_TeamPointObtainTranslation/2_5_ConditionTranslationText,スペシャル,
DT_TeamPointObtainTranslation/2_6_ConditionTranslationText,文太に挑戦,
DT_TeamPointObtainTranslation/3_0_ConditionTranslationText,Open League,
/858D43A147D78A0C9E4A2998519A0D9A,Basic League,
DT_TeamPointObtainTranslation/3_1_ConditionTranslationText,Bronze League,
DT_TeamPointObtainTranslation/3_2_ConditionTranslationText,Silver League,
DT_TeamPointObtainTranslation/3_3_ConditionTranslationText,Gold League,
DT_TeamPointObtainTranslation/3_4_ConditionTranslationText,Platinum League,
DT_TeamPointObtainTranslation/3_5_ConditionTranslationText,Master League,
DT_TeamPointObtainTranslation/4_0_ConditionTranslationText,勝利,
DT_TeamPointObtainTranslation/4_1_ConditionTranslationText,敗北,
DT_TeamPointObtainTranslation/5_0_ConditionTranslationText,クリアグリーン,
DT_TeamPointObtainTranslation/5_1_ConditionTranslationText,クリアブルー,
DT_TeamPointObtainTranslation/5_2_ConditionTranslationText,クリアレッド,
DT_TeamPointObtainTranslation/5_3_ConditionTranslationText,エメラルド,
DT_TeamPointObtainTranslation/5_4_ConditionTranslationText,サファイア、PRIDE,
DT_TeamPointObtainTranslation/5_5_ConditionTranslationText,ルビー,
DT_TeamPointObtainTranslation/5_6_ConditionTranslationText,ブラックダイヤモンド,
DT_TeamPointObtainTranslation/6_0_ConditionTranslationText,格上,
DT_TeamPointObtainTranslation/6_1_ConditionTranslationText,強豪レベル,
/06DF1AC3409BF0DD1D2617B17ADB9849,ROOKIE,
/DD78C82B42CFE1666BA17E8CDFE004E7,REGULAR,
DT_TeamPointObtainTranslation/7_2_ConditionTranslationText,SPECIALIST,
DT_TeamPointObtainTranslation/7_3_ConditionTranslationText,EXPERT,
DT_TeamPointObtainTranslation/7_4_ConditionTranslationText,PROFESSIONAL,
DT_TeamPointObtainTranslation/7_5_ConditionTranslationText,MASTER,
DT_TeamPointObtainTranslation/7_6_ConditionTranslationText,MASTER+,
DT_TeamPointObtainTranslation/8_0_ConditionTranslationText,1st,
DT_TeamPointObtainTranslation/8_1_ConditionTranslationText,2nd,
DT_TeamPointObtainTranslation/8_2_ConditionTranslationText,3rd,
DT_TeamPointObtainTranslation/8_3_ConditionTranslationText,4th,
/2F14E3CE484D878D515623BF7143DB5E,難易度,
/792E8A904B57DBBFA9D72BA49546E2E1,レベル,
/81E9F9F04017EA199A8C6F85305C73A2,強豪チーム勝利ボーナス,
/8D06E6694984AE319774BFBBC112E0AD,頂上チーム勝利ボーナス,
/C56CC24A4BB95096C542859C27030F56,上位チーム勝利ボーナス,
/BAA114414988689BA13E89862515262E,LEGEND,
