key,source,target
/928331214ECA6CF8B3175D9055F786C6,OPERATION MODE,
/02D2B3CB4046BBBEE718D0BA1B647093,NORMAL,
/0923C92C480B407F8896D9BAB03B3C1C,SPECIAL A (IN-SHOP VS2),
/8CBECFCE4429357AD5F856881874912A,SPECIAL B (IN-SHOP VS4),
/EF9E540B4E1F5EDA0F35DDAA79EBD31A,　,
/A2B3F41A4320334A4948EE9FEE7A536E,ADVERTISE SOUND,
/50E7C7C446911C7FF51A439A7588A2DB,OFF,
/B1E51ED24E6E64CCB5C7DAACF11E1CA6,ON,
/51FA23A14044DDC3B46676BC7E7AA50A,DEFAULT VIEW,
/5A0D58F84189D9A14F2E63A35FACBD31,REAR,
/40A53FF243122DF298D5DAAF509541E2,FRONT,
/324D456F4D782F8281BF16B1277594B4,CONTINUE,
/7DEADB0943973BFCFB7BF7B0C1B10022,OFF,
/29650E8C4766353FD5DE1CA13698F3C7,ON,
/C08135F4400F81F35A6EB097BD03059A,IN-SHOP VS LIMIT OF WIN,
/3554E9544EC2A90A652F58B72D73EBBD,3 TIMES,
/13E263694E2F267DA0017BA2C753217B,1 TIME,
/FF2267C648C291CE7BFD4DA31EE6DF39,ALL.NET VS LIMIT OF WIN,
/CD2640D644C4273F24F66EA2A3538DCC,1 TIME,
/541E54134E32A83FD4BCFC906CE29AEF,2 TIMES,
/7E2FE80C426C7C13CFAC7B87620A17B8,EXIT,
