key,source,target
/330812C84C7940D3D0126D8E267AD959,SPECIAL2 MATCH,
/870CC496415C0C80D60DBDA96F23F37F,1 VS 2    3 VS 4,
/1B3D7E79494A84FCD01771A6402E636C,1 VS 3    2 VS 4,
/9E41B5E44D5AF1FEC3AC679C92DCE98E,1 VS 4    2 VS 3,
/20CA617A46336196397170A78129CB26,EVENT COURSE SET,
/BD14FAA24DEA2247E5B84D96B9C1977E,NORMAL,
/952F8BF44372C70C42C86192199E1ED6,ALL,
/549A770D4AC0CBF56C4A14B45B07446A,SPECIAL,
/99DDC3E74626BB3AF8455C8F4707996E,akina,
/BFD57DAE4FBE91BAD60D04B8AC34D6BF,OFF,
/86F700D545091E87613F1C9445C04243,ON,
/92002AA546152AEE4BB63FB27360767F,akagi,
/98A5347449A69F94D6A89782F862A6DC,iroha,
/595710614902474904FF00BFA1434D3D,usui,
/D22119D94EDBED0A4438D4AEAD862110,akinako,
/FF5E2EAA46F468DC7FD509BACF8E7D0F,myougi,
/92313F9F4EC5403C6EABE8AC9C31D2DB,akina(snow),
/91829E8A47AF9B849811F6AA8708E4B0,EXIT,
