key,source,target
/FEFCACF648633CFD5A975EAA4C26B873,START BUTTON,
/D4C914EB40F45C8B98800CAED088D2A5,OFF,
/F33B78564DEA1618F0AB26A69F5FEDA9,ON,
/508777D042A8D2A7621D049A304CF734,VIEW CHANGE BUTTON,
/5C0B4F0D4A5ECB67F9F4DD91E15DAB3A,OFF,
/1C9CED6A4357810D8349B3A3FCFBCEA5,ON,
/99C4E3B243152759525AAE81BE6E8A56,UP BUTTON,
/78D57283430DCE0B5D15ECB534B27358,DOWN BUTTON,
/1349369C43A144D8161E71967537557F,RIGHT BUTTON,
/EF5A31294589B7CB051524B31ED974A4,LEFT BUTTON,
/E382EA7C4B2F6A34891F1F94A9580EF9,LEFT UP LED,
/E5014F6C4DB13422F8756F850CA9DDC1,BLUE,
/EE11F70F4806671CFB654A99231025A5,RED,
/B9A57E5E4B2C2408FC3D5693E386AFED,MAGENTA,
/7F76BB6243BDCC9BEE71619DF84CA136,GREEN,
/AE52C5C743D68154819F2DB95647B5B6,CYAN,
/969B756D456ABD91673CA6A991AB68DD,YELLOW,
/62DC06CC43B7EE63E5617AA28813C586,WHITE,
/62F191E44F1E712FEB93439964BD897E,LEFT CENTER LED,
/1610F94448F1F46FC1B485BA808A749A,LEFT DOWN LED,
/CB6AB1164744F5645B178A9BEB6F2E61,RIGHT UP LED,
/767980694214E589C331AF9EE1747EAD,RIGHT CENTER LED,
/0D021611482D6E3B4C5D59A2B98691A2,RIGHT DOWN LED,
/A50894F341EAF35B078CD8B835FD43C2,SEAT LEFT LED,
/E9F2AEC249B28491FFA5F58768004FCB,SEAT RIGHT LED,
/A7FF8CAE4DC02B3F97E5C3AB412C1F39,Aime LED,
/30002BCF4E17C0A90838028A7E471D38,RED,
/B0CB8A0B42E66768241629A0103D500D,GREEN,
/CA5F667C426514F8D11D609A5AAD5546,BLUE,
/CB36FF934DD23C0441DBA68ED3D0212F,EXIT,
