key,source,target
/608CE04F4A1FC287EC10A0B85ADADEDA,親睦Lv.1,
/1F1926AD406B87A4B7555F8778E580D5,親睦Lv.2,
/F1F466EA48BA17BAB40936B7A467B8B5,親睦Lv.3,
/87DCC8AE4212D95C6C61EDAD9C4EC0BE,親睦Lv.4,
/390B539D4EBBA2B0F048ECB18CFB7D65,親睦Lv.5,
/D52954704FB9C79E459FA1AFC0CEC8EB,親睦Lv.6,
/8E0A36604B1E1F34A48B7E84EBC16FEB,親睦Lv.7,
/F5EC8AC14D75B40592407D953206A916,親睦Lv.8,
/E845910944B9A3C08B9D61B5727FA74F,親睦Lv.9,
/313C1718464FC1B6E368F6891FEBA0E2,親睦Lv.10,
/43AF18CF4AEDC183390C70B1E8054806,親睦Lv.11,
/979C56DF4EC51085B72C66916C7BE939,親睦Lv.12,
/212E04A249A9225E26C2188B7146DB65,親睦Lv.13,
/041F39D44D0A7873C602839E376B1E95,親睦Lv.14,
/28195D3749AEB03911EEAC90217B68E2,親睦Lv.15,
/F97BF0694B9D4FE8EB710389BD039965,親睦Lv.MAX,
