key,source,target
DT_StoryRank/85A193774D7EFF06B1634F95DD95BA7D,公道最速理論ランクがあがった！,
DT_StoryRank/B824ECC84F2E9163C9D3C9BF4EAB7DE7,公道最速理論ランクがあがった！,
DT_StoryRank/1C31B13E454601E859402FB576B08E63,公道最速理論ランクがあがった！,
DT_StoryRank/9258A8CF476764CE9AFBD2AB8D98420A,公道最速理論ランクがブルー★になった！,
DT_StoryRank/66BA4C4B482ACE72A54CE6967B31278E,公道最速理論ランクがあがった！,
DT_StoryRank/A9C0E40E401E2661D1541BA33ED8E9A8,公道最速理論ランクがあがった！,
DT_StoryRank/0EF4989744A032D2EF368599D71A185B,公道最速理論ランクがレッド★になった！,
DT_StoryRank/7B431D3D4C9CCDE50CFA1082D3B29913,公道最速理論ランクがあがった！,
DT_StoryRank/DF0239A84AF9CA99F949C0913524B847,公道最速理論ランクがあがった！,
DT_StoryRank/56BBD26449D6EC37E3CF31A8619F2B60,公道最速理論ランクがクリアグリーン★になった！,
DT_StoryRank/143D49BC492084332F4057B7362F2231,公道最速理論ランクがあがった！,
DT_StoryRank/91B7CC76462DA0137B9B4C8B1E31BB6E,公道最速理論ランクがクリアグリーン★★★になった！,
DT_StoryRank/DC53D2DF487B0C6B4C8A53B161813700,公道最速理論ランクがあがった！,
DT_StoryRank/2F9BA30247FAFE50E66946B097D2E445,公道最速理論ランクがあがった！,
DT_StoryRank/C3121BF74A0E4ECD9AC27D9DD9FA8ED7,公道最速理論ランクがクリアブルー★になった！,
DT_StoryRank/61EF74FD452AFF1266C8AF9D52D985CC,公道最速理論ランクがあがった！,
DT_StoryRank/807834054164BC4A3072BCADF852CB84,公道最速理論ランクがクリアブルー★★★になった！,
DT_StoryRank/BE5D12524AC1D7166D27A1BD78DAFFC8,公道最速理論ランクがあがった！,
DT_StoryRank/27FB3C804B13CE1A50A9E28EE681212E,公道最速理論ランクがあがった！,
DT_StoryRank/C33C26A34612795ADF2ECABF76BAE01C,公道最速理論ランクがクリアレッド★になった！,
DT_StoryRank/75E7CE8148B49C5117FCF58B593A777C,公道最速理論ランクがあがった！,
DT_StoryRank/640BA13644EBFC34912064B753BFC548,公道最速理論ランクがクリアレッド★★★になった！,
DT_StoryRank/250DB24C40B026D6B97FD88FA6CF4662,公道最速理論ランクがあがった！,
DT_StoryRank/FB6B6A444FABB2872BB34BAC2D105F36,公道最速理論ランクがあがった！,
DT_StoryRank/9BA3B2C54230DE1920292783B7401D18,公道最速理論ランクがエメラルド★になった！,
DT_StoryRank/9578CBD34E1D26090838D7AB6026353D,公道最速理論ランクがあがった！,
DT_StoryRank/090E84764C25F3D8FDB5AC94CD119F26,公道最速理論ランクがエメラルド★★★になった！,
DT_StoryRank/55EE064B4466A5376A218DBB1E1991F8,公道最速理論ランクがあがった！,
DT_StoryRank/6D09E12C46341950ED51E899DE1381AF,公道最速理論ランクがエメラルド★★★★★になった！,
DT_StoryRank/6F17BF8446F50F3A6F4431A3A16DAE86,公道最速理論ランクがあがった！,
