key,source,target
DT_TitleData/Title_1_TitleName,传说中的车手,
DT_TitleData/Title_1_Description,车手级别达到D9！,
DT_TitleData/Title_2_TitleName,奋迅的车手,
DT_TitleData/Title_2_Description,车手级别达到C9！,
DT_TitleData/Title_3_TitleName,异次元的车手,
DT_TitleData/Title_3_Description,车手级别达到B9！,
DT_TitleData/Title_4_TitleName,身经百战的车手,
DT_TitleData/Title_4_Description,车手级别达到A9！,
DT_TitleData/Title_5_TitleName,一骑当千的车手,
DT_TitleData/Title_5_Description,车手级别达到S9！,
DT_TitleData/Title_6_TitleName,疾风迅雷的车手,
DT_TitleData/Title_6_Description,车手级别达到SS9！,
DT_TitleData/Title_7_TitleName,风驰电掣的车手,
DT_TitleData/Title_7_Description,车手级别达到X9！,
DT_TitleData/Title_8_TitleName,完璧无瑕的车手,
DT_TitleData/Title_8_Description,车手级别达到XX9！,
DT_TitleData/Title_9_TitleName,天下无双的车手,
DT_TitleData/Title_9_Description,车手级别达到XXXX9！,
DT_TitleData/Title_10_TitleName,公道传说的车手,
DT_TitleData/Title_10_Description,车手级别达到XXXX1！,
DT_TitleData/Title_11_TitleName,对战新手,
DT_TitleData/Title_11_Description,已游玩10次在线对战！,
DT_TitleData/Title_12_TitleName,狗斗,
DT_TitleData/Title_12_Description,已游玩100次在线对战！,
DT_TitleData/Title_13_TitleName,战斗狂人,
DT_TitleData/Title_13_Description,已游玩500次在线对战！,
DT_TitleData/Title_14_TitleName,战斗大师,
DT_TitleData/Title_14_Description,已游玩1000次在线对战！,
DT_TitleData/Title_15_TitleName,比了几场记不清了,
DT_TitleData/Title_15_Description,已游玩5000次在线对战！,
DT_TitleData/Title_16_TitleName,对战就是我的人生,
DT_TitleData/Title_16_Description,已游玩10000次在线对战！,
DT_TitleData/Title_17_TitleName,不断追逐胜利的人,
DT_TitleData/Title_17_Description,在线对战获得10次胜利！,
DT_TitleData/Title_18_TitleName,对胜利的探索,
DT_TitleData/Title_18_Description,在线对战获得100次胜利！,
DT_TitleData/Title_19_TitleName,对胜利的渴望,
DT_TitleData/Title_19_Description,在线对战获得500次胜利！,
DT_TitleData/Title_20_TitleName,约定的胜利,
DT_TitleData/Title_20_Description,在线对战获得1000次胜利！,
DT_TitleData/Title_21_TitleName,没有胜利就没有快乐,
DT_TitleData/Title_21_Description,在线对战获得5000次胜利！,
DT_TitleData/Title_22_TitleName,胜利……直到永远,
DT_TitleData/Title_22_Description,在线对战获得10000次胜利！,
DT_TitleData/Title_23_TitleName,连战连胜,
DT_TitleData/Title_23_Description,在线对战获得3连胜！,
DT_TitleData/Title_24_TitleName,升龙,
DT_TitleData/Title_24_Description,在线对战获得6连胜！,
DT_TitleData/Title_25_TitleName,独孤求败,
DT_TitleData/Title_25_Description,在线对战获得10连胜！,
DT_TitleData/Title_26_TitleName,羽量级格斗家,
DT_TitleData/Title_26_Description,在线等级达到蓝色★！,
DT_TitleData/Title_27_TitleName,轻量级格斗家,
DT_TitleData/Title_27_Description,在线等级达到红色★！,
DT_TitleData/Title_28_TitleName,中量级格斗家,
DT_TitleData/Title_28_Description,在线等级达到水晶绿★！,
DT_TitleData/Title_29_TitleName,重量级格斗家,
DT_TitleData/Title_29_Description,在线等级达到水晶蓝★！,
DT_TitleData/Title_30_TitleName,老练的格斗家,
DT_TitleData/Title_30_Description,在线等级达到水晶红★！,
DT_TitleData/Title_31_TitleName,危险的格斗家,
DT_TitleData/Title_31_Description,在线等级达到绿宝石★！,
DT_TitleData/Title_32_TitleName,激情的格斗家,
DT_TitleData/Title_32_Description,在线等级达到蓝宝石★！,
DT_TitleData/Title_33_TitleName,最高级格斗家,
DT_TitleData/Title_33_Description,在线等级达到红宝石★！,
DT_TitleData/Title_34_TitleName,终极格斗家,
DT_TitleData/Title_34_Description,在线等级达到黑钻石★！,
DT_TitleData/Title_35_TitleName,传说级格斗家,
DT_TitleData/Title_35_Description,在线等级达到黑钻石★★★★★★★★★！,
DT_TitleData/Title_36_TitleName,连胜的终结者,
DT_TitleData/Title_36_Description,战胜3连胜中的对手！,
DT_TitleData/Title_37_TitleName,连胜的守护神,
DT_TitleData/Title_37_Description,战胜5连胜中的对手！,
DT_TitleData/Title_38_TitleName,守护神火爆降临,
DT_TitleData/Title_38_Description,战胜10连胜中的对手！,
DT_TitleData/Title_39_TitleName,大家一起热闹热闹,
DT_TitleData/Title_39_Description,已游玩10次店内对战！,
DT_TitleData/Title_40_TitleName,盛况空前,
DT_TitleData/Title_40_Description,已游玩100次店内对战！,
DT_TitleData/Title_41_TitleName,切磋琢磨,
DT_TitleData/Title_41_Description,已游玩500次店内对战！,
DT_TitleData/Title_42_TitleName,宛如云霞,
DT_TitleData/Title_42_Description,已游玩1000次店内对战！,
DT_TitleData/Title_43_TitleName,游戏厅是我家,
DT_TitleData/Title_43_Description,已游玩5000次店内对战！,
DT_TitleData/Title_44_TitleName,这里我说了算,
DT_TitleData/Title_44_Description,已游玩10000次店内对战！,
DT_TitleData/Title_45_TitleName,就是想赢,
DT_TitleData/Title_45_Description,店内对战获得10次胜利！,
DT_TitleData/Title_46_TitleName,求胜的态度,
DT_TitleData/Title_46_Description,店内对战获得100次胜利！,
DT_TitleData/Title_47_TitleName,此为胜利方程式,
DT_TitleData/Title_47_Description,店内对战获得500次胜利！,
DT_TitleData/Title_48_TitleName,街机厅王者,
DT_TitleData/Title_48_Description,店内对战获得1000次胜利！,
DT_TitleData/Title_49_TitleName,坚持不懈的训练成果,
DT_TitleData/Title_49_Description,店内对战获得5000次胜利！,
DT_TitleData/Title_50_TitleName,闭上嘴跟着我,
DT_TitleData/Title_50_Description,店内对战获得10000次胜利！,
DT_TitleData/Title_51_TitleName,这车能赢……,
DT_TitleData/Title_51_Description,店内对战获得3连胜！,
DT_TitleData/Title_52_TitleName,放马过来,
DT_TitleData/Title_52_Description,店内对战获得6连胜！,
DT_TitleData/Title_53_TitleName,没人能阻止我,
DT_TitleData/Title_53_Description,店内对战获得10连胜！,
DT_TitleData/Title_54_TitleName,新人赛车手,
DT_TitleData/Title_54_Description,店内等级达到蓝色★！,
