key,source,target
DT_TrialRank/2_RewardReason,计时赛等级提升！,
DT_TrialRank/3_RewardReason,计时赛等级提升！,
DT_TrialRank/4_RewardReason,计时赛等级提升！,
DT_TrialRank/5_RewardReason,计时赛等级达到蓝色★！,
DT_TrialRank/6_RewardReason,计时赛等级提升！,
DT_TrialRank/7_RewardReason,计时赛等级提升！,
DT_TrialRank/8_RewardReason,计时赛等级达到红色★！,
DT_TrialRank/9_RewardReason,计时赛等级提升！,
DT_TrialRank/10_RewardReason,计时赛等级提升！,
DT_TrialRank/11_RewardReason,计时赛等级达到水晶绿★！,
DT_TrialRank/12_RewardReason,计时赛等级提升！,
DT_TrialRank/13_RewardReason,计时赛等级提升！,
DT_TrialRank/14_RewardReason,计时赛等级提升！,
DT_TrialRank/15_RewardReason,计时赛等级提升！,
DT_TrialRank/16_RewardReason,计时赛等级达到水晶蓝★！,
DT_TrialRank/17_RewardReason,计时赛等级提升！,
DT_TrialRank/18_RewardReason,计时赛等级提升！,
DT_TrialRank/19_RewardReason,计时赛等级提升！,
DT_TrialRank/20_RewardReason,计时赛等级提升！,
DT_TrialRank/21_RewardReason,计时赛等级达到水晶红★！,
DT_TrialRank/22_RewardReason,计时赛等级提升！,
DT_TrialRank/23_RewardReason,计时赛等级提升！,
DT_TrialRank/24_RewardReason,计时赛等级提升！,
DT_TrialRank/25_RewardReason,计时赛等级提升！,
DT_TrialRank/26_RewardReason,计时赛等级达到绿宝石★！,
DT_TrialRank/27_RewardReason,计时赛等级提升！,
DT_TrialRank/28_RewardReason,计时赛等级提升！,
DT_TrialRank/29_RewardReason,计时赛等级提升！,
DT_TrialRank/30_RewardReason,计时赛等级提升！,
DT_TrialRank/31_RewardReason,计时赛等级提升！,
DT_TrialRank/32_RewardReason,计时赛等级达到蓝宝石★！,
DT_TrialRank/33_RewardReason,计时赛等级提升！,
DT_TrialRank/34_RewardReason,计时赛等级提升！,
DT_TrialRank/35_RewardReason,计时赛等级提升！,
DT_TrialRank/36_RewardReason,计时赛等级提升！,
DT_TrialRank/37_RewardReason,计时赛等级提升！,
DT_TrialRank/38_RewardReason,计时赛等级提升！,
DT_TrialRank/39_RewardReason,计时赛等级达到红宝石★！,
DT_TrialRank/40_RewardReason,计时赛等级提升！,
DT_TrialRank/41_RewardReason,计时赛等级提升！,
DT_TrialRank/42_RewardReason,计时赛等级提升！,
DT_TrialRank/43_RewardReason,计时赛等级提升！,
DT_TrialRank/44_RewardReason,计时赛等级提升！,
DT_TrialRank/45_RewardReason,计时赛等级提升！,
DT_TrialRank/46_RewardReason,计时赛等级提升！,
DT_TrialRank/47_RewardReason,计时赛等级达到黑钻石★！,
DT_TrialRank/48_RewardReason,计时赛等级提升！,
DT_TrialRank/49_RewardReason,计时赛等级提升！,
DT_TrialRank/50_RewardReason,计时赛等级提升！,
DT_TrialRank/51_RewardReason,计时赛等级提升！,
DT_TrialRank/52_RewardReason,计时赛等级提升！,
DT_TrialRank/53_RewardReason,计时赛等级提升！,
DT_TrialRank/54_RewardReason,计时赛等级提升！,
DT_TrialRank/55_RewardReason,计时赛等级达到黑钻石★★★★★★★★★！,
DT_TrialRank/56_RewardReason,计时赛等级提升！,
DT_TrialRank/57_RewardReason,计时赛等级提升！,
DT_TrialRank/58_RewardReason,计时赛等级提升！,
DT_TrialRank/59_RewardReason,计时赛等级提升！,
DT_TrialRank/60_RewardReason,计时赛等级提升！,
DT_TrialRank/61_RewardReason,计时赛等级提升！,
DT_TrialRank/62_RewardReason,计时赛等级提升！,
DT_TrialRank/63_RewardReason,计时赛等级提升！,
