key,source,target
DT_Tuning_Parts_Param/2_PartsName,軽量フライホイール,
DT_Tuning_Parts_Param/3_PartsName,強化クラッチ,
DT_Tuning_Parts_Param/4_PartsName,ハイリフトカムシャフト,
DT_Tuning_Parts_Param/5_PartsName,ポート研磨,
DT_Tuning_Parts_Param/6_PartsName,ポート研磨,
DT_Tuning_Parts_Param/7_PartsName,ボアアップ,
DT_Tuning_Parts_Param/8_PartsName,タワーバー,
DT_Tuning_Parts_Param/9_PartsName,フロントラダーバー,
DT_Tuning_Parts_Param/10_PartsName,リアラダーバー,
DT_Tuning_Parts_Param/11_PartsName,ロールバー,
DT_Tuning_Parts_Param/12_PartsName,軽量化（ＬＶ１）,
DT_Tuning_Parts_Param/13_PartsName,軽量化（ＬＶ２）,
DT_Tuning_Parts_Param/14_PartsName,スポット増し,
DT_Tuning_Parts_Param/15_PartsName,レーシングブレーキパッド,
DT_Tuning_Parts_Param/16_PartsName,メッシュホース,
DT_Tuning_Parts_Param/17_PartsName,高性能サスペンション,
DT_Tuning_Parts_Param/18_PartsName,強化スタビライザー,
DT_Tuning_Parts_Param/19_PartsName,強化サスアーム,
DT_Tuning_Parts_Param/20_PartsName,ビッグキャリパー,
DT_Tuning_Parts_Param/21_PartsName,大口径ブレーキローター,
DT_Tuning_Parts_Param/22_PartsName,エアクリーナー,
DT_Tuning_Parts_Param/23_PartsName,強化ダクト,
DT_Tuning_Parts_Param/24_PartsName,スポーツ触媒,
DT_Tuning_Parts_Param/25_PartsName,オイルクーラー,
DT_Tuning_Parts_Param/26_PartsName,ＥＸマニホールド,
DT_Tuning_Parts_Param/27_PartsName,レーシングキャブレター,
DT_Tuning_Parts_Param/28_PartsName,アーシング,
DT_Tuning_Parts_Param/29_PartsName,レーシングプラグ,
DT_Tuning_Parts_Param/30_PartsName,ドライバッテリー,
DT_Tuning_Parts_Param/31_PartsName,ＲＯＭ書き換え,
DT_Tuning_Parts_Param/32_PartsName,イグニッションコイル,
DT_Tuning_Parts_Param/33_PartsName,サブコンピューター,
DT_Tuning_Parts_Param/34_PartsName,フルコンピューター,
DT_Tuning_Parts_Param/35_PartsName,ハイフロータービン,
DT_Tuning_Parts_Param/36_PartsName,大口径タービン,
DT_Tuning_Parts_Param/37_PartsName,大口径タービン,
DT_Tuning_Parts_Param/38_PartsName,大口径スロットル,
DT_Tuning_Parts_Param/39_PartsName,大型インタークーラー,
DT_Tuning_Parts_Param/40_PartsName,ブーストアップ,
DT_Tuning_Parts_Param/41_PartsName,ボルトオンターボ,
DT_Tuning_Parts_Param/42_PartsName,サイドポート加工,
DT_Tuning_Parts_Param/43_PartsName,強化アペックスシール,
DT_Tuning_Parts_Param/44_PartsName,トーコンキャンセラー,
DT_Tuning_Parts_Param/45_PartsName,大容量ラジエター,
DT_Tuning_Parts_Param/46_PartsName,Vマウントインタークーラー,
DT_Tuning_Parts_Param/47_PartsName,ラジエタークーリングプレート,
DT_Tuning_Parts_Param/48_PartsName,レース用エンジン載せ替え,
DT_Tuning_Parts_Param/49_PartsName,ボルトオンスーパーチャージャー,
DT_Tuning_Parts_Param/50_PartsName,NAメカチューン,
DT_Tuning_Parts_Param/51_PartsName,ミスファイアリングCPU,
DT_Tuning_Parts_Param/52_PartsName,ロータリーNAチューン,
DT_Tuning_Parts_Param/53_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/54_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/55_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/56_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/57_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/58_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/59_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/60_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/61_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/62_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/63_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/64_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/65_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/66_PartsName,Lv.15 スペシャルチューン,
DT_Tuning_Parts_Param/67_PartsName,東堂商会レーシングチューン,
DT_Tuning_Parts_Param/68_PartsName,大排気量NAチューン,
DT_Tuning_Parts_Param/69_PartsName,小径タービン,
DT_Tuning_Parts_Param/70_PartsName,アブレイダブルタービン,
DT_Tuning_Parts_Param/71_PartsName,ロータリーブーストダウンチューン,
DT_Tuning_Parts_Param/72_PartsName,フルピロボール化サスペンション,
DT_Tuning_Parts_Param/73_PartsName,オーバーランブーストCPU,
DT_Tuning_Parts_Param/74_PartsName,リビルトシーケンシャルツインタービン,
DT_Tuning_Parts_Param/75_PartsName,NA3ローターエンジン,
DT_Tuning_Parts_Param/76_PartsName,V12エンジン載せ替え,
DT_Tuning_Parts_Param/77_PartsName,ロータリーターボ/FEED魔王チューン,
DT_Tuning_Parts_Param/78_PartsName,魔王号ターボチューン,
DT_Tuning_Parts_Param/79_PartsName,魔王号NAメカチューン,
DT_Tuning_Parts_Param/80_PartsName,L28改エンジン＋ボルトオンツインターボ,
DT_Tuning_Parts_Param/81_PartsName,大容量オイルクーラー,
DT_Tuning_Parts_Param/82_PartsName,大口径ターボ＋RWBチューン,
DT_Tuning_Parts_Param/83_PartsName,大口径ターボ＋エンジンリビルド,
DT_Tuning_Parts_Param/84_PartsName,ダウンヒルSPECIAL,
DT_Tuning_Parts_Param/85_PartsName,オールラウンダーSPECIAL,
DT_Tuning_Parts_Param/86_PartsName,ヒルクライムSPECIAL,
DT_Tuning_Parts_Param/87_PartsName,STEP Lv.1,
DT_Tuning_Parts_Param/88_PartsName,STEP Lv.2,
DT_Tuning_Parts_Param/89_PartsName,STEP Lv.3,
DT_Tuning_Parts_Param/90_PartsName,STEP Lv.4,
DT_Tuning_Parts_Param/91_PartsName,STEP Lv.5,
DT_Tuning_Parts_Param/92_PartsName,STEP Lv.6,
DT_Tuning_Parts_Param/93_PartsName,STEP Lv.7,
DT_Tuning_Parts_Param/94_PartsName,STEP Lv.8,
DT_Tuning_Parts_Param/95_PartsName,STEP Lv.9,
DT_Tuning_Parts_Param/96_PartsName,STEP Lv.10,
DT_Tuning_Parts_Param/97_PartsName,STEP Lv.11,
DT_Tuning_Parts_Param/98_PartsName,STEP Lv.12,
DT_Tuning_Parts_Param/99_PartsName,STEP Lv.13,
DT_Tuning_Parts_Param/100_PartsName,STEP Lv.14,
DT_Tuning_Parts_Param/101_PartsName,STEP Lv.15,
