key,source,target
/907BF2B04C890A7A4C409F9DC5A00B0A,前夜,
/57D7238C45E67C440D121AB222EAE134,挑戦,
/352F8E424CC517420AB2218DAA1DE34B,衝撃,
/09A04DA9425E3FA5850880A25195FC9E,強襲,
/01010DCD4B0E54E4A2FC9D895FA2AA45,強者,
/51B97FDC4C006BAAAD0FBBA61331EC9E,決戦,
/CEA9E4634C49CDCFAA09ADA10599F275,点火,
/333E430A4B21F0B4345D7CA3520ADC9B,猛者,
/57F7DF5646B34F00619DD8A15AF7EE1A,連合,
/EFE932FF40557B61628CFC8B271B9581,VS 片桐夏向,
/8C4693194D3DEDD998AB0ABFA3765116,VS 相葉瞬,
/FA1EA9B4463ECE880AC94AB3E8758A66,VS M.ベッケンバウアー,
/759F98A24017C4429242E7A6E867E645,VS 諸星瀬名,
/2404BD0746BC04B33FBA63B0DCFB4F9F,VS MFG EX Round,
