key,source,target
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_1_EpisodeNoText,第１話,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_1_SubTitleText,伝説前夜,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_2_EpisodeNoText,第２話,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_2_SubTitleText,峠のセオリー,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_3_EpisodeNoText,第３話,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_3_SubTitleText,秋名スピードスターズ,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_4_EpisodeNoText,第４話,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_4_SubTitleText,仲間にならないか？,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_5_EpisodeNoText,第５話,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_5_SubTitleText,赤城からの刺客,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_6_EpisodeNoText,第１話,
/0E5AC62540A42A5017B92EABF263E656,邂逅、白い彗星,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_7_EpisodeNoText,第２話,
/8C82FF474DDBFA9531CBA7AC4DC77710,電光石火の余韻,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_8_EpisodeNoText,第３話,
/7AE3465449173AD55D095EAA001842D1,すれ違う天才,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_9_EpisodeNoText,第４話,
/5D57F14E4A12E383630A4D98813B87F2,不敗神話のR,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_10_EpisodeNoText,第５話,
/778655164DA9D6F76CAD228CF7F18F94,デンジャラスナイト,
DT_WidgetSetting_SelectStory_Episode_PanelInfo/Episode_11_EpisodeNoText,第１話,
/12ED2AC546363E6DBE40BCA1A33D5D61,青い衝撃,
