key,source,target
/A1B6F70D4E0642E53C02CDAE0A5DAF9D,Retry,
/6F9BC5F44101AF7428034AA5392CB8F7,Course Select,
/7158943B48A11053D997A494085467EB,Next Story,
/06954CA54CA1D630D1D6588198D8E16E,Re-entry,
/E5824A30448EB96501982EB29DBEAC07,Mode Select,
/C3058C2F416A495FA07DB8880DBF3C5F,End,
/E5821CFF46BEE8ACE8C63C9A32EF011C,Next Race,
/7676B32F4F25B74BBD67B1B3E8349C9B,Retry,
/777146F344FA1647F8A7E89A1C02808E,Class Select,
/5DDAA5AD496A19F3BCAF448CA23AB4C7,Continue,
/2C881A264C98EF4CD9CD079C80AFC465,Retry,
