key,source,target
/653416814BE9C1C8A2ED649B568B379F,戻る,
/6779D564434DF08C7357D08635977F3B,０,
/5060E55B4615C0069B3282A0284B2459,１,
/D330E2A3444DA9F6A621EA97854537D9,２,
/25A4A5F84A4DF02F8EDAF3BB15CBCD60,３,
/E672A39F477CB35FD039089C9DFADE72,４,
/D9806B594E7B489319F4E88AA28DB891,５,
/B3CD1BDA47352C78F0BE25AABF3F3159,６,
/87D7F1EB4AC0DD05E2108BB47C94F52E,７,
/5456F4544F943D21518152B5482C643F,８,
/DBC9E2924602F1B889307BB74DAF6633,９,
/7A0A3DB4493920D7486737B91941ED1D,１文字消す,
/DFC833AF4F473971643681A0FD9A1F34,発信,
/C5A431064B1245360CECE4BE654C83FA,はい,
/964A26904E3E3B26F7CB358F3F2A4824,いいえ,
/7B69678B439B55C09E09FD9030F68810,無効,
