key,source,target
/E7433841423886961F901897D8F311E7,PlayerNumSelect,
/E22880B14D4B5652B3BB6FB3AA51427D,SingleModeSelect,
/5E6F3E9843BF49C874D1F2B9CDEED809,MultiModeCarSelect,
/1C990EC6417497445A502281ABBB4CD7,SingleModeCorseSelect,
/250B5D6B4B09C1F75C484783FDAD4031,None,
/CFEA00E94087BE6CE48F4CBCAD978105,MultiModeCorseSelect,
/8A536DC8439B2485A15D2E822A8EFBF7,MultiModeBoostSelect,
/D195183A4DC02621613FF6A5F61DEDF3,StoryChapterSelect,
/310931B240E73B85FC5411BD9E3FB50D,StoryStageSelect,
/D1E428D24F902275F33D9C9BCFD00B73,MultiModeSelect,
/DEE285C5499024529DD7D0BED03DD9E1,MultiModeMatchingEntry,
/E5D32BE94B4AB9EC35FF789B33BFE7BA,SingleModeMatching,
/32A628A841CB288D6C6464A08606431D,MultiModeRivalIntroduction,
/D595DAD042C87C63C0370FA90CBD58AE,SingleModeBoostSelect,
/C78074FB4DD4A10BBE9B6183EC90DAB0,SingleModeTimeAtackRivalSelect,
