key,source,target
/B4C3D9924995DA211AA4178F68730FF2,Tuning,
/55955086462C902564A813A0A0B16A55,Purchase1,
/A69F59DA472634682F91E89FE1521DEC,ModeTheory,
/A5F3224D406EC51FF4A33AA64CFE46D3,ModeOnline,
/EA16852540F96BD98A846BBA6D1076D6,Training,
/8DD29A8644903A8E62871485B9129BE4,AdaptCarLayout1,
/2CCA347E40829EC17910D7A20572E28E,AdaptCarLayout2,
/5F01247E49613B09E03369A59129D1D1,Purchase2,
/F17B46CE47C61DF06EEF07B71134CB75,ModeStory1,
/72153D194797CF0FF8212C983676AF70,ModeStory2,
/F61B05F940DBD319F0FC468B76AD5059,FullTune,
