key,source,target
/2FD9F91D40E3FB6175B198AA3C7A02CF,GoalTime,
/436B06F74EC45521B7705487C8F309EF,Base,
/83AFF76346E2B48D415959BF6FB3941F,Advantage,
/23BF8CD643341341F3A656A1D3D3C93D,Win,
/086AEF26440EED1A889BBB995DC2F8F4,Lose,
/380247E6423659CFAA32569B44CA238A,Defeat,
/59528FED47674776E124ACA97859A4F8,Base2,
/39AC028547CA6FA1EC433BA7CF9151E6,Base3,
/80BEF6564793D8C3069F50BEEDD2DD3C,Base4,
/93C8A36D4496221C451163AB24EE4764,Rank1,
/37B9D6864782A61D9B1B809F07E1EB5B,Rank2,
/3009851B49F5E356C4DBE6883FA13B26,Rank3,
/F920416A476761326D89E6B8F019ED10,Rank4,
/948D44564C92F4B27782BFBF273C175A,Challenge,
/7B28041C41F282D928406896C25D887C,TrainingComplete,
/32D09E9D4D7F9F03ECCE6E81CDBCB51D,DefeatPowerhouse,
/C0A003284C5E06596A6125B8CA424485,EqualLeagueWinBonus,
/637D7A074630CFBC9968EFA13EE09B30,UpperLeagueWinBonus,
/3B44FC914AB098F56A4FF3A596E8A48B,UpperRankDefeatBonus,
/C049484945785394A6812E8DC95D2F44,PrideDefeatBonus,
