key,source,target
/F964F2604E597891EB31D1A736EC90CA,1_1_1_1,
/21FFE44745EF749FB902B5A2972DA0AD,1_1_1_1_EG62,
/2A64FE0C48611BAB9DEF5DB0C440595B,1_1_1_1_MR2,
/F5E9A3CD48331D517C17B481092BC5C4,1_1_1_1_PLAYER,
/C8E817A54EE90477BF584781F19DA824,1_1_1_1_SQUEL,
/9E9AFB8441CC1AEB2C61DB8BCF075F81,1_1_1_1_WINDBREAK,
/76BA647B476C80FE7A91D0861BDD06BE,1_1_1_2,
/385F3FCC4EB0481BC1936592DBDF00B4,1_1_1_2_PLAYER,
/427366B342893E6FA701E5A03F78F7C1,1_1_1_3,
/2262E5FC47E2A4E04192499F6ACAF9D4,1_1_1_3_PLAYER,
/796961A34DA21E0C1B7FF0AF5053671D,1_1_2_1,
/D4A90A1C49486C3261E69B9590129F0F,1_1_2_2,
/E3A098314F93BCC8AB89F28F8C7D916E,1_1_2_2_AE86,
/898F09444DEEBD9892EF0EB0A15C9776,1_1_2_2_SQUEL,
/05DC1A434DF44F8C75A3558C21B647A2,1_1_3_1,
/8E7318FA4196711C04D37F8DAABCEAC0,1_1_5_1,
/C85456A542C815EB94DC47BEBF4A3DE5,1_1_5_1_MR2,
/EBA9626B4114A089F51AEAA31176CFE4,1_1_5_1_PLAYER,
/9A1D7DD6422A895463F8FAAB7F27F9F6,1_1_5_1_S13,
/B0208A14403267B44FD154B3360EB1C4,1_1_5_1_WINDBREAK,
/E4B80EF94CBD4C0242D3C9B377BB2625,1_1_5_2,
/5B60D5C1423A57FA06D61684EC7C1E3A,1_2_1_1,
/B90B72A04334B387404CCF9F11CB0251,1_2_1_1_PLAYER,
/5E2177A44873ACF1326EEBA0E74AD568,1_2_2_1,
/FE69339848BE333D1E0C609EB1628150,1_2_2_2,
/B23DE7F44481890DBBB25FA4ABD79F24,1_2_2_2_180,
/2702C2844B68C3690B7DA69D9B7C69CB,1_2_2_2_PLAYER,
/081C34C1465DEFECF7413384DF3B4148,1_2_2_2_S13,
/0CE0580246EEF960B6B5EDA2162A2410,1_2_3_1,
/58ABE97645DDC23E51B2CFBE3DD8A603,1_2_4_1,
/A04A264A49CD8B2B706CC1822A54260F,1_2_4_2,
/A7401833457FEB1AD17438B6835866DA,1_2_5_1,
/95E7FA044FE215FB1C39F3B5B7D2BE2E,1_2_5_2,
/2556441E4C229A79EDC17881BEAA036A,1_2_5_2_WIND,
/CAA5A9E947862E60C97239AEC4B7AD5A,1_3_2_1,
/271331804DCF89EC982559990A7096CA,1_3_2_2,
/42E9291A4A6B10E2A2029E8AD0603D9D,1_3_2_2_PLAYER,
/028C0C474A92313282F734BA43A28BCF,1_3_2_3,
/62A953A648E615E843F5E9827E5784CA,1_3_2_3_SILV,
/C7BA40BB45BA7C876E8D9593A1DF52EE,1_3_3_1,
/CEA2F629433354A3F634EEBBD1B3C0EC,1_3_3_2,
/9053C7C643D594990F5B1F816ED960A1,1_3_4_1,
/C23F71F04F1E5E306368479E2C89B068,1_3_4_1_DOOR,
/4C4D6D3C423AE56BC184098DC7E8BF71,1_3_4_2,
/9C95959C40DB9E0EE03C4081515B456E,1_3_4_3,
/8D85F71D4730D9ED07C043B891D02B57,1_3_5_1,
/BA98316C4240D84475AE088A17397413,1_4_1_1,
/CAA5ECE54894744C1A5D169A8A9593EB,1_4_1_2,
/EFFB671848D069E2EBBEEC868A74E8E6,1_4_1_2_EVO,
/39F804A24C5D0A79B00507B2A4F11C8B,1_4_1_2_PLAYER,
/FB347F4241777719F209F69B78E268C9,1_4_2_1,
/6EAD537C4C5391324AAB92BF5228A8CF,1_4_2_2_SLAP,
/8E7886FE4D001FD9CD5519B2F398C220,1_4_3_1,
/14D95D17409E8683A99445B8BFFB136A,1_4_3_1_PLAYER,
/5232C5CB4CD1F7D6FE47E9891E0D15FA,1_4_3_1_S13,
/E8ACB47745394B64399C43B095C78D1F,1_4_4_1,
/EEB6853949E3CF4D1B04D992BD7F9A05,1_4_5_1,
/421D03E5455BA8665FAAB096E36DB384,1_4_5_2,
/45D7E6AD42C0650F2A1584A196B4F733,1_5_1_1,
/3B1B823345F89E488163B9BD4D25A26E,1_5_2_1,
/C8ACA1504EC4A9D3D7F837825F6C4BCA,1_5_2_2,
/B6053AC6475F0C5AB8DA4D96C5B80EAF,1_5_3_1,
/D57ED4AB4D06DAC8564FAEA5AF668C7E,1_5_4_1,
/D251D366494F9EC30B0A2EA4D167EDB0,1_5_4_1_MR2,
/5CBF580B4E49D9EA7D75BD996AC23B07,1_5_4_2,
/47FE3E8E449290859563FAAF6D33F40C,1_5_4_2_JUMP,
/646F85EE456F2044B94D2EAE063204C2,1_5_4_2_LANDING,
/661537AB4803C00F6BF4C3803142BD98,1_5_4_3,
/8C7DE4C6466D2972E44ABA9DD4EC510A,1_5_5_1,
/5418C3F945C269F466C61DBF4FAA5B26,1_5_5_1_MISSFIRE,
/A8335F96458363CE61BFB2BE24D947EB,1_5_5_2,
/03BB80F24E907E1479F7A9900621AA0E,1_6_2_1,
/C0AA27264EA7730558BA0C9895243A1E,1_6_2_2,
/615FFD4B4E08ED928E76B6B1AF639867,1_6_2_2_DOOR,
/AB16D73D4E9ED650F119809E26DD6499,1_6_2_2_FD3C,
/2ECE672E4CB25A7CDF6B8EA5CC030F35,1_6_3_1,
/A2D95469441989FA4ABCAB82FCF84B47,1_6_3_2,
/C638E0794DCCF914DFA5C09211DF1F54,1_6_4_1,
/B1794D5341C6C7FD04DAD89BFB8C1F39,1_6_4_1_DOOR,
/07F1F30B48F70CDCE93A7B8A2AD484EF,1_6_4_2,
/5B2BBD7140C32F91A9DE4B8BF07E22F8,1_6_4_3,
/8810937E407AA8D69AF497A7909D83AE,1_6_4_3_WIND,
/6E3B1BF9434519E8E91CDEB693754FB8,1_6_5_1,
/5EBAF2BF4867993D98A7D19BFBECF809,1_6_5_1_DOOR,
/22F9259D408DC8623A39439144019D65,1_6_5_2,
/4FCA1DD0410D4C528A4A72B787B118F4,1_6_5_2_PLAYER,
/567C72A54F9C4C85CAACFB9022543674,1_6_5_3,
/8196DDDB4B721274DE3BF09BD42A64EA,1_6_5_3_PLAYER,
/16829A3F452D06B74619BE880A239F7B,story_fear,
