key,source,target
AuraShapeName/0,None,
AuraShapeName/1,标准,
AuraShapeName/2,飞翔 Lv.1,
AuraShapeName/3,飞翔 Lv.2,
AuraShapeName/4,飞翔 Lv.3,
AuraShapeName/5,飞翔 Lv.4,
AuraShapeName/6,飞翔 Lv.MAX,
AuraShapeName/7,灼热,
AuraShapeName/8,旋风,
AuraShapeName/9,樱吹雪,
AuraShapeName/10,光,
AuraShapeName/11,雷电,
AuraShapeName/12,邪灵,
AuraShapeName/13,霸王,
AuraShapeName/14,升龙,
AuraShapeName/15,枫叶,
AuraShapeName/16,白色恶魔,
AuraShapeName/17,超算,
AuraShapeName/18,赛博,
AuraShapeName/19,流星,
AuraShapeName/20,Dummy,
AuraShapeName/21,凤凰,
AuraShapeName/22,剑,
AuraShapeName/23,Dummy,
AuraShapeName/,,
