key,source,target
CarDXColorName/0,DUMMY,
CarDXColorName/1,DX メタリック・レッド,
CarDXColorName/2,DX メタリック・ダークレッド,
CarDXColorName/3,DX メタリック・ワインレッド,
CarDXColorName/4,DX メタリック・ピーチ,
CarDXColorName/5,DX メタリック・ピンク,
CarDXColorName/6,DX メタリック・ブルー,
CarDXColorName/7,DX メタリック・ダークブルー,
CarDXColorName/8,DX メタリック・ライトブルー,
CarDXColorName/9,DX メタリック・ターコイズブルー,
CarDXColorName/10,DX メタリック・グリーン,
CarDXColorName/11,DX メタリック・ダークグリーン,
CarDXColorName/12,DX メタリック・ライトグリーン,
CarDXColorName/13,DX メタリック・イエロー,
CarDXColorName/14,DX メタリック・ライトイエロー,
CarDXColorName/15,DX メタリック・ゴールド,
CarDXColorName/16,DX メタリック・オレンジ,
CarDXColorName/17,DX メタリック・アイボリー,
CarDXColorName/18,DX メタリック・ガンメタル,
CarDXColorName/19,DX メタリック・グレー,
CarDXColorName/20,DX メタリック・ライトグレー,
CarDXColorName/21,DX メタリック・パープル,
CarDXColorName/22,DX メタリック・パールホワイト,
CarDXColorName/23,DX メタリック・ブリティッシュグリーン,
CarDXColorName/24,DX メタリック・ソリッドグレー,
CarDXColorName/25,DX メタリック・エレクトリックブルー,
CarDXColorName/26,DX メタリック・ホワイトシルバー,
CarDXColorName/27,DX メタリック・アイスドチョコレート,
CarDXColorName/28,DX メタリック・レモンスカッシュ,
CarDXColorName/29,DX メタリック・マゼンダベリーマイカ,
CarDXColorName/30,DX メタリック・サンシャインオレンジ,
CarDXColorName/31,DX メタリック・ダークシェリーマイカ,
CarDXColorName/32,DX メタリック・ディープアメジストマイカ,
CarDXColorName/33,DX マット・ブラック,
CarDXColorName/34,DX マット・グレー,
CarDXColorName/35,DX マット・シルバー,
CarDXColorName/36,DX マット・レッド,
CarDXColorName/37,DX マット・ライトレッド,
CarDXColorName/38,DX マット・グリーン,
CarDXColorName/39,DX マット・ダークグリーン,
CarDXColorName/40,DX マット・ライトグリーン,
CarDXColorName/41,DX マット・ブルー,
CarDXColorName/42,DX マット・ダークブルー,
CarDXColorName/43,DX マット・ライトブルー,
CarDXColorName/44,DX マット・イエロー,
CarDXColorName/45,DX マット・ライトイエロー,
CarDXColorName/46,DX マット・オレンジ,
CarDXColorName/47,DX マット・ピンク,
CarDXColorName/48,DX マット・パープル,
CarDXColorName/49,DX マット・ブラウン,
CarDXColorName/50,DX マット・ホワイト,
CarDXColorName/51,DX マット・アイボリー,
CarDXColorName/52,DX クローム・レッド,
CarDXColorName/53,DX クローム・ダークレッド,
CarDXColorName/54,DX クローム・ピンク,
CarDXColorName/55,DX クローム・グリーン,
CarDXColorName/56,DX クローム・ダークグリーン,
CarDXColorName/57,DX クローム・ライトグリーン,
CarDXColorName/58,DX クローム・ブルー,
CarDXColorName/59,DX クローム・ダークブルー,
CarDXColorName/60,DX クローム・ライトブルー,
CarDXColorName/61,DX クローム・ゴールド,
CarDXColorName/62,DX クローム・オレンジ,
CarDXColorName/63,DX クローム・パープル,
CarDXColorName/64,DX クローム・ブラック,
CarDXColorName/65,DX クローム・ライトグレー,
CarDXColorName/66,DX クローム・メッキ,
CarDXColorName/67,DX クローム・イエロー,
CarDXColorName/68,DX クローム・パールピンク,
CarDXColorName/69,DX クローム・レッドオレンジ,
CarDXColorName/70,DX クローム・マゼンタ,
CarDXColorName/71,DX クローム・アイスブルー,
CarDXColorName/72,DX クローム・ダークグレー,
CarDXColorName/73,DX クローム・ブラウン,
CarDXColorName/74,DX 錆（濃）,
CarDXColorName/75,DX 錆（薄）,
