key,source,target
ChatStampName/0,よろしく！,
ChatStampName/1,対戦お願いします。,
ChatStampName/2,ありがとう！,
ChatStampName/3,了解,
ChatStampName/4,どうも！,
ChatStampName/5,はじめまして！,
ChatStampName/6,いっちょやりますか！,
ChatStampName/7,お世話になっております。,
ChatStampName/8,安全運転で行こう！,
ChatStampName/9,マッチングありがとう！,
ChatStampName/10,OK！,
ChatStampName/11,頭文字Dサイコー！,
ChatStampName/12,Thank you,
ChatStampName/13,No Thank you,
ChatStampName/14,いくぜっ！,
ChatStampName/15,いくわよっ！,
ChatStampName/16,全開バトルだ！,
ChatStampName/17,全開でバトルよ！,
ChatStampName/18,マジで行くぜ！,
ChatStampName/19,マジで行くわよ！,
ChatStampName/20,手加減してください‥,
ChatStampName/21,手加減してね,
ChatStampName/22,ちょっと遊ぼうぜ,
ChatStampName/23,少し遊ばない？,
ChatStampName/24,良い勝負をしよう！,
ChatStampName/25,良い勝負をしましょう！,
ChatStampName/26,アツいバトルをしよう！,
ChatStampName/27,アツいバトルをしましょう！,
ChatStampName/28,手加減なしで頼む！,
ChatStampName/29,手加減なしでお願い！,
ChatStampName/30,このコースは得意だぜ！,
ChatStampName/31,このコースは得意だわ！,
ChatStampName/32,このコース苦手だ‥,
ChatStampName/33,このコース苦手なのよね‥,
ChatStampName/34,下りかぁ～‥,
ChatStampName/35,上りかぁ～‥,
ChatStampName/36,オレのクルマを見ろ！,
ChatStampName/37,わたしのクルマを見なさい！,
ChatStampName/38,いいクルマだね！,
ChatStampName/39,いいクルマでしょ！,
ChatStampName/40,ブーストON！,
ChatStampName/41,ブーストOFF！,
ChatStampName/42,逆走だー！！,
ChatStampName/43,ハンドルを右に！！,
ChatStampName/44,しょーがねぇなー,
ChatStampName/45,しょーがないわねー,
ChatStampName/46,しっかりしてくれよ,
ChatStampName/47,しっかりしてちょうだい,
ChatStampName/48,楽しもうぜ！,
ChatStampName/49,楽しみましょう！,
ChatStampName/50,あんたの走りに期待大！,
ChatStampName/51,速いんだろうなァ,
ChatStampName/52,かかって来いよ！,
ChatStampName/53,かかって来なさい！,
ChatStampName/54,ビビってんのかァ？,
ChatStampName/55,ビビってるのかしら,
ChatStampName/56,ぶっちぎるぜ,
ChatStampName/57,おいおい、どうしたァ？,
ChatStampName/58,騒がしいな‥,
ChatStampName/59,またおまえかよ！,
ChatStampName/60,またあなた‥？,
ChatStampName/61,コーナー勝負！,
ChatStampName/62,ストレート勝負！,
ChatStampName/63,楽しませてくれよ？,
ChatStampName/64,楽しませてちょうだい？,
ChatStampName/65,ぶっちぎるぜ！,
ChatStampName/66,ぶっちぎるわよ！,
ChatStampName/67,またあんたか！,
ChatStampName/68,負ける気がしねえ！,
ChatStampName/69,負ける気がしないわ！,
ChatStampName/70,やれやれ‥,
ChatStampName/71,どうしようもないわね‥,
ChatStampName/72,楽しませてくれるのかしら？,
ChatStampName/73,やべー奴と当たっちまった‥,
ChatStampName/74,やべー奴と当たっちゃった‥,
ChatStampName/75,速そうなニオイがプンプンするぜ‥,
ChatStampName/76,速そうなオーラ‥,
ChatStampName/77,先行させてやるよ,
ChatStampName/78,先行させてあげる,
ChatStampName/79,50ｍ離してフィニッシュだ,
ChatStampName/80,50ｍ離してフィニッシュよ,
ChatStampName/81,っべ、苦手コースだ,
ChatStampName/82,あら、苦手コースだわ,
ChatStampName/83,勝てなくはない、かな‥？,
ChatStampName/84,勝てなくはない、かしら‥？,
ChatStampName/85,ふーん,
ChatStampName/86,へぇー,
ChatStampName/87,すごい！,
ChatStampName/88,すごいすごい！,
ChatStampName/89,さすが！,
ChatStampName/90,さすがだわ！,
ChatStampName/91,天才‥か？,
ChatStampName/92,天才、なの‥？,
ChatStampName/93,手加減は必要か？,
ChatStampName/94,手加減は必要かしら？,
ChatStampName/95,ムカついた！,
ChatStampName/96,なんのことかわかんねーよ‥,
ChatStampName/97,ミステリーツアー出発！,
ChatStampName/98,ラーメン大好き,
ChatStampName/99,焼肉大好き,
ChatStampName/100,お寿司大好き,
ChatStampName/101,帰りたい‥,
ChatStampName/102,金欠だ‥,
ChatStampName/103,うわぁぁぁ！,
ChatStampName/104,えげつねぇ‥,
ChatStampName/105,ぎょえぇぇぇー,
ChatStampName/106,もう勘弁してくれ！,
ChatStampName/107,もう勘弁してちょうだい！,
ChatStampName/108,もうおしまいだ‥,
ChatStampName/109,もうおしまいよ‥,
ChatStampName/110,大丈夫？,
ChatStampName/111,大丈夫かしら？,
ChatStampName/112,！！,
ChatStampName/113,？,
ChatStampName/114,！？,
ChatStampName/115,優しくしてね‥？,
ChatStampName/116,泣きそう‥,
ChatStampName/117,泣いちゃった‥,
ChatStampName/118,そんな～,
ChatStampName/119,くそがっ！,
ChatStampName/120,何だ、今のは！？,
ChatStampName/121,がーーん,
ChatStampName/122,神サマ、そりゃないっすよォ！,
ChatStampName/123,この勝負かったら、オレ‥,
ChatStampName/124,この勝負勝ったら、わたし‥,
ChatStampName/125,この勝負負けたら、オレ‥,
ChatStampName/126,この勝負負けたら、わたし‥,
ChatStampName/127,わからん！,
ChatStampName/128,わかんない！,
ChatStampName/129,うおー！,
ChatStampName/130,キャー！,
ChatStampName/131,シートベルト締めた？,
ChatStampName/132,キンコン♪キンコン♪,
ChatStampName/133,ゴァアアアア！,
ChatStampName/134,ギャアァアア！！,
ChatStampName/135,ドッギャアァアア！！,
ChatStampName/136,ドッ‥ドッ‥,
ChatStampName/137,ドン！,
ChatStampName/138,パァン！,
ChatStampName/139,ギャン！,
ChatStampName/140,ぼへーっ,
ChatStampName/141,よそ見したりして,
ChatStampName/142,へんな名前のクルマだな‥,
ChatStampName/143,アクセル踏むと走ります,
ChatStampName/144,ブレーキ踏むと止まります,
ChatStampName/145,夢は終わらない,
ChatStampName/146,セカンダリータービン止まってんじゃねーか,
ChatStampName/147,大誤算だ,
ChatStampName/148,右コーナーが下手くそだってことさ！！,
ChatStampName/149,アウト・オブ・眼中,
ChatStampName/150,俺のRについて来れるか！？,
ChatStampName/151,奴は進化している,
ChatStampName/152,ハイパワーターボプラス4WD,
ChatStampName/153,この条件にあらずんばクルマにあらずだ,
ChatStampName/154,ハチロクだとぉ！？ふざけるなァ,
ChatStampName/155,またひとつ‥レベルアップしやがったか‥,
ChatStampName/156,アドレナリンどっぱどぱだ！！,
ChatStampName/157,外から行かすかよ！！,
ChatStampName/158,3‥２‥１‥,
ChatStampName/159,GO！！,
ChatStampName/160,岩の壁に突っ込むぞォ！！,
ChatStampName/161,どんなセオリーにも例外はあるさ‥！！,
ChatStampName/162,今夜のバトルは伝説になる,
ChatStampName/163,勝負を決めに行くという、意思表示だぜ！,
ChatStampName/164,速いクルマと遅いクルマの差は歴然,
ChatStampName/165,11000までキッチリ回せ,
ChatStampName/166,バカやってんじゃねぇ,
ChatStampName/167,オーバースピードだ！曲がれっこねぇ！,
ChatStampName/168,掟破りの地元走りだ,
ChatStampName/169,この勝負勝ったァ！！,
ChatStampName/170,ようしわかったぞ！！こいつの弱点が‥！！,
