key,source,target
MeterName/0,デフォルト,
MeterName/1,インフィニティ,
MeterName/2,フォーミュラ,
MeterName/3,フューチャー,
MeterName/4,ダブルエースクロス,
MeterName/5,エクストリーム,
MeterName/6,ベーシック,
MeterName/7,クラシック,
MeterName/8,サイバー,
MeterName/9,シングル,
MeterName/10,ワイド,
MeterName/11,プリウス,
MeterName/12,インフィニティ（レッド）,
MeterName/13,インフィニティ（ゴールド）,
MeterName/14,フューチャー（アクア）,
MeterName/15,フューチャー（パープル）,
MeterName/16,ダミー,
MeterName/17,ベーシック（オレンジ）,
MeterName/18,ベーシック（ピンク）,
MeterName/19,ダブルエースクロス（ロイヤルホワイト）,
MeterName/20,ダブルエースクロス（オーシャンブルー）,
MeterName/21,ダブルエースクロス（パープル）,
MeterName/22,フォーミュラ（ピンク）,
MeterName/23,フォーミュラ（グリーン）,
MeterName/24,フォーミュラ（ブルー）,
MeterName/25,シングル（パープル）,
MeterName/26,シングル（ゴールド）,
MeterName/27,シングル（ウォーター）,
MeterName/28,シングル（ローズゴールド）,
MeterName/29,サイバー（レッド）,
MeterName/30,DAC（グリーン）,
MeterName/31,シュツットガルト,
MeterName/32,レーシング,
MeterName/33,ダミー,
MeterName/34,フューチャー（Zero）,
MeterName/35,インフィニティ（THE ARCADE）,
MeterName/36,サイバー（Zero2）,
MeterName/37,インフィニティ（DZero）,
MeterName/38,メタリック,
MeterName/39,シリウス,
MeterName/40,DAC（オレンジ）,
MeterName/41,DAC（ブルー）,
MeterName/42,DAC（ホワイト）,
MeterName/43,シュツットガルト（ゴールド）,
MeterName/44,シュツットガルト（レッド）,
MeterName/45,シュツットガルト（ホワイト）,
MeterName/46,レーシング（ピンク）,
MeterName/47,レーシング（オレンジ）,
MeterName/48,レーシング（グリーン）,
MeterName/49,スペシャル（博麗霊夢）,
MeterName/50,スペシャル（霧雨魔理沙）,
MeterName/51,スペシャル（射命丸文）,
MeterName/52,DAC（シルバー）,
MeterName/53,DAC（ゴールド）,
MeterName/54,スペシャル（ライフガード）,
MeterName/55,スペシャル（MFゴースト）,
MeterName/56,ベーシック（20th anniv）,
MeterName/57,インフィニティ（20th anniv）,
MeterName/58,ダブルエース,
MeterName/59,ダミー,
MeterName/60,スペシャル（十六夜咲夜）,
MeterName/61,スペシャル（レミリア・スカーレット）,
MeterName/62,スペシャル（フランドール・スカーレット）,
MeterName/63,ワイド（ホワイト）,
MeterName/64,ワイド（ブルー）,
MeterName/65,ワイド（ライトピンク）,
MeterName/66,スチームパンク,
MeterName/67,フェニックス,
MeterName/68,スペシャル（初音ミク）,
MeterName/69,スペシャル（鏡音リン・レン）,
MeterName/70,スペシャル（巡音ルカ）,
MeterName/71,シルエット（初音ミク）,
MeterName/72,シルエット（鏡音リン・レン）,
MeterName/73,シルエット（巡音ルカ）,
MeterName/74,スペシャル（チュウニペンギン）,
MeterName/75,スペシャル（ショウニペンギン）,
MeterName/76,レトロウェイヴ,
MeterName/77,スペシャル(魔王),
MeterName/78,スペシャル(Hot-Version),
MeterName/79,シルエット（博麗霊夢）,
MeterName/80,シルエット（霧雨魔理沙）,
MeterName/81,シルエット（射命丸文）,
MeterName/82,フューチャー（2023大会参加記念）,
MeterName/83,ハロウィン,
MeterName/84,スペシャル（魂魄妖夢）,
MeterName/85,スペシャル（西行寺幽々子）,
MeterName/86,スペシャル（八雲紫）,
MeterName/87,シルエット（魂魄妖夢）,
MeterName/88,シルエット（西行寺幽々子）,
MeterName/89,シルエット（八雲紫）,
MeterName/90,いやよくみたらク○むかつく,
MeterName/91,ステイッステイッ,
MeterName/92,ストリート,
MeterName/93,スペシャル（一花）,
MeterName/94,スペシャル（二乃）,
MeterName/95,スペシャル（三玖）,
MeterName/96,スペシャル（四葉）,
MeterName/97,スペシャル（五月）,
MeterName/98,デフォルメ（一花）,
MeterName/99,デフォルメ（二乃）,
MeterName/100,デフォルメ（三玖）,
MeterName/101,デフォルメ（四葉）,
MeterName/102,デフォルメ（五月）,
