key,source,target
PaperCupName/0,不放置纸杯,
PaperCupName/1,纸杯（普通）,
PaperCupName/2,dummy,
PaperCupName/3,dummy,
PaperCupName/4,dummy,
PaperCupName/5,dummy,
PaperCupName/6,dummy,
PaperCupName/7,dummy,
PaperCupName/8,dummy,
PaperCupName/9,dummy,
PaperCupName/10,dummy,
PaperCupName/11,dummy,
PaperCupName/12,dummy,
PaperCupName/13,dummy,
PaperCupName/14,纸杯（咖啡）,
PaperCupName/15,dummy,
PaperCupName/16,dummy,
PaperCupName/17,dummy,
PaperCupName/18,dummy,
PaperCupName/19,dummy,
PaperCupName/20,dummy,
PaperCupName/21,dummy,
PaperCupName/22,dummy,
PaperCupName/23,dummy,
PaperCupName/24,dummy,
PaperCupName/50,dummy,
PaperCupName/51,dummy,
PaperCupName/52,dummy,
PaperCupName/53,亚克力立牌（博丽灵梦）,
PaperCupName/54,亚克力立牌（雾雨魔理沙）,
PaperCupName/55,亚克力立牌（射命丸文）,
PaperCupName/56,dummy,
PaperCupName/57,dummy,
PaperCupName/58,dummy,
PaperCupName/59,dummy,
PaperCupName/60,dummy,
