key,source,target
StartMenuBGName/0,道の駅,
StartMenuBGName/1,道の駅（秋/夜）,
StartMenuBGName/5,辰巳PA（夜）,
StartMenuBGName/4,辰巳PA（昼）,
StartMenuBGName/3,藤原豆腐店前,
StartMenuBGName/2,藤原豆腐店前（夏/夜）,
StartMenuBGName/6,コンビニの前,
StartMenuBGName/7,大観山パーキング（MFゴーストVer）,
StartMenuBGName/8,ガレージ（頭文字D8）,
StartMenuBGName/9,ガレージ（頭文字D7）,
StartMenuBGName/10,ガレージ（頭文字D5）,
StartMenuBGName/11,ガレージ（頭文字D3）,
StartMenuBGName/12,ステージ（初音ミク）,
StartMenuBGName/13,ステージ（鏡音リン・レン）,
StartMenuBGName/14,ステージ（巡音ルカ）,
StartMenuBGName/15,群サイ,
StartMenuBGName/16,群サイ（Hot-Version）,
