key,source,target
ST_TalkCourseSelect/TAKUMI_AKINA_LAKE,"ゆるやかなコーナーの続く周回コースだ
配達帰りにかっ飛ばすと気持ちいいんだよな",
ST_TalkCourseSelect/TAKUMI_MYOGI,ダイナミックな中高速コーナーが続くコースだ,
ST_TalkCourseSelect/TAKUMI_AKAGI,低速、中速、高速といろんな区間があるコースだ,
ST_TalkCourseSelect/TAKUMI_AKINA,"高速区間と低速区間が入り交じるコースだ
オレはこのコースでドラテクを磨いてきたんだ",
ST_TalkCourseSelect/TAKUMI_IROHA,道幅が狭く超低速のヘアピンコーナーが続くコースだ,
ST_TalkCourseSelect/TAKUMI_TSUKUBA,高速区間と低速区間が入り交じるＳ字コーナーの多いコースだ,
ST_TalkCourseSelect/TAKUMI_HAPPO,道幅が狭く超低速のＳ字コーナーが続くコースだ,
ST_TalkCourseSelect/TAKUMI_NAGAO,道幅が狭く高速区間と低速区間が入り交じるコースだ,
ST_TalkCourseSelect/TAKUMI_TSUBAKI,高速区間と中速区間が入り交じるＳ字コーナーの多いコースだ,
ST_TalkCourseSelect/TAKUMI_USUI,いろんなタイプのコーナーが続く周回コースだ,
ST_TalkCourseSelect/TAKUMI_SADAMINE,速度域と道幅の変化がとても大きいコースだ,
ST_TalkCourseSelect/TAKUMI_TSUCHISAKA,速度域は高いが難易度の高い区間が点在するコースだ,
ST_TalkCourseSelect/TAKUMI_AKINA_SNOW,"雪の路面ではコーナリングとブレーキングに要注意だ
まあ毎日秋名を走っていれば、どうってことないけど‥",
ST_TalkCourseSelect/TAKUMI_HAKONE,アクセル全開率の高い超ハイスピードコースだ,
ST_TalkCourseSelect/TAKUMI_MOMIJI,道幅が広く中速コーナーが多いコースだ,
ST_TalkCourseSelect/TAKUMI_NANAMAGARI,コース中盤に無数のヘアピンカーブが続くトリッキーなコースだ,
ST_TalkCourseSelect/TAKUMI_GUNSAI,道幅の変化が大きく中速コーナーが続くコースだ,
ST_TalkCourseSelect/TAKUMI_ODAWARA,いろんなタイプのコーナーが続く周回コースだ,
ST_TalkCourseSelect/IKETANI_AKINA_LAKE,"ゆるやかなコーナーの続く周回コースだ
配達帰りにかっ飛ばすと気持ちいいんだよな",
ST_TalkCourseSelect/IKETANI_MYOGI,ダイナミックな中高速コーナーが続くコースだ,
ST_TalkCourseSelect/IKETANI_AKAGI,低速、中速、高速といろんな区間があるコースだ,
ST_TalkCourseSelect/IKETANI_AKINA,"高速区間と低速区間が入り交じるコースだ
オレはこのコースでドラテクを磨いてきたんだ",
ST_TalkCourseSelect/IKETANI_IROHA,道幅が狭く超低速のヘアピンコーナーが続くコースだ,
ST_TalkCourseSelect/IKETANI_TSUKUBA,高速区間と低速区間が入り交じるＳ字コーナーの多いコースだ,
ST_TalkCourseSelect/IKETANI_HAPPO,道幅が狭く超低速のＳ字コーナーが続くコースだ,
ST_TalkCourseSelect/IKETANI_NAGAO,道幅が狭く高速区間と低速区間が入り交じるコースだ,
ST_TalkCourseSelect/IKETANI_TSUBAKI,高速区間と中速区間が入り交じるＳ字コーナーの多いコースだ,
ST_TalkCourseSelect/IKETANI_USUI,いろんなタイプのコーナーが続く周回コースだ,
ST_TalkCourseSelect/IKETANI_SADAMINE,速度域と道幅の変化がとても大きいコースだ,
ST_TalkCourseSelect/IKETANI_TSUCHISAKA,速度域は高いが難易度の高い区間が点在するコースだ,
ST_TalkCourseSelect/IKETANI_AKINA_SNOW,"雪の路面ではコーナリングとブレーキングに要注意だ
まあ毎日秋名を走っていれば、どうってことないけど‥",
ST_TalkCourseSelect/IKETANI_HAKONE,アクセル全開率の高い超ハイスピードコースだ,
ST_TalkCourseSelect/IKETANI_MOMIJI,道幅が広く中速コーナーが多いコースだ,
ST_TalkCourseSelect/IKETANI_NANAMAGARI,コース中盤に無数のヘアピンカーブが続くトリッキーなコースだ,
ST_TalkCourseSelect/IKETANI_GUNSAI,道幅の変化が大きく中速コーナーが続くコースだ,
ST_TalkCourseSelect/IKETANI_ODAWARA,いろんなタイプのコーナーが続く周回コースだ,
ST_TalkCourseSelect/KEISUKE_AKINA_LAKE,"ゆるやかなコーナーの続く周回コースだ
配達帰りにかっ飛ばすと気持ちいいんだよな",
ST_TalkCourseSelect/KEISUKE_MYOGI,ダイナミックな中高速コーナーが続くコースだ,
ST_TalkCourseSelect/KEISUKE_AKAGI,低速、中速、高速といろんな区間があるコースだ,
ST_TalkCourseSelect/KEISUKE_AKINA,"高速区間と低速区間が入り交じるコースだ
オレはこのコースでドラテクを磨いてきたんだ",
ST_TalkCourseSelect/KEISUKE_IROHA,道幅が狭く超低速のヘアピンコーナーが続くコースだ,
ST_TalkCourseSelect/KEISUKE_TSUKUBA,高速区間と低速区間が入り交じるＳ字コーナーの多いコースだ,
ST_TalkCourseSelect/KEISUKE_HAPPO,道幅が狭く超低速のＳ字コーナーが続くコースだ,
