key,source,target
ST_TalkLoad/TAKUMI_GAME_LINEGUIDE,ラインをイメージするっていうか‥,
ST_TalkLoad/TAKUMI_CAR_LAYOUT_SPEED,峠によってクルマの選び方も大事なんだな,
ST_TalkLoad/TAKUMI_CAR_LAYOUT_TECHNICAL,峠によってクルマの選び方も大事なんだな,
ST_TalkLoad/TAKUMI_CAR_ROOT_DHHC,「下り」か「上り」で相性の良さもあるんだな,
ST_TalkLoad/TAKUMI_CAR_ROOT_AR,峠によって相性の良さもあるんだな,
ST_TalkLoad/TAKUMI_COURSE_AKINA_LAKE,"配達のときはある程度おさえて走っているけど‥
本気で攻めると速度がのっておもしろそうだな‥",
ST_TalkLoad/TAKUMI_COURSE_USUI,この峠の情報を確認してきたぞ,
ST_TalkLoad/TAKUMI_COURSE_MYOGI,この峠の情報を確認してきたぞ,
ST_TalkLoad/TAKUMI_COURSE_AKAGI,この峠の情報を確認してきたぞ,
ST_TalkLoad/TAKUMI_COURSE_AKINA,"毎日走っているから気づかなかったけど
知らない人が走るとむずかしい峠だよな‥",
ST_TalkLoad/TAKUMI_COURSE_IROHA,この峠の情報を確認してきたぞ,
ST_TalkLoad/TAKUMI_COURSE_MOMIJI,この峠の情報を確認してきたぞ,
ST_TalkLoad/TAKUMI_COURSE_HAPPO,この峠の情報を確認してきたぞ,
ST_TalkLoad/TAKUMI_COURSE_SADAMINE,この峠の情報を確認してきたぞ,
ST_TalkLoad/TAKUMI_COURSE_TSUCHISAKA,この峠の情報を確認してきたぞ,
ST_TalkLoad/TAKUMI_COURSE_TSUKUBA,この峠の情報を確認してきたぞ,
ST_TalkLoad/TAKUMI_COURSE_AKINA_SNOW,"どの季節の秋名も走ってきたけど
雪の秋名が一番むずかしいと思うな",
ST_TalkLoad/TAKUMI_COURSE_ODAWARA,この峠の情報を確認してきたぞ,
ST_TalkLoad/TAKUMI_COURSE_HAKONE,この峠の情報を確認してきたぞ,
ST_TalkLoad/TAKUMI_COURSE_NAGAO,この峠の情報を確認してきたぞ,
ST_TalkLoad/TAKUMI_COURSE_TSUKUBA_SNOW,この峠の情報を確認してきたぞ,
ST_TalkLoad/IKETANI_GAME_LINEGUIDE,"安定した走りが大事だとしみじみ思うぜ‥
（もうＳ１３はぶつけないぞ‥）",
ST_TalkLoad/IKETANI_CAR_LAYOUT_SPEED,コースによってクルマの選び方も大事なんだぜ！,
