key,source,target
ST_TalkPartnerSelect/TAKUMI_1,"オレがついていけばいいのか？
それじゃあ行こうか‥",
ST_TalkPartnerSelect/TAKUMI_2,"あんたか‥この間は思ったよりも楽しめたよ
今日も行くんだろ？",
ST_TalkPartnerSelect/TAKUMI_3,"最近よく会うな
あんたの走りを見るたび何かこみ上げてくるものがあるんだ‥",
ST_TalkPartnerSelect/TAKUMI_4,"やあ、ちょうどオレもあんたを誘おうとしてたところだ
あんたの走りは常にオレの走りも進化させてくれるからな",
ST_TalkPartnerSelect/IKETANI_1,テストだよ,
ST_TalkPartnerSelect/IKETANI_2,テストだよ,
ST_TalkPartnerSelect/IKETANI_3,テストだよ,
ST_TalkPartnerSelect/IKETANI_4,テストだよ,
ST_TalkPartnerSelect/KEISUKE_1,テストだよ,
ST_TalkPartnerSelect/KEISUKE_2,テストだよ,
ST_TalkPartnerSelect/KEISUKE_3,テストだよ,
ST_TalkPartnerSelect/KEISUKE_4,テストだよ,
ST_TalkPartnerSelect/SAYUKI_1,テストだよ,
ST_TalkPartnerSelect/SAYUKI_2,テストだよ,
ST_TalkPartnerSelect/SAYUKI_3,テストだよ,
ST_TalkPartnerSelect/SAYUKI_4,テストだよ,
ST_TalkPartnerSelect/WATARU_1,テストだよ,
ST_TalkPartnerSelect/WATARU_2,テストだよ,
ST_TalkPartnerSelect/WATARU_3,テストだよ,
ST_TalkPartnerSelect/WATARU_4,テストだよ,
