key,source,target
ST_Talk/TAKUMI_2CAR,「２台バトル」なら１対１の真剣勝負ができるんだ,
ST_Talk/TAKUMI_4CAR,「４台バトル」なら複数のライバルと同時にレースができるんだ,
ST_Talk/IKETANI_2CAR,「２台バトル」なら１対１の真剣勝負ができるんだ,
ST_Talk/IKETANI_4CAR,「４台バトル」なら複数のライバルと同時にレースができるんだ,
ST_Talk/KEISUKE_2CAR,「２台バトル」なら１対１の真剣勝負ができるんだ,
ST_Talk/KEISUKE_4CAR,「４台バトル」なら複数のライバルと同時にレースができるんだ,
ST_Talk/SAYUKI_2CAR,「２台バトル」なら１対１の真剣勝負ができるんだ,
ST_Talk/SAYUKI_4CAR,「４台バトル」なら複数のライバルと同時にレースができるんだ,
ST_Talk/WATARU_2CAR,「２台バトル」なら１対１の真剣勝負ができるんだ,
ST_Talk/WATARU_4CAR,「４台バトル」なら複数のライバルと同時にレースができるんだ,
