key,source,target
ST_TalkResult/TAKUMI_WIN_SEGMENT1,へぇー‥あんたの走りからは何かすごい力を感じるよ,
ST_TalkResult/TAKUMI_WIN_SEGMENT2,"やっぱり勝ったんだな
そんな気がしてたよ",
ST_TalkResult/TAKUMI_WIN_SEGMENT3,"なんて速さだ‥
あんたの走りは期待を裏切らないな",
ST_TalkResult/TAKUMI_WIN_SEGMENT4,"今のあんたなら涼介さんの言ってた
理論のゴールに限りなく近いんじゃないかな",
ST_TalkResult/TAKUMI_BIGWIN_SEGMENT1,そりゃあ‥勝つよな,
ST_TalkResult/TAKUMI_BIGWIN_SEGMENT2,もっと強い相手と戦ってもいいんじゃないかな,
ST_TalkResult/TAKUMI_BIGWIN_SEGMENT3,"すっげえ‥やっぱり‥
あんたならぶっちぎると思っていたよ",
ST_TalkResult/TAKUMI_BIGWIN_SEGMENT4,"今のあんたなら涼介さんの言ってた
理論のゴールに限りなく近いんじゃないかな",
ST_TalkResult/TAKUMI_JUSTWIN_SEGMENT1,あっぶねー‥,
ST_TalkResult/TAKUMI_JUSTWIN_SEGMENT2,ふぅ‥わりとギリギリだったな‥,
ST_TalkResult/TAKUMI_JUSTWIN_SEGMENT3,"今の相手‥最後までついてくるなんてやるな
でもあんたならきっと勝つかなって‥",
ST_TalkResult/TAKUMI_JUSTLOSE_SEGMENT1,そんなに負けてたようにも見えねーけど‥,
ST_TalkResult/TAKUMI_JUSTLOSE_SEGMENT2,惜しいけど悪くないバトルだったな,
ST_TalkResult/TAKUMI_JUSTLOSE_SEGMENT3,"あんたなら勝てると思っていたんだけど‥
相手があの速さならしょーがねーか‥",
ST_TalkResult/TAKUMI_BIGLOSE_SEGMENT1,今の相手はさすがに強かったかもな‥,
ST_TalkResult/TAKUMI_BIGLOSE_SEGMENT2,"ちょっと相手が強すぎたな‥
戦う相手は慎重に選ばないと",
ST_TalkResult/TAKUMI_BIGLOSE_SEGMENT3,"えらく不調みたいだな
今日はまったりとしたバトルでもいいんじゃないかな？",
ST_TalkResult/TAKUMI_MIDDLE_SEGMENT1,そんなに悪くないな,
