key,source,target
ST_TanrenEnd/TAKUMI_BONUS1_SEGMENT1,いいバトルが見れてよかったよ,
ST_TanrenEnd/TAKUMI_BONUS1_SEGMENT2,今回も無事に終えたな！,
ST_TanrenEnd/TAKUMI_BONUS2_SEGMENT1,俺が思っていたよりいい結果だったよ,
ST_TanrenEnd/TAKUMI_BONUS2_SEGMENT2,今回もいい結果じゃないか！,
ST_TanrenEnd/TAKUMI_BONUS3_SEGMENT1,結構‥やるな,
ST_TanrenEnd/TAKUMI_BONUS3_SEGMENT2,あんたの実力は計り知れないや‥,
ST_TanrenEnd/TAKUMI_BONUS4_SEGMENT1,"なんて‥ことだ‥
あんた強すぎるぜ‥！",
ST_TanrenEnd/TAKUMI_BONUS4_SEGMENT2,"文句の付けどころがないよ！
オレもあんたのような走り屋にならないとな‥！！",
ST_TanrenEnd/IKETANI_BONUS1_SEGMENT1,いいバトルが見れてよかったよ,
ST_TanrenEnd/IKETANI_BONUS1_SEGMENT2,今回も無事に終えたな！,
ST_TanrenEnd/IKETANI_BONUS2_SEGMENT1,俺が思っていたよりいい結果だったよ,
ST_TanrenEnd/IKETANI_BONUS2_SEGMENT2,今回もいい結果じゃないか！,
ST_TanrenEnd/IKETANI_BONUS3_SEGMENT1,結構‥やるな,
ST_TanrenEnd/IKETANI_BONUS3_SEGMENT2,あんたの実力は計り知れないや‥,
ST_TanrenEnd/IKETANI_BONUS4_SEGMENT1,"なんて‥ことだ‥
あんた強すぎるぜ‥！",
ST_TanrenEnd/IKETANI_BONUS4_SEGMENT2,"文句の付けどころがないよ！
オレもあんたのような走り屋にならないとな‥！！",
ST_TanrenEnd/KEISUKE_BONUS1_SEGMENT1,いいバトルが見れてよかったよ,
ST_TanrenEnd/KEISUKE_BONUS1_SEGMENT2,今回も無事に終えたな！,
ST_TanrenEnd/KEISUKE_BONUS2_SEGMENT1,俺が思っていたよりいい結果だったよ,
ST_TanrenEnd/KEISUKE_BONUS2_SEGMENT2,今回もいい結果じゃないか！,
ST_TanrenEnd/KEISUKE_BONUS3_SEGMENT1,結構‥やるな,
ST_TanrenEnd/KEISUKE_BONUS3_SEGMENT2,あんたの実力は計り知れないや‥,
ST_TanrenEnd/KEISUKE_BONUS4_SEGMENT1,"なんて‥ことだ‥
あんた強すぎるぜ‥！",
ST_TanrenEnd/KEISUKE_BONUS4_SEGMENT2,"文句の付けどころがないよ！
オレもあんたのような走り屋にならないとな‥！！",
ST_TanrenEnd/SAYUKI_BONUS1_SEGMENT1,いいバトルが見れてよかったよ,
ST_TanrenEnd/SAYUKI_BONUS1_SEGMENT2,今回も無事に終えたな！,
ST_TanrenEnd/SAYUKI_BONUS2_SEGMENT1,俺が思っていたよりいい結果だったよ,
ST_TanrenEnd/SAYUKI_BONUS2_SEGMENT2,今回もいい結果じゃないか！,
ST_TanrenEnd/SAYUKI_BONUS3_SEGMENT1,結構‥やるな,
ST_TanrenEnd/SAYUKI_BONUS3_SEGMENT2,あんたの実力は計り知れないや‥,
ST_TanrenEnd/SAYUKI_BONUS4_SEGMENT1,"なんて‥ことだ‥
あんた強すぎるぜ‥！",
ST_TanrenEnd/SAYUKI_BONUS4_SEGMENT2,"文句の付けどころがないよ！
オレもあんたのような走り屋にならないとな‥！！",
ST_TanrenEnd/WATARU_BONUS1_SEGMENT1,いいバトルが見れてよかったよ,
ST_TanrenEnd/WATARU_BONUS1_SEGMENT2,今回も無事に終えたな！,
ST_TanrenEnd/WATARU_BONUS2_SEGMENT1,俺が思っていたよりいい結果だったよ,
ST_TanrenEnd/WATARU_BONUS2_SEGMENT2,今回もいい結果じゃないか！,
ST_TanrenEnd/WATARU_BONUS3_SEGMENT1,結構‥やるな,
ST_TanrenEnd/WATARU_BONUS3_SEGMENT2,あんたの実力は計り知れないや‥,
ST_TanrenEnd/WATARU_BONUS4_SEGMENT1,"なんて‥ことだ‥
あんた強すぎるぜ‥！",
ST_TanrenEnd/WATARU_BONUS4_SEGMENT2,"文句の付けどころがないよ！
オレもあんたのような走り屋にならないとな‥！！",
