key,source,target
ST_TestMode/Top_Bookkeeping,簿记,
ST_TestMode/Top_InputTest,输入测试,
ST_TestMode/Top_OutputTest,输出测试,
ST_TestMode/Top_GameAssignments,游戏设定,
ST_TestMode/Top_ForceFeedback,力反馈测试,
ST_TestMode/Top_SteeringAdjustments,方向盘校准,
ST_TestMode/Top_AimeCardReaderTest,摄像头测试,
ST_TestMode/Top_NetworkTest,网络测试,
ST_TestMode/Top_ALL.NetItemData,ALL.Net ITEM DATA*,
ST_TestMode/Top_ALL.NetAccountingStatus,统计状态,
ST_TestMode/Top_CloseSetting,关店设定,
ST_TestMode/Top_BackupDataClear,备份数据清空,
ST_TestMode/Top_HDDDataClear,HDD DATA CLEAR*,
ST_TestMode/Top_SystemTestMode,系统测试模式,
ST_TestMode/Top_Exit,离开,
ST_TestMode/Top_PlayModeLock,PLAY MODE LOCK*,
ST_TestMode/Top_LocationTestMode,LOCATION TEST MODE*,
ST_TestMode/Top_ALL.NetDownloadStatus,下载状态,
ST_TestMode/Top_Title,游戏测试模式,
ST_TestMode/Top_Explanation,按服务键选择后 按测试键确定,
ST_TestMode/Network_Title,网络测试,
ST_TestMode/Network_Explanation,按测试键离开,
ST_TestMode/Network_MainServerMachineLink,主服务器连接,
ST_TestMode/Network_StatusChecking,正在检查状态……,
ST_TestMode/Network_GroupLink,群组链接,
ST_TestMode/Network_IPAdress,IP地址,
ST_TestMode/Network_Gateway,网关,
ST_TestMode/Network_Authentication,验证,
ST_TestMode/Network_LoginServer,登录服务器,
ST_TestMode/Network_UserDBServer,用户数据库服务器,
ST_TestMode/Network_MatchingServer,匹配服务器,
ST_TestMode/Network_ResponsetoServerOut,服务器响应（店外）,
ST_TestMode/Network_StatusCheck,检查,
ST_TestMode/Network_StatusBad,出错,
ST_TestMode/Network_StatusGood,正常,
ST_TestMode/Network_StatusNA,不使用,
ST_TestMode/Input_Title,输入测试,
ST_TestMode/Input_Explanation,同时按测试键和服务键离开,
ST_TestMode/Input_Stering,方向盘,
ST_TestMode/Input_Gas,油门,
ST_TestMode/Input_Brake,刹车,
ST_TestMode/Input_Gear,挡位,
ST_TestMode/Input_Up,上键,
ST_TestMode/Input_Down,下键,
ST_TestMode/Input_Right,右键,
ST_TestMode/Input_Left,左键,
ST_TestMode/Input_Start,开始键,
ST_TestMode/Input_View,切换视角键,
ST_TestMode/Input_Test,测试键,
ST_TestMode/Input_Service,服务键,
ST_TestMode/Input_On,开,
ST_TestMode/Input_Off,关,
ST_TestMode/Input_GearN,N,
ST_TestMode/Output_Title,输出测试,
ST_TestMode/Output_Explanation,按服务键选择后 按测试键确定,
ST_TestMode/Output_Start,开始键,
ST_TestMode/Output_View,切换视角键,
ST_TestMode/Output_Up,上键,
ST_TestMode/Output_Down,下键,
ST_TestMode/Output_Right,右键,
ST_TestMode/Output_Left,左键,
ST_TestMode/Output_LeftUpLED,左上LED,
ST_TestMode/Output_LeftCenterLED,左中LED,
ST_TestMode/Output_LeftDownLED,左下LED,
ST_TestMode/Output_RightUpLED,右上LED,
ST_TestMode/Output_RightCenterLED,右中LED,
ST_TestMode/Output_RightDownLED,右下LED,
ST_TestMode/Output_SeatLeftLED,座位左LED,
ST_TestMode/Output_SeatRightLED,座位右LED,
ST_TestMode/Output_AimeLED,Aime LED*,
ST_TestMode/Output_Exit,离开,
ST_TestMode/Output_Off,关,
ST_TestMode/Output_On,开,
ST_TestMode/Output_Blue,蓝,
ST_TestMode/Output_Red,红,
ST_TestMode/Output_Green,绿,
ST_TestMode/Output_Magenta,品红,
ST_TestMode/Output_Cyan,青,
ST_TestMode/Output_Yellow,黄,
ST_TestMode/Output_White,白,
ST_TestMode/BK1_Title,簿记 1/3,
ST_TestMode/BK2_Title,簿记 2/3,
ST_TestMode/BK3_Title,簿记 3/3,
ST_TestMode/BK1_Explanation,按测试键继续,
ST_TestMode/BK2_Explanation,按测试键继续,
ST_TestMode/BK3_Explanation,按测试键离开,
ST_TestMode/BK1_Coin1,投币1,
ST_TestMode/BK1_Coin2,投币2,
ST_TestMode/BK1_TotalCoins,总投币数,
ST_TestMode/BK1_CoinCredits,投币 可用点数,
ST_TestMode/BK1_ServiceCredits,服务 可用点数,
ST_TestMode/BK1_TotalCredits,总可用点数,
ST_TestMode/BK3_TotalTime,总开机时间,
ST_TestMode/BK3_PlayTime,游戏时间,
ST_TestMode/BK2_NoTotalFirstPlay,总初玩次数,
ST_TestMode/BK2_NoFirstTimeFree,  免费初玩次数,
ST_TestMode/BK2_NoContinues,续关次数,
ST_TestMode/BK2_NoRename,更改姓名次数,
