key,source,target
/38D774124718D501074E67B63BDFA531,"Concrete, Grime",
/92BF808F419CFC86361DBEA5DF0B95F2,"Concrete, Panels",
/40003A444A5F919E59AA34AC84F199FF,"Cobblestone, Smooth",
/C7BE34DF4B976E6D653AEC9D6B6D8E52,"Concrete, Poured",
/060AD8364E7BBBB8D1E92DB0511E8FD6,Moss,
/0CC9863546E64AC6B74E30A32D607376,"Stone Brick, Cut",
/24C489A34592BED58A3A7CB71F18EEB5,Grass,
/57DCAD71427BAE0D4D2709BA45E4CB57,Steel,
/BEF4E8B743D60917FE0C7E96572FA69A,"Concrete, Tiles",
/0617410D48DDD822A4B659B6905706A3,Gold,
/1685EE6F4E7E8AFF229191BF97456889,"Stone Brick, Hewn",
/FE4D72B74727D68EE900269512ADBD13,Burnished Steel,
/7B53C2BC43A5480E61F00C9FDF468560,Gravel,
/EBF5D09C4756D0B7B5CB348568DEFA86,Copper,
/18DC5E9443A5BB3A2B90F7B162ACF84B,Brushed Nickel,
/FEEBA05E427D3BC99C25A4AD6E9F934F,Polished Marble,
/38D8584F40423B7E408A29A248AAC4A5,Rust,
/A51630AD4072309AF482CDADB8AF5C58,Sandstone,
/009556AF48CE6937BF572F8EFB679827,Slate,
/6C8005D34C59B52AF1D555A08F8BA1CB,Hex Tiles,
/D8E693054E8EC046F143C3985127A19A,Chrome,
/A5B92A6F489E6BDD33F59DA42E55D476,"Clay Brick, Old",
/00A0A79A4F31FC1919043D8AA52B0070,Panel,
/BC8152834213B5D1A460AE967CA1F09F,Pulse,
/39544187479738D17D7BA8B5A5527C0D,Lake Water,
/39A9DF0C417D6D6ADB8616B8BF5F6AAF,Ocean Water,
/DB2D98644AE2106EC187AE916E124736,Basalt,
/D67372D04B388B707D841996FA22838F,Walnut,
/F1B4647C4F088A14EDBD99AE31D83F23,Pine,
/CBD93432421B0C6B48A8AE9587579BA4,"Walnut, Worn",
/F80060F044605E4D0FC1D99B3043C1EE,"Walnut, Polished",
/9B3B2B8849D4AE1E15A3988C6174FFCE,Checker/Dot,
/F4CE2CAE439B929F7A803B819685F312,"Clay Brick, New",
/E440F3DE45BA4B2C5D8050A73EE833FB,Oak,
/3262ABFE423BC5EBAD106AA09BEB06B1,"Clay Brick, Beveled",
/3FD9F5ED495B69292191DF990216AE9E,Ceramic Tile,
/EE646BB14DE4C7BB8D374F9CF223B43D,Click The Simulate Toolbar Button,
/FC576AD54EB2C44A8F725D924751F6E3,"Cobblestone, Rough",
/44FF04AF47DB16E7B44F93AFE53D5FC8,"Cobblestone, Pebble",
