key,source,target
Str_WD_Load_Story_01_Prologue/1_1_1,"これは、のちに伝説と呼ばれる走り屋の――
記録には残らなかった初めてのバトルである。",
Str_WD_Load_Story_01_Prologue/1_1_2,"偶然出会った走り屋を呼び止める秋山渉。
そのテクニックに驚いた渉は、ある提案をしてくる。",
Str_WD_Load_Story_01_Prologue/1_1_3,"秋名の峠を下っていた池谷浩一郎。
彼は先日ぶっちぎられた走り屋と偶然の再会を果たす。",
Str_WD_Load_Story_01_Prologue/1_1_4,"チームメンバーを引き連れ、ひとりの走り屋を追う池谷。
その目的は、チームへの勧誘だった。",
Str_WD_Load_Story_01_Prologue/1_1_5,"秋名山に現れた謎の走り屋チーム。
偵察に飽きたメンバーは暇つぶしの相手を探していた。",
Str_WD_Load_Story_01_Prologue/1_2_1,"秋名視察の帰り道、高橋涼介は今後の遠征プランを練り直していた。
そこに、ひとりの走り屋が現れる。",
Str_WD_Load_Story_01_Prologue/1_2_2,"赤城レッドサンズを下した謎の青年に沸き立つ秋名山。
池谷は彼をチームに迎えたいと考えているようだ。",
Str_WD_Load_Story_01_Prologue/1_2_3,"快晴の秋名山に現れた白黒のハチロク。
彼はどうやら、どこかに向かっているようだ。",
Str_WD_Load_Story_01_Prologue/1_2_4,"突如手元に届いた挑戦状。
その送り主は妙義山の走り屋だった。",
Str_WD_Load_Story_01_Prologue/1_2_5,"バトルの連絡をしてきたのは、ナイトキッズの庄司慎吾。
夜の妙義山に、危険な香りが立ち込める。",
Str_WD_Load_Story_01_Prologue/1_3_1,"見通しの悪い碓氷の峠道。
そこに現れたのは、ここをホームとする走り屋たち。",
Str_WD_Load_Story_01_Prologue/1_3_2,"青いシルエイティから降りてきたのは二人組の走り屋。
碓氷峠最速を名乗る彼女たちは、再び勝負を挑んでくる。",
Str_WD_Load_Story_01_Prologue/1_3_3,"白い彗星を探しに訪れた赤城山。
そこに現れたのは、かつて秋名の偵察に来ていた中村賢太だった。",
Str_WD_Load_Story_01_Prologue/1_3_4,"赤城山に現れた黄色いFD。
ドライバーの高橋啓介は、少し苛立っているようだ。",
Str_WD_Load_Story_01_Prologue/1_3_5,"レッドサンズのメンバーが去った静かな赤城山。
そこに鳴り響くのは、聞き覚えのあるターボ音だった。",
Str_WD_Load_Story_01_Prologue/1_4_1,"秋山渉との二本目のバトルがはじまった。
彼らの背後から迫るのは、もうひとつの排気音。",
Str_WD_Load_Story_01_Prologue/1_4_2,"高橋兄弟を探しに赤城まで来たという岩城清次。
目的を果たせなかった彼は、バトルを挑んでくる。",
Str_WD_Load_Story_01_Prologue/1_4_3,"秋名山を走っている池谷たち。
秋名のハチロクの快進撃に、彼らは少し浮足立っているようだ。",
Str_WD_Load_Story_01_Prologue/1_4_4,"レッドサンズとのバトルを控えた庄司と中里。
彼ら曰く、走り屋の勢力図が塗り替わる事件が起きたそうだ。",
Str_WD_Load_Story_01_Prologue/1_4_5,"ナイトキッズに勝利したレッドサンズ。
その本拠地である赤城を尋ねると、ある男が佇んでいた。",
Str_WD_Load_Story_01_Prologue/1_5_1,"いろは坂を根城にする走り屋軍団「エンペラー」
その中には、いつか赤城で戦った男の姿があった。",
Str_WD_Load_Story_01_Prologue/1_5_2,"1vs1のバトルを目前に、岩城清次は不敵に笑う。
彼には絶対の自信があるようだ。",
Str_WD_Load_Story_01_Prologue/1_5_3,"秋名山に現れた見慣れぬ車。
彼もまた、秋名のハチロクを探しにきたようだ。",
Str_WD_Load_Story_01_Prologue/1_5_4,"秋名のハチロクに挑み、敗れた小柏カイ。
彼はリベンジに向け燃えているようだ。",
Str_WD_Load_Story_01_Prologue/1_5_5,"突如現れたエンペラーのリーダー、須藤京一。
彼もまた、秋名のハチロクの速さに魅せられたひとりのようだ。",
Str_WD_Load_Story_01_Prologue/1_6_1,"涼介のもとへと向かうために通った秋名山。
雪の峠道で絡んできたのは、ガラの悪い男だった。",
Str_WD_Load_Story_01_Prologue/1_6_2,"涼介不在の赤城にいたのは秋山渉と中村賢太。
渉の提案により、涼介が来るまでバトルをして過ごすことに。",
Str_WD_Load_Story_01_Prologue/1_6_3,"赤城山に現れた高橋涼介。
どうやら彼には話したいことがあるようだ。",
Str_WD_Load_Story_01_Prologue/1_6_4,"涼介の依頼で戦うことになった最初の相手は、
レッドサンズのナンバーツー、高橋啓介。",
Str_WD_Load_Story_01_Prologue/1_6_5,"ついに現れた秋名のハチロク。
ドライバーの藤原拓海はある決心をしたようだ。",
Str_WD_Load_Story_01_Prologue/1_7_1,"高橋涼介が立ち上げた遠征チーム、プロジェクトD。
その快進撃に、多くの走り屋が沸き立っていた。",
Str_WD_Load_Story_01_Prologue/1_7_2,"赤城山に現れたエンペラーのリーダー、須藤京一。
どうやら、彼には確かめたいことがあるようだ。",
Str_WD_Load_Story_01_Prologue/1_7_3,"もみじラインの走り屋チーム、セブンスターリーフ。
彼らは先日、プロジェクトDとバトルをしたそうだ。",
Str_WD_Load_Story_01_Prologue/1_7_4,"セブンスターリーフのヒルクライムエース、川井淳郎。
プロジェクトDに敗れた彼は、自身の走りを見つめなおしているようだ。",
Str_WD_Load_Story_01_Prologue/1_7_5,"一度はバトルを引退した末次トオル。
震える彼の手から、緊張と高揚が伝わってくる。",
Str_WD_Load_Story_01_Prologue/1_8_1,"次の対戦相手を求めて訪れた八方ヶ原。
そこには、エンペラーのリーダー、須藤京一がいた。",
Str_WD_Load_Story_01_Prologue/1_8_2,"八方ヶ原の攻略法を語る須藤京一。
彼は、かつて東堂塾の塾生だったそうだ。",
Str_WD_Load_Story_01_Prologue/1_8_3,"東堂塾OBで現役プロレーサーの舘智幸。
彼の勧めで塾生の練習に参加することになった。",
Str_WD_Load_Story_01_Prologue/1_8_4,"強豪集う東堂塾でもトップクラスの実力を誇る酒井。
不吉な笑みを浮かべる彼が、勝負を挑んでくる。",
Str_WD_Load_Story_01_Prologue/1_8_5,"歴代塾生の中でもトップスリーに入ると評される二宮大輝。
彼から漂うオーラが、その実力を物語る。",
Str_WD_Load_Story_01_Prologue/1_9_1,"久しぶりに訪れた秋名山は興奮に包まれていた。
秋名スピードスターズは、プロジェクトDの活躍に鼻高々のようだ。",
Str_WD_Load_Story_01_Prologue/1_9_2,"定峰峠で待ち構えていた埼玉北西エリア連合。
リーダー秋山延彦の後ろには、彼の従兄弟の姿もあった。",
Str_WD_Load_Story_01_Prologue/1_9_3,"秋山延彦の頼みでバトルをすることになったのは、黒いFD。
ドライバーの岩瀬恭子は、どこか遠くを見るような瞳をしていた。",
Str_WD_Load_Story_01_Prologue/1_9_4,"埼玉北西エリア連合の隠しダマこと、ラリーストの坂本。
彼が乗るカプチーノは、軽さが武器のモンスターマシンだった。",
Str_WD_Load_Story_01_Prologue/1_9_5,"坂本とのバトルの余韻が残る中、
エンジンを載せ替えたという渉がバトルを挑んでくる。",
Str_WD_Load_Story_01_Prologue/1_10_1,"インパクトブルーに呼ばれて訪れた、碓氷峠。
そこには怪しい二人組の姿があった。",
Str_WD_Load_Story_01_Prologue/1_10_2,"ひさしぶりに対峙するインパクトブルー。
彼女らの表情は、どこか寂しげだ。",
Str_WD_Load_Story_01_Prologue/1_10_3,"土坂峠を走っていると、後方から排気音が鳴り響く。
どうやら、何者かが追ってきているようだ。",
Str_WD_Load_Story_01_Prologue/1_10_4,"最近ひどい目にあったという男たち。
ランエボに乗った彼らは、気分転換のためにバトルがしたいと言う。",
Str_WD_Load_Story_01_Prologue/1_10_5,"プロジェクトDの高橋啓介に恋やぶれた岩瀬恭子。
彼女は、彼との思い出の地に来てしまったようだ。",
Str_WD_Load_Story_01_Prologue/1_11_1,"定峰峠に現れたプロジェクトDのダブルエース。
しかし、どこか雰囲気が違っているようだ。",
Str_WD_Load_Story_01_Prologue/1_11_2,"筑波山に着くと、聞き慣れた排気音が耳を打つ。
レッドサンズの中村賢太が、こっそり特訓を行っていた。",
Str_WD_Load_Story_01_Prologue/1_11_3,"賢太とのバトルの後に現れたのは、東堂塾の二宮と酒井。
ふたりは、峠の神様に挑戦しに来たらしい。",
Str_WD_Load_Story_01_Prologue/1_11_4,"ゴッドアームと評されるパープルシャドウの重鎮、城島。
ワンハンドステアで峠を駆ける神様が、今目の前に立ちはだかる。",
Str_WD_Load_Story_01_Prologue/1_11_5,"神の足を持つパープルシャドウの重鎮、星野。
ゴッドフットと呼ばれるもうひとりの神様が、牙を剥く。",
Str_WD_Load_Story_01_Prologue/1_12_1,"涼介からの依頼で下見に訪れたヤビツ峠。
賢太曰く、プロジェクトDは最終ステージに来たらしい。",
Str_WD_Load_Story_01_Prologue/1_12_2,"神奈川エリアの三強、チーム246。
ヒルクライムエースの小早川が勝負を挑んでくる。",
Str_WD_Load_Story_01_Prologue/1_12_3,"チーム246のリーダー、大宮智史。
地元の意地を背負い、彼はスタートラインに立った。",
Str_WD_Load_Story_01_Prologue/1_12_4,"久しぶりに訪れた秋名山。
そこにはふたりのレビン乗りの姿があった。",
Str_WD_Load_Story_01_Prologue/1_12_5,"二本目に突入した秋山渉の熱血指導。
必死に走る樹の後ろから、一台のクルマが迫る。",
