key,source,target
Str_WD_Story_01_Episode/EP01,传说前夜,
Str_WD_Story_01_Episode/EP02,山道的理论,
Str_WD_Story_01_Episode/EP03,秋名速度之星,
Str_WD_Story_01_Episode/EP04,不做队友吗？,
Str_WD_Story_01_Episode/EP05,来自赤城的刺客,
Str_WD_Story_01_Episode/EP06,邂逅，白色彗星,
Str_WD_Story_01_Episode/EP07,电光火石的余韵,
Str_WD_Story_01_Episode/EP08,擦肩而过的天才,
Str_WD_Story_01_Episode/EP09,不败神话的R,
Str_WD_Story_01_Episode/EP10,颤栗之夜,
Str_WD_Story_01_Episode/EP11,冲击之蓝,
Str_WD_Story_01_Episode/EP12,对彗星的憧憬,
Str_WD_Story_01_Episode/EP13,刺客，再次来袭,
Str_WD_Story_01_Episode/EP14,高桥兄弟,
Str_WD_Story_01_Episode/EP15,迟到的热血男人,
Str_WD_Story_01_Episode/EP16,暗影，迫近,
Str_WD_Story_01_Episode/EP17,没把你放在眼里,
Str_WD_Story_01_Episode/EP18,秋名的AE86……？,
Str_WD_Story_01_Episode/EP19,局势有变,
Str_WD_Story_01_Episode/EP20,再会，白色彗星,
Str_WD_Story_01_Episode/EP21,帝王,
Str_WD_Story_01_Episode/EP22,焦灼的对决,
Str_WD_Story_01_Episode/EP23,名为小柏的男人,
Str_WD_Story_01_Episode/EP24,打破规则的主场跑法,
Str_WD_Story_01_Episode/EP25,补习,
Str_WD_Story_01_Episode/EP26,雪、敌人,
Str_WD_Story_01_Episode/EP27,彗星不在的深夜剧场,
Str_WD_Story_01_Episode/EP28,凉介的委托,
Str_WD_Story_01_Episode/EP29,红太阳的No.2,
Str_WD_Story_01_Episode/EP30,秋名的AE86,
Str_WD_Story_01_Episode/EP31,D计划,
Str_WD_Story_01_Episode/EP32,追逐彗星的身影,
Str_WD_Story_01_Episode/EP33,未曾见过的强者们,
Str_WD_Story_01_Episode/EP34,马力与技术,
Str_WD_Story_01_Episode/EP35,复活，神风的下坡手,
Str_WD_Story_01_Episode/EP36,东堂塾,
Str_WD_Story_01_Episode/EP37,传说中的男人,
Str_WD_Story_01_Episode/EP38,学生的实力,
Str_WD_Story_01_Episode/EP39,陷阱,
Str_WD_Story_01_Episode/EP40,现役最强的男人,
Str_WD_Story_01_Episode/EP41,恶梦之车,
Str_WD_Story_01_Episode/EP42,埼玉西北地区联合,
Str_WD_Story_01_Episode/EP43,恋爱的少女,
Str_WD_Story_01_Episode/EP44,犯规级别的隐藏王牌,
Str_WD_Story_01_Episode/EP45,机械增压 LEVIN,
Str_WD_Story_01_Episode/EP46,东京二人组,
Str_WD_Story_01_Episode/EP47,最后的冲击之蓝,
Str_WD_Story_01_Episode/EP48,阴险之人,
Str_WD_Story_01_Episode/EP49,堂堂正正,
Str_WD_Story_01_Episode/EP50,热血女孩,
