key,source,target
WD_TuningParts_Explanation/012,軽量化（ＬＶ１）,
WD_TuningParts_Explanation/011,ボディ剛性を強化します！,
WD_TuningParts_Explanation/010,仮　リアラダーバー,
WD_TuningParts_Explanation/009,仮　フロントラダーバー,
WD_TuningParts_Explanation/008,ボディ剛性を強化します！,
WD_TuningParts_Explanation/007,"エンジンの排気量を上げ
パワーUP！",
WD_TuningParts_Explanation/001,"コーナー内側タイヤの空転を抑え
駆動力を上げます！",
WD_TuningParts_Explanation/002,仮　軽量フライホイール,
WD_TuningParts_Explanation/003,"エンジンの伝達効率が上がり
パワーロスを軽減します！",
WD_TuningParts_Explanation/004,"エンジンの吸排気効率が上がり
パワーUP！",
WD_TuningParts_Explanation/005,"エンジンの吸排気効率が上がり
パワーUPします！",
WD_TuningParts_Explanation/006,"エンジンの吸排気効率が上がり
パワーUPします！",
WD_TuningParts_Explanation/013,軽量化（ＬＶ２）,
WD_TuningParts_Explanation/014,スポット増し,
WD_TuningParts_Explanation/015,ブレーキ性能が上がります！,
WD_TuningParts_Explanation/016,メッシュホース,
WD_TuningParts_Explanation/017,"サスペンションの追従性が上がり
コーナリング性能がUPします！",
WD_TuningParts_Explanation/018,強化スタビライザー,
WD_TuningParts_Explanation/019,"サスペンションの動きが矯正され、
コーナリング性能がUPします！",
WD_TuningParts_Explanation/020,ブレーキ性能が上がります！,
WD_TuningParts_Explanation/021,大口径ブレーキローター,
WD_TuningParts_Explanation/022,吸気効率が上がり、パワーUP！,
WD_TuningParts_Explanation/023,強化ダクト,
WD_TuningParts_Explanation/024,スポーツ触媒,
WD_TuningParts_Explanation/025,"冷却効率上昇。エンジンの熱ダレ
パワーロスが軽減します！",
WD_TuningParts_Explanation/026,排気効率が上がり、パワーUP！,
WD_TuningParts_Explanation/027,"吸気効率が上がり、ダイレクトな
レスポンスになります！",
WD_TuningParts_Explanation/028,アーシング,
WD_TuningParts_Explanation/029,レーシングプラグ,
WD_TuningParts_Explanation/030,ドライバッテリー,
WD_TuningParts_Explanation/031,ＲＯＭ書き換え,
WD_TuningParts_Explanation/032,イグニッションコイル,
WD_TuningParts_Explanation/033,サブコンピューター,
WD_TuningParts_Explanation/034,"緻密でより完全な制御設定の
ECUに置き換え、パワーUP！",
WD_TuningParts_Explanation/035,"純正をハイフロー化したタービンを装着し、
バランス良くパワーUP！",
WD_TuningParts_Explanation/036,"タービンの口径を大きくし、
大幅にパワーUP！",
WD_TuningParts_Explanation/037,"タービンの口径を大きくし、
大幅にパワーUP！",
