key,source,target
WD_TuningParts_Name/009,フロントラダーバー,
WD_TuningParts_Name/001,機械式ＬＳＤ,
WD_TuningParts_Name/002,軽量フライホイール,
WD_TuningParts_Name/003,強化クラッチ,
WD_TuningParts_Name/004,ハイリフトカムシャフト,
WD_TuningParts_Name/005,ポート研磨,
WD_TuningParts_Name/006,ポート研磨,
WD_TuningParts_Name/007,ボアアップ,
WD_TuningParts_Name/008,タワーバー,
WD_TuningParts_Name/010,リアラダーバー,
WD_TuningParts_Name/011,ロールバー,
WD_TuningParts_Name/012,軽量化（ＬＶ１）,
WD_TuningParts_Name/013,軽量化（ＬＶ２）,
WD_TuningParts_Name/014,スポット増し,
WD_TuningParts_Name/015,レーシングブレーキパッド,
WD_TuningParts_Name/016,メッシュホース,
WD_TuningParts_Name/017,高性能サスペンション,
WD_TuningParts_Name/018,強化スタビライザー,
WD_TuningParts_Name/019,強化サスアーム,
WD_TuningParts_Name/020,ビッグキャリパー,
WD_TuningParts_Name/021,大口径ブレーキローター,
WD_TuningParts_Name/022,エアクリーナー,
WD_TuningParts_Name/023,強化ダクト,
WD_TuningParts_Name/024,スポーツ触媒,
WD_TuningParts_Name/025,オイルクーラー,
WD_TuningParts_Name/026,ＥＸマニホールド,
WD_TuningParts_Name/027,レーシングキャブレター,
WD_TuningParts_Name/028,アーシング,
WD_TuningParts_Name/029,レーシングプラグ,
WD_TuningParts_Name/030,ドライバッテリー,
WD_TuningParts_Name/031,ＲＯＭ書き換え,
WD_TuningParts_Name/032,イグニッションコイル,
WD_TuningParts_Name/033,サブコンピューター,
WD_TuningParts_Name/034,フルコンピューター,
WD_TuningParts_Name/035,ハイフロータービン,
WD_TuningParts_Name/036,大口径タービン,
WD_TuningParts_Name/037,大口径タービン,
WD_TuningParts_Name/038,大口径スロットル,
WD_TuningParts_Name/039,大型インタークーラー,
WD_TuningParts_Name/040,ブーストアップ,
WD_TuningParts_Name/041,ボルトオンターボ,
WD_TuningParts_Name/042,サイドポート加工,
WD_TuningParts_Name/043,強化アペックスシール,
WD_TuningParts_Name/044,トーコンキャンセラー,
WD_TuningParts_Name/045,大容量ラジエター,
WD_TuningParts_Name/046,Vマウントインタークーラー,
WD_TuningParts_Name/047,ラジエタークーリングプレート,
WD_TuningParts_Name/048,レース用エンジン載せ替え,
WD_TuningParts_Name/049,ボルトオンスーパーチャージャー,
WD_TuningParts_Name/050,NAメカチューン,
WD_TuningParts_Name/051,ミスファイアリングCPU,
WD_TuningParts_Name/052,ロータリーNAチューン,
WD_TuningParts_Name/053,Lv.15 スペシャルチューン,
WD_TuningParts_Name/054,Lv.15 スペシャルチューン,
WD_TuningParts_Name/055,Lv.15 スペシャルチューン,
WD_TuningParts_Name/056,Lv.15 スペシャルチューン,
WD_TuningParts_Name/057,Lv.15 スペシャルチューン,
WD_TuningParts_Name/058,Lv.15 スペシャルチューン,
WD_TuningParts_Name/059,Lv.15 スペシャルチューン,
WD_TuningParts_Name/060,Lv.15 スペシャルチューン,
WD_TuningParts_Name/061,Lv.15 スペシャルチューン,
WD_TuningParts_Name/062,Lv.15 スペシャルチューン,
WD_TuningParts_Name/063,Lv.15 スペシャルチューン,
WD_TuningParts_Name/064,Lv.15 スペシャルチューン,
WD_TuningParts_Name/065,Lv.15 スペシャルチューン,
WD_TuningParts_Name/066,Lv.15 スペシャルチューン,
WD_TuningParts_Name/067,東堂商会レーシングチューン,
WD_TuningParts_Name/068,大排気量NAチューン,
WD_TuningParts_Name/069,小径タービン,
WD_TuningParts_Name/070,アブレイダブルタービン,
WD_TuningParts_Name/071,ロータリーブーストダウンチューン,
WD_TuningParts_Name/072,フルピロボール化サスペンション,
WD_TuningParts_Name/073,オーバーランブーストCPU,
WD_TuningParts_Name/074,リビルトシーケンシャルツインタービン,
WD_TuningParts_Name/075,NA3ローターエンジン,
WD_TuningParts_Name/076,V12エンジン載せ替え,
WD_TuningParts_Name/077,ロータリーターボ/FEED魔王チューン,
WD_TuningParts_Name/078,魔王号ターボチューン,
WD_TuningParts_Name/079,魔王号NAメカチューン,
WD_TuningParts_Name/080,L28改エンジン＋ボルトオンツインターボ,
WD_TuningParts_Name/081,大容量オイルクーラー,
WD_TuningParts_Name/082,大口径ターボ＋RWBチューン,
WD_TuningParts_Name/083,大口径ターボ＋エンジンリビルド,
WD_TuningParts_Name/084,ダウンヒルSPECIAL,
WD_TuningParts_Name/085,オールラウンダーSPECIAL,
WD_TuningParts_Name/086,ヒルクライムSPECIAL,
WD_TuningParts_Name/087,STEP Lv.1,
WD_TuningParts_Name/088,STEP Lv.2,
WD_TuningParts_Name/089,STEP Lv.3,
WD_TuningParts_Name/090,STEP Lv.4,
WD_TuningParts_Name/091,STEP Lv.5,
WD_TuningParts_Name/092,STEP Lv.6,
WD_TuningParts_Name/093,STEP Lv.7,
WD_TuningParts_Name/094,STEP Lv.8,
WD_TuningParts_Name/095,STEP Lv.9,
WD_TuningParts_Name/096,STEP Lv.10,
WD_TuningParts_Name/097,STEP Lv.11,
WD_TuningParts_Name/098,STEP Lv.12,
WD_TuningParts_Name/099,STEP Lv.13,
WD_TuningParts_Name/100,STEP Lv.14,
WD_TuningParts_Name/101,STEP Lv.15,
