key,source,target
Str_WD_TuningStyle_Description_HightSpeed/001,"超高回転型のレース用エンジンに
載せ換えて、パワーUP！
『高速』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/002,"ターボを装着し、パワーUP！
『高速』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/003,"スーパーチャージャーを装着し、
パワーUP！
『高速』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング",
Str_WD_TuningStyle_Description_HightSpeed/004,"パーツ毎の重量バランスを調整、
回転が円滑化しパワーUP！
『高速』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/005,"タービンの口径を大きくし、
大幅にパワーUP！
『高速』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/006,"純正をハイフロー化したタービンを装着し、
バランス良くパワーUP！
『高速』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/007,"ピックアップ重視の小径タービンを装着し、
レスポンスUP！
『高速』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/008,"アブレイダブルシールを採用したタービンを
装着することで効率を上げ、パワーUP
『高速』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/009,"ターボラグが無くなり、加速が鋭くなります！
『高速』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/010,"ターボラグが無くなり、加速が鋭くなります！
『高速』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/011,"パーツ毎の重量バランスを調整、
回転が円滑化しパワーUP！
『高速』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/012,"タービンの口径を大きくし、
大幅にパワーUP！
『高速』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/013,"タービンを交換した後にピークパワーをあえて下げ、
過渡特性とバランスを向上！
『高速』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/014,"純正のシーケンシャルツインターボを
ハイフロー化して再組立てし、パワーUP！
『高速』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/015,"V型12気筒の大排気量NAエンジンへ載せ替え、
大幅にパワーUP！",
Str_WD_TuningStyle_Description_HightSpeed/016,"タービンの口径を大きくし、
大幅にパワーUP！",
Str_WD_TuningStyle_Description_HightSpeed/017,"タービンの口径を大きくし、
大幅にパワーUP！",
Str_WD_TuningStyle_Description_HightSpeed/018,"パーツ毎の重量バランスを調整、
回転が円滑化しパワーUP！",
Str_WD_TuningStyle_Description_HightSpeed/019,"エンジンを載せ替え、機械式キャブレターターボを
2基装着し大幅にパワーUP！
『高速』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/020,"タービンの口径を大きくし、
大幅にパワーUP！
『高速』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/021,"タービンの口径を大きくし、エンジン各部を
リファインすることで大幅にパワーUP！
『高速』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/022,"タービンの口径を大きくし、エンジンを
フルOHして大幅にパワーUP！
『高速』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/023,"レスポンスを重視してセッティング！
『高速』レイアウト
『下り』ルート
に適したセッティング！",
Str_WD_TuningStyle_Description_HightSpeed/024,"バランスを重視してセッティング！
『高速』レイアウト
『下り』ルート
に適したセッティング！",
Str_WD_TuningStyle_Description_HightSpeed/025,"パワーを重視してセッティング！
『高速』レイアウト
『上り』ルート
に適したセッティング！",
Str_WD_TuningStyle_Description_HightSpeed/026,"NAの３ローターエンジンに載せ替え、
大幅にパワーUP！
『高速』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/027,"レースのノウハウを投入し、
エンジンを組み直すことでパワーUP！
『高速』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/028,"さらにボア＋ストロークアップにより排気量を拡大し、
トルク重視でパワーUP！
『高速』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/030,"タービンの口径を大きくし、
大幅にパワーUP！
『高速』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_HightSpeed/029,"タービンの口径を大きくし、
大幅にパワーUP！
『高速』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
