key,source,target
Str_WD_TuningStyle_Description_Technical/001,"超高回転型のレース用エンジンに
載せ換えて、パワーUP！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/002,"ターボを装着し、パワーUP！
『テクニカル』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/003,"スーパーチャージャーを装着し、
パワーUP！
『テクニカル』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/004,"パーツ毎の重量バランスを調整、
回転が円滑化しパワーUP！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/005,"タービンの口径を大きくし、
大幅にパワーUP！
『テクニカル』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/006,"純正をハイフロー化したタービンを装着し、
バランス良くパワーUP！
『テクニカル』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/007,"ピックアップ重視の小径タービンを装着し、
レスポンスUP！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/008,"アブレイダブルシールを採用したタービンを
装着することで効率を上げ、パワーUP
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/009,"ターボラグが無くなり、加速が鋭くなります！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/010,"ターボラグが無くなり、加速が鋭くなります！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/011,"パーツ毎の重量バランスを調整、
回転が円滑化しパワーUP！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/012,"タービンの口径を大きくし、
大幅にパワーUP！
『テクニカル』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/013,"タービンを交換した後にピークパワーをあえて下げ、
過渡特性とバランスを向上！
『テクニカル』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/014,"純正のシーケンシャルツインターボを
ハイフロー化して再組立てし、パワーUP！
『テクニカル』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/015,"V型12気筒の大排気量NAエンジンへ載せ替え、
大幅にパワーUP！",
Str_WD_TuningStyle_Description_Technical/016,"タービンの口径を大きくし、
大幅にパワーUP！",
Str_WD_TuningStyle_Description_Technical/017,"タービンの口径を大きくし、
大幅にパワーUP！",
Str_WD_TuningStyle_Description_Technical/018,"パーツ毎の重量バランスを調整、
回転が円滑化しパワーUP！",
Str_WD_TuningStyle_Description_Technical/019,"エンジンを載せ替え、機械式キャブレターターボを
2基装着し大幅にパワーUP！
『低速』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/020,"タービンの口径を大きくし、
大幅にパワーUP！
『テク二カル』レイアウト
『下り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/021,"タービンの口径を大きくし、エンジン各部を
リファインすることで大幅にパワーUP！
『テク二カル』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/022,"タービンの口径を大きくし、エンジンを
フルOHして大幅にパワーUP！
『テク二カル』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/023,"レスポンスを重視してセッティング！
『テク二カル』レイアウト
『下り』ルート
に適したセッティング！",
Str_WD_TuningStyle_Description_Technical/024,"バランスを重視してセッティング！
『テク二カル』レイアウト
『上り』ルート
に適したセッティング！",
Str_WD_TuningStyle_Description_Technical/025,"パワーを重視してセッティング！
『テク二カル』レイアウト
『上り』ルート
に適したセッティング！",
Str_WD_TuningStyle_Description_Technical/026,"NAの３ローターエンジンに載せ替え、
大幅にパワーUP！
『テク二カル』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/027,"レースのノウハウを投入し、
エンジンを組み直すことでパワーUP！
『テク二カル』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/028,"さらにボア＋ストロークアップにより排気量を拡大し、
トルク重視でパワーUP！
『テク二カル』レイアウト
『上り』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/030,"タービンの口径を大きくし、
大幅にパワーUP！
『テクニカル』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
Str_WD_TuningStyle_Description_Technical/029,"タービンの口径を大きくし、
大幅にパワーUP！
『テク二カル』レイアウト
『左周り/右周り』、『往路/復路』ルート
に適したチューニング！",
