key,source,target
WD_TuningStyle_Name/001,更换赛车用引擎,
WD_TuningStyle_Name/002,外挂涡轮,
WD_TuningStyle_Name/003,外挂机械增压,
WD_TuningStyle_Name/004,自吸机械改装,
WD_TuningStyle_Name/005,大口径涡轮改装,
WD_TuningStyle_Name/006,高通量涡轮改装,
WD_TuningStyle_Name/007,小口径涡轮改装,
WD_TuningStyle_Name/008,高耐磨涡轮改装,
WD_TuningStyle_Name/009,拉力赛级别偏时点火系统,
WD_TuningStyle_Name/010,拉力赛级别涡轮改装,
WD_TuningStyle_Name/011,转子自吸改装,
WD_TuningStyle_Name/012,转子单涡轮改装,
WD_TuningStyle_Name/013,低进气量转子改装,
WD_TuningStyle_Name/014,转子双涡轮改装,
WD_TuningStyle_Name/015,未実装,
WD_TuningStyle_Name/016,未実装,
WD_TuningStyle_Name/017,未実装,
WD_TuningStyle_Name/018,未実装,
WD_TuningStyle_Name/019,外挂双涡轮增压,
WD_TuningStyle_Name/020,单涡轮空冷器套件,
WD_TuningStyle_Name/021,大口径涡轮＋RWB改装,
WD_TuningStyle_Name/022,大口径涡轮＋引擎翻新,
WD_TuningStyle_Name/023,满级改装车辆（下坡）,
WD_TuningStyle_Name/024,满级改装车辆（全能）,
WD_TuningStyle_Name/025,满级改装车辆（上坡）,
WD_TuningStyle_Name/026,自吸三转子引擎,
WD_TuningStyle_Name/027,东堂商会竞赛改装,
WD_TuningStyle_Name/028,大排量自吸改装,
WD_TuningStyle_Name/029,外挂转子涡轮,
WD_TuningStyle_Name/030,外挂转子机械增压,
