key,source,target
TeamInfoMessage/0,にリーダー権限が譲渡されました,
TeamInfoMessage/2,がチームに加入！,
TeamInfoMessage/1,にリーダー権限が譲渡されました,
TeamInfoMessage/3,がチームから脱退,
TeamInfoMessage/4,がチームポイントを1000稼いだ,
TeamInfoMessage/5,がチームポイントを5000稼いだ,
TeamInfoMessage/6,がチームポイントを10000稼いだ,
TeamInfoMessage/7,がチームポイントを20000稼いだ,
TeamInfoMessage/8,がチームポイントを30000稼いだ,
TeamInfoMessage/9,がチームポイントを40000稼いだ,
TeamInfoMessage/10,がチームポイントを50000稼いだ,
TeamInfoMessage/11,がチームポイントを60000稼いだ,
TeamInfoMessage/12,がチームポイントを70000稼いだ,
TeamInfoMessage/13,がチームポイントを80000稼いだ,
TeamInfoMessage/14,がチームポイントを90000稼いだ,
TeamInfoMessage/15,がチームポイントを100000稼いだ,
TeamInfoMessage/16,がACEになった,
TeamInfoMessage/17,がNO.2になった,
TeamInfoMessage/18,がNO.3になった,
