key,source,target
TeamInfoMessage/0,A leader authority was transferd to,
TeamInfoMessage/2,has been joined our team!,
TeamInfoMessage/1,A leader authority was transferd to,
TeamInfoMessage/3,has been withdrawn from the team.,
TeamInfoMessage/4,has earned 1000 team pts.,
TeamInfoMessage/5,has earned 5000 team pts.,
TeamInfoMessage/6,has earned 10000 team pts.,
TeamInfoMessage/7,has earned 20000 team pts.,
TeamInfoMessage/8,has earned 30000 team pts.,
TeamInfoMessage/9,has earned 40000 team pts.,
TeamInfoMessage/10,has earned 50000 team pts.,
TeamInfoMessage/11,has earned 60000 team pts.,
TeamInfoMessage/12,has earned 70000 team pts.,
TeamInfoMessage/13,has earned 80000 team pts.,
TeamInfoMessage/14,has earned 90000 team pts.,
TeamInfoMessage/15,has earned 100000 team pts.,
TeamInfoMessage/16,became an ACE driver.,
TeamInfoMessage/17,became an No.2 driver.,
TeamInfoMessage/18,became an No.3 driver.,
