key,source,target
/38FA7E0D48F5B2BD1CEBFFB2F06A8458,REPORT2 : ,
/8E106F7245DC87F3AFBB68A435448FF1,SELECT WITH SERVICE BUTTON AND PRESS TEST BUTTON,
/9B35999E4FAB30A57543F6ABB27EFA19,ACCOUNTING STATUS,
/55F46B02407E299778B222921599EFE1,ACCOUNTING COUNT,
/0CBCD4EF47252E565F002E96DB4E3C0E,REPORT INFORMATION,
/34E0F85C4B2CC27DADF5048E83E799B6,ALL.Net ACCOUNTING STATUS,
/1F3BECAF43764CBAD629A0B58558924F,REPORT1 : ,
/EC21574E455143AB31BA4ABE943BDA2F,ACCOUNTING MODE,
/22C1B97944CBF78309C3049C887E5F1E,A,
/E4D56B4A489113670674ACA451042B12,GOOD,
/17D704514E61BEE669CBCE88751BB9DD,0,
/AE87FDC04F38AB43A433E9AD99B543BB,0,
/98F845534CD3AA4A4862A7ADFB28CF14,0,
/D4525B3C41A72D4F8BF432A791792840,----/--,
/338F78FB45BA442B158FBA84629A6E15,----/--,
/6228AE02466D82A522F994AA82FEB40E,----/--,
/953E4B1E466C3A3D07CE37862F23967A,----/--/-- --:--:--,
/9589C6EE43B8F50D8ACE468F84FEC5DA,----/--/-- --:--:--,
