key,source,target
/BE0139FE455DE1C1CB5DFFB9BB90D0DA,0.01.00,
/CED7BBA4433BAE18393D4AA8AC0ED494,----,
/39D00E594A4AA8C384011C9FDD5C2356,----/--/-- --:--:--,
/EED77FFE465B0B0431DEC483429FC799,0%,
/FC836A0D4AF7EDE351E5F5A17DC371F2,----/--/-- --:--:--,
/06D3AE21406BA1CA1DC2AC8D1C05E8EF,0.00.00,
/E7A9271644A9FA1F3F75C0AC2584EC74,----,
/AB5591ED48C71B669B92A39226CF2A3B,----/--/-- --:--:--,
/BDD429B14D3544C237D4A58E09F4BD28,0%,
/C6F8671E4CBA35965BCD32B7D4F68B32,----/--/-- --:--:--,
/F5A60E6E47204EF1996D8D910A0EAB42,----/--/-- --:--:--,
