key,source,target
/FE482B8644BC9AD9B8798CB41BC945C1,Aime READ CHECK,
/8D8DC2DC43E654E7900F17B4E20D17A3,CHECK TIME:,
/DB0D69FC4CAEE253B7B4FA9BB1FC2E7A,CARD READER:,
/8251E9A243AF4C3E02100091B67F43BB,CARD STATUS:,
/76E48B8B476866305A3058B02A92EDB4,PRESS TEST BUTTON TO EXIT,
/2DC7A37E44461490F506E39DD50F6CA9,ms,
/FD22AFCF4D437541DEE67CB88B201FE9,"Please put a card of Aime
or an available mobile telephone",
/AD8B2B0F467659316F27DF982655A8A7,Aime CARD READER TEST,
/4D7305CA4C635EF65468C78E9E89C33A,POLLING,
/870FF94242AD65D8DE8503997420F943,***,
/1CB7798F4677716C938324AE5E5020D5,10000,
