key,source,target
/62704747462529B567E8189B4AE41B33,向上提起拉杆后，可前后调整座位位置,
/BF0FE5F247E6AA2E6E9E20BFDAA01FA8,使用,
/B0BEFD48403B4459E0670CB97B0ECE28,方向键,
/0145A1614A67F39AD6A9798D45193BD3,或,
/4ED2E09848B38B40BFE4FE95678E41A4,方向盘,
/C353A26448E0132331C92E8113ACA097,进行选择，,
/031CC429426C5FE4779917942FEDA54B,按下,
/0F11A8A944EA1428EC1AEB9DEC88D49C,开始键,
/A127B8DD4A63D8C9AD7215A325AFBBFC,或踩下,
/B908387C4BD850A7AD5ED3B3D7521DD7,油门踏板,
/16755D3B4B4A307E40A4B8B8FBBEAACE,来确定,
/DBC67FA0405611FBF412F29753D0E5C0,在画面右下方有可进行操作的按键的说明,
/C5894AFA410B61DD5AD0ADB00D7A0D44,确定,
/6FCF8F344B12F68FF91CCC8171984E45,选择,
