key,source,target
/D8AA0E504D89BDE4FDCFD88E74BABBDF,Export Path,
/A9A410A64AA350CD1DA87FB787A21768,出力先パス,
/4A0D1AD144ED3342B271BB946690C3F5,1. 変更したいアイテムのカテゴリを”ItemCategory”のトグルボックスから選択,
/8335BDAB45E263A93953AAA9B9790E5D,アバターキャラ,
/394BD83F43B678672598B0A6CD42477F,ExportPath,
/3788F3574E58E04437E2069843F75023,選択アイテム,
/DD0360B44A63FA2CA312F88B1F081596,出力済みキャラアイコン,
/0F65D4E04412A31017A4DFB61AC7092B,男性アイテム,
/6D637D82478DFFB4B488F4A5D9F156FA,【Control Panel】,
/F0FC7C414F406E07D9522297EFD20EB2,2. ロードされたアイテムのボタンを押すことでアイテムが変更される,
/AFE92BEC4416E7D9BCA1F58BC4F678F7,LoadIcon,
/52AA05B44A6E57DED78DC4A6E40659B8,"Show
Item
Data
Importer",
/FCF689B74D61425603DF6391894AF9A7,▼,
/EF1514074A4E93AE8C651DA53FA840F9, Item Category,
/2C43F2024922FCE18024668268E3A02E,3. 変更されたアイテムは左側のアイテム確認画面で確認可能,
/011C06334AC771B5306241A954ED73AF,4. Export で現在のアバターをアイコン画像に出力。 ,
/E0E83EAB4C0702AC11CA67A74F161B5B,Export,
/FC9676594F186DC97F9714AA66F7C7B5,詳細設定,
/160EC12846E92533552DAA856AF99B42,女性アイテム,
/9719361547F5B02369496F86F5072CD4,【操作説明】,
/A406E008406D2A28D0E2658BDD314E23,5. Load Icon ボタンでアイコン画像をロード。,
/CFB2356D4DBF811872F0DA9C3F00A2EE,ExportFileType,
/7CCB432241A26DE2CF90BE897D40D39A,    そのカテゴリのアイテムがロードされる。 男女ボタンで表示アイテムのフィルター設定ができる。,
